"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-29 01:24:34","TRUE","59","0","-1","Crime Rate","Madhya Pradesh","India",FALSE
"2","@AtulJha20 @ajitanjum Sir crime ka Dharm se koi MATLAB nahi.
BHOPAL me bhi ek HIMDU ne GAO MATA ka RAPE kar diya...  ","2018-07-28 20:54:02","FALSE","0","0","-1","Crime Rate","Madhya Pradesh","India",FALSE
"3","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-28 20:20:23","TRUE","59","0","-1","Crime Rate","Madhya Pradesh","India",TRUE
"4","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-28 19:07:17","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"5","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-28 19:03:12","TRUE","59","0","-1","Crime Rate","Madhya Pradesh","India",TRUE
"6","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-28 18:59:53","TRUE","59","0","3","Crime Rate","Madhya Pradesh","India",TRUE
"7","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-28 17:51:41","TRUE","59","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"8","     
 ","2018-07-28 12:26:09","FALSE","0","1","1","Crime Rate","Madhya Pradesh","India",FALSE
"9","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-28 10:19:25","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"10","RT @officekiran: Its not even funny how misplaced our Hon'ble PM's sense of evaluation is! Rocked by innumerable scams in the last 15 years","2018-07-28 07:58:35","TRUE","105","0","1","Crime Rate","Madhya Pradesh","India",FALSE
"11","RT @IAmDeeptiSingh: For 13 out of the last 14 years, there has been an increase in crime against women. MP topped the list in crimes agains","2018-07-28 07:57:57","TRUE","50","0","1","Crime Rate","Madhya Pradesh","India",FALSE
"12","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-28 05:31:53","TRUE","59","0","-2","Crime Rate","Madhya Pradesh","India",TRUE
"13","Retweeted NaiDunia (@Nai_Dunia):

  :     ,       ","2018-07-28 03:58:02","FALSE","0","0","1","Crime Rate","Madhya Pradesh","India",FALSE
"14","RT @Nai_Dunia:   :     ,       ","2018-07-28 03:57:55","TRUE","2","0","0","Crime Rate","Madhya Pradesh","India",FALSE
"15","RT @Nai_Dunia:   :     ,       ","2018-07-28 03:32:52","TRUE","2","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"16","RT @JhaSanjay: Madhya Pradesh is the Rape Capital of India and Rajasthan becoming the Hate Capital. Mr Modi's and the BJP's "" governance""","2018-07-28 03:12:51","TRUE","322","0","1","Crime Rate","Madhya Pradesh","India",FALSE
"17","  :     ,       ","2018-07-28 02:52:47","FALSE","2","3","0","Crime Rate","Madhya Pradesh","India",FALSE
"18","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 21:00:12","TRUE","59","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"19","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 20:39:40","TRUE","59","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"20","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 18:19:43","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"21","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 17:09:45","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"22","RT @JhaSanjay: Madhya Pradesh is the Rape Capital of India and Rajasthan becoming the Hate Capital. Mr Modi's and the BJP's "" governance""","2018-07-27 17:03:11","TRUE","322","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"23","RT @KHURRAMMOIN1: @AsYouNotWish It's highly condemnable crime and criminals should be punished but why you mentioned ""darey hue musalman"" t","2018-07-27 15:52:09","TRUE","3","0","0","Crime Rate","Madhya Pradesh","India",FALSE
"24","RT @KHURRAMMOIN1: @AsYouNotWish It's highly condemnable crime and criminals should be punished but why you mentioned ""darey hue musalman"" t","2018-07-27 15:32:03","TRUE","3","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"25","RT @KHURRAMMOIN1: @AsYouNotWish It's highly condemnable crime and criminals should be punished but why you mentioned ""darey hue musalman"" t","2018-07-27 15:24:52","TRUE","3","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"26","RT @JhaSanjay: Madhya Pradesh is the Rape Capital of India and Rajasthan becoming the Hate Capital. Mr Modi's and the BJP's "" governance""","2018-07-27 15:06:16","TRUE","322","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"27","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 14:36:01","TRUE","59","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"28","RT @JhaSanjay: Madhya Pradesh is the Rape Capital of India and Rajasthan becoming the Hate Capital. Mr Modi's and the BJP's "" governance""","2018-07-27 14:00:12","TRUE","322","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"29","RT @JhaSanjay: Madhya Pradesh is the Rape Capital of India and Rajasthan becoming the Hate Capital. Mr Modi's and the BJP's "" governance""","2018-07-27 13:58:59","TRUE","322","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"30","RT @JhaSanjay: Madhya Pradesh is the Rape Capital of India and Rajasthan becoming the Hate Capital. Mr Modi's and the BJP's "" governance""","2018-07-27 13:55:04","TRUE","322","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"31","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 13:54:12","TRUE","59","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"32","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 13:53:37","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"33","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 13:20:27","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"34","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 13:09:12","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"35","Indore  Advisory   Duplicate CRM   
.
.
.
.
.
CRM_Indore Madhya_Pradesh Cyber_Cell  ","2018-07-27 12:20:58","FALSE","0","0","0","Crime Rate","Madhya Pradesh","India",FALSE
"36","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 12:01:16","TRUE","59","0","1","Crime Rate","Madhya Pradesh","India",TRUE
"37","@AsYouNotWish It's highly condemnable crime and criminals should be punished but why you mentioned ""darey hue musal  ","2018-07-27 11:59:40","FALSE","3","6","0","Crime Rate","Madhya Pradesh","India",FALSE
"38","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 11:41:40","TRUE","59","0","-2","Crime Rate","Madhya Pradesh","India",TRUE
"39","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 11:20:45","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"40","RT @InsaafNGO:             
Fakecases
Scrap498a
Genderbiasedlaws
CrimeByWomen jail crime
","2018-07-27 10:59:39","TRUE","90","0","0","Crime Rate","Madhya Pradesh","India",FALSE
"41","RT @TimesNow: After she ran away from school last week, the victim was trapped in a bus by the conductor who raped her throughout the night","2018-07-27 10:12:45","TRUE","24","0","0","Crime Rate","Madhya Pradesh","India",FALSE
"42","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 09:51:52","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"43","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 09:50:47","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"44","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 09:27:59","TRUE","59","0","-1","Crime Rate","Madhya Pradesh","India",TRUE
"45","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 09:16:14","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"46","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 09:09:35","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
"47","RT @MahilaCongress: Madhya Pradesh is the Rape Capital of India and Rajasthan is becoming the Hate Capital. Mr Modi's and BJP's 'governanc","2018-07-27 09:09:27","TRUE","59","0","0","Crime Rate","Madhya Pradesh","India",TRUE
