"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","      :   ","2018-07-29 11:48:26","FALSE","0","0","-1","Crime Rate","Maharashtra","India",FALSE
"2","    : 
 ","2018-07-29 11:39:31","FALSE","1","2","-1","Crime Rate","Maharashtra","India",FALSE
"3","MT:       :   ","2018-07-29 11:33:27","FALSE","1","0","-1","Crime Rate","Maharashtra","India",FALSE
"4","    ,       ","2018-07-29 11:17:57","FALSE","0","0","0","Crime Rate","Maharashtra","India",FALSE
"5","Murder Crime Wife Husband Police  ","2018-07-29 09:41:40","FALSE","0","5","-1","Crime Rate","Maharashtra","India",FALSE
"6","RT @hbrajpurohit0: :        ...   ","2018-07-29 09:03:38","TRUE","11","0","3","Crime Rate","Maharashtra","India",FALSE
"7","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 07:37:43","TRUE","28","0","1","Crime Rate","Maharashtra","India",FALSE
"8","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 07:26:12","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"9","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 07:24:05","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"10","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 07:23:48","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"11","RT @rajputbalsing: Maharashtra cyber digital crime unit  is successful in  curbing piracy  !!! Providing ease of doing bussiness and secure","2018-07-29 07:05:17","TRUE","5","0","1","Crime Rate","Maharashtra","India",FALSE
"12","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 06:46:00","TRUE","28","0","-2","Crime Rate","Maharashtra","India",TRUE
"13","MT:      ","2018-07-29 06:28:25","FALSE","0","0","1","Crime Rate","Maharashtra","India",FALSE
"14","MT:      ","2018-07-29 05:54:37","FALSE","0","0","0","Crime Rate","Maharashtra","India",TRUE
"15","MT:       ","2018-07-29 05:54:10","FALSE","0","0","1","Crime Rate","Maharashtra","India",FALSE
"16","RT @sanjayj64920312: @iamnarendranath Why media is concerned about only Muzaffarpur horror only?Why they're not ready to look into the ment","2018-07-29 05:43:51","TRUE","1","0","1","Crime Rate","Maharashtra","India",FALSE
"17","RT @eSakalUpdate: Pune ChildAbuse           ","2018-07-29 05:08:15","TRUE","5","0","0","Crime Rate","Maharashtra","India",FALSE
"18","@waglenikhil It's difficult for him to save his own state Gujarat in 2019.Maharashtra, Rajasthan, M P,Chatisgarh wi  ","2018-07-29 04:58:30","FALSE","0","0","1","Crime Rate","Maharashtra","India",FALSE
"19","RT @hbrajpurohit0: :        ...   ","2018-07-29 04:54:20","TRUE","11","0","1","Crime Rate","Maharashtra","India",TRUE
"20","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 04:51:06","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"21","MT:       ","2018-07-29 04:49:59","FALSE","0","0","0","Crime Rate","Maharashtra","India",TRUE
"22","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 04:04:52","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"23","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 03:41:35","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"24","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 03:36:03","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"25","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 03:29:33","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"26","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 03:28:31","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"27","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 01:46:27","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"28","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 01:40:13","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"29","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-29 00:32:29","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"30","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 21:07:16","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"31","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 20:40:48","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"32","RT @sakshinews:   : 32  
 ","2018-07-28 20:31:02","TRUE","1","0","0","Crime Rate","Maharashtra","India",FALSE
"33","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 19:29:10","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"34","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 19:01:03","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"35","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 18:59:16","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"36","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 18:59:00","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"37","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 18:55:58","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"38","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 18:48:58","TRUE","28","0","-2","Crime Rate","Maharashtra","India",TRUE
"39","RT @mataonline:      
 ","2018-07-28 18:28:24","TRUE","4","0","0","Crime Rate","Maharashtra","India",FALSE
"40","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 18:24:17","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"41","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 18:23:12","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"42","RT @SunilMi78109357: @rashtrapatibhvn   RESPECTED PLEASE HELP ME. SHARE A LINK.  ","2018-07-28 17:39:59","TRUE","1","0","0","Crime Rate","Maharashtra","India",FALSE
"43","@iamnarendranath Why media is concerned about only Muzaffarpur horror only?Why they're not ready to look into the m  ","2018-07-28 16:57:42","FALSE","1","4","0","Crime Rate","Maharashtra","India",FALSE
"44","RT @mataonline:     
 ","2018-07-28 16:33:37","TRUE","1","0","-1","Crime Rate","Maharashtra","India",FALSE
"45","    
 ","2018-07-28 16:02:57","FALSE","1","3","0","Crime Rate","Maharashtra","India",FALSE
"46","  ;  
 ","2018-07-28 15:58:23","FALSE","0","3","0","Crime Rate","Maharashtra","India",FALSE
"47","RT @mataonline:      
 ","2018-07-28 14:00:09","TRUE","4","0","0","Crime Rate","Maharashtra","India",TRUE
"48","RT @mataonline:      
 ","2018-07-28 13:47:22","TRUE","4","0","0","Crime Rate","Maharashtra","India",TRUE
"49","RT @mataonline:      
 ","2018-07-28 13:46:25","TRUE","4","0","0","Crime Rate","Maharashtra","India",TRUE
"50","     
 ","2018-07-28 13:43:53","FALSE","4","7","0","Crime Rate","Maharashtra","India",FALSE
"51","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 13:14:04","TRUE","28","0","0","Crime Rate","Maharashtra","India",TRUE
"52","RT @bhagatsinghdaf:              
:        ... :  ","2018-07-28 13:00:14","TRUE","28","0","1","Crime Rate","Maharashtra","India",TRUE
"53","             
:        ... :  ","2018-07-28 12:59:47","FALSE","28","12","1","Crime Rate","Maharashtra","India",FALSE
"54",",     ","2018-07-28 09:54:26","FALSE","0","0","1","Crime Rate","Maharashtra","India",FALSE
"55","RT @hbrajpurohit0: :        ...   ","2018-07-28 09:34:58","TRUE","11","0","0","Crime Rate","Maharashtra","India",TRUE
"56","  : 32  
 ","2018-07-28 09:27:09","FALSE","1","3","1","Crime Rate","Maharashtra","India",FALSE
"57","RT @hbrajpurohit0: :        ...   ","2018-07-28 08:39:48","TRUE","11","0","0","Crime Rate","Maharashtra","India",TRUE
"58","RT @hbrajpurohit0: :        ...   ","2018-07-28 08:37:22","TRUE","11","0","0","Crime Rate","Maharashtra","India",TRUE
"59","RT @hbrajpurohit0: :        ...   ","2018-07-28 08:33:54","TRUE","11","0","0","Crime Rate","Maharashtra","India",TRUE
"60","RT @hbrajpurohit0: :        ...   ","2018-07-28 08:31:33","TRUE","11","0","0","Crime Rate","Maharashtra","India",TRUE
"61","RT @hbrajpurohit0: :        ...   ","2018-07-28 08:26:40","TRUE","11","0","0","Crime Rate","Maharashtra","India",TRUE
"62","RT @hbrajpurohit0: :        ...   ","2018-07-28 08:24:38","TRUE","11","0","0","Crime Rate","Maharashtra","India",TRUE
