"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:48:29","TRUE","54","0","-1","Crime Rate","West Bengal","India",FALSE
"2","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:38:51","TRUE","54","0","-1","Crime Rate","West Bengal","India",TRUE
"3","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:34:34","TRUE","54","0","-1","Crime Rate","West Bengal","India",TRUE
"4","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:31:58","TRUE","54","0","0","Crime Rate","West Bengal","India",TRUE
"5","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:26:11","TRUE","54","0","-1","Crime Rate","West Bengal","India",TRUE
"6","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:25:03","TRUE","54","0","3","Crime Rate","West Bengal","India",TRUE
"7","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:22:47","TRUE","54","0","1","Crime Rate","West Bengal","India",TRUE
"8","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:03:15","TRUE","54","0","1","Crime Rate","West Bengal","India",TRUE
"9","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:02:47","TRUE","54","0","0","Crime Rate","West Bengal","India",TRUE
"10","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:01:43","TRUE","54","0","1","Crime Rate","West Bengal","India",TRUE
"11","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:01:18","TRUE","54","0","1","Crime Rate","West Bengal","India",TRUE
"12","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 16:00:02","TRUE","54","0","-2","Crime Rate","West Bengal","India",TRUE
"13","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 15:59:52","TRUE","54","0","1","Crime Rate","West Bengal","India",TRUE
"14","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 15:58:53","TRUE","54","0","0","Crime Rate","West Bengal","India",TRUE
"15","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 15:57:40","TRUE","54","0","1","Crime Rate","West Bengal","India",TRUE
"16","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 15:57:34","TRUE","54","0","1","Crime Rate","West Bengal","India",TRUE
"17","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 15:53:09","TRUE","54","0","0","Crime Rate","West Bengal","India",TRUE
"18","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 15:50:58","TRUE","54","0","1","Crime Rate","West Bengal","India",TRUE
"19","RT @IIGoDMomll: @derekobrienmp instead of taking issue of @ippatel in Parliament talk about your @MamataOfficial rulling in WB. You hoon th","2018-07-29 15:49:33","TRUE","54","0","1","Crime Rate","West Bengal","India",TRUE
