"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-25 18:36:23","TRUE","24","0","1","Crime","Arunachal Pradesh","India",FALSE
"2","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-25 15:07:04","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"3","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-25 10:06:17","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"4","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-25 09:34:10","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"5","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-25 09:30:31","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"6","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-25 05:59:06","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"7","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-25 00:24:04","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"8","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-25 00:07:19","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"9","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 21:10:13","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"10","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 18:06:22","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"11","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 17:45:25","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"12","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 17:15:19","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"13","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 16:49:18","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"14","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 16:34:54","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"15","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 16:23:34","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"16","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 16:22:39","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"17","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 16:17:26","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"18","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 16:15:31","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"19","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 16:07:31","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"20","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 16:05:58","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"21","RT @SouleFacts: All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in Assam, W","2018-07-24 16:04:31","TRUE","24","0","1","Crime","Arunachal Pradesh","India",TRUE
"22","All Hindus who want a safe India &amp; do believe in Hindutva shud come forward to do GuruDakshina.......Any one in A  ","2018-07-24 15:59:56","FALSE","24","22","1","Crime","Arunachal Pradesh","India",FALSE
"23","Arunachal Pradesh Youth Congress(APYC) President @arunachalprade5 rejoice the Guwahati High Court decision for cond  ","2018-07-21 03:12:06","FALSE","0","0","1","Crime","Arunachal Pradesh","India",FALSE
