"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","TNT | Crime
Assam Criminals block phone, loot Rs. 10 lakh from Central Bank customer...
More details-  ","2018-07-28 09:41:59","FALSE","0","0","-1","Crime","Assam","India",FALSE
"2","Jharkhand Police' s  Crime Investigation Department (CID) probe into sale of infants at shelter home.  ","2018-07-28 08:29:24","FALSE","0","0","-1","Crime","Assam","India",FALSE
"3","RT @Ayravata: headmistress of Jamunamukh Deuri LP School, Arnamai Bora was brutally raped and murdered by the two accused on May 31, 2017,","2018-07-28 05:24:26","TRUE","13","0","-2","Crime","Assam","India",FALSE
"4","RT @shashangko: This octogenarian lady, Annabala Roy is being dragged into a detention camp in Assam. Her only crime is her ethnicity. Bein","2018-07-28 03:42:26","TRUE","64","0","-2","Crime","Assam","India",FALSE
"5","RT @rajalakshmij: @Swamy39 ji, they say ""if you help a criminal BEFORE the crime, ur an accomplice, if u help AFTER the crime, ur a lawyer""","2018-07-28 03:11:37","TRUE","218","0","-3","Crime","Assam","India",FALSE
"6","RT @shashangko: This octogenarian lady, Annabala Roy is being dragged into a detention camp in Assam. Her only crime is her ethnicity. Bein","2018-07-28 02:07:48","TRUE","64","0","-2","Crime","Assam","India",TRUE
"7","RT @shashangko: This octogenarian lady, Annabala Roy is being dragged into a detention camp in Assam. Her only crime is her ethnicity. Bein","2018-07-28 02:00:19","TRUE","64","0","-2","Crime","Assam","India",TRUE
"8","RT @shashangko: This octogenarian lady, Annabala Roy is being dragged into a detention camp in Assam. Her only crime is her ethnicity. Bein","2018-07-28 01:57:32","TRUE","64","0","-2","Crime","Assam","India",TRUE
"9","RT @shashangko: This octogenarian lady, Annabala Roy is being dragged into a detention camp in Assam. Her only crime is her ethnicity. Bein","2018-07-28 01:33:37","TRUE","64","0","-2","Crime","Assam","India",TRUE
"10","RT @shashangko: This octogenarian lady, Annabala Roy is being dragged into a detention camp in Assam. Her only crime is her ethnicity. Bein","2018-07-27 21:36:00","TRUE","64","0","-2","Crime","Assam","India",TRUE
"11","RT @shashangko: This octogenarian lady, Annabala Roy is being dragged into a detention camp in Assam. Her only crime is her ethnicity. Bein","2018-07-27 19:48:16","TRUE","64","0","-2","Crime","Assam","India",TRUE
"12","RT @shashangko: This octogenarian lady, Annabala Roy is being dragged into a detention camp in Assam. Her only crime is her ethnicity. Bein","2018-07-27 19:46:19","TRUE","64","0","-2","Crime","Assam","India",TRUE
"13","RT @shashangko: This octogenarian lady, Annabala Roy is being dragged into a detention camp in Assam. Her only crime is her ethnicity. Bein","2018-07-27 19:28:20","TRUE","64","0","-2","Crime","Assam","India",TRUE
"14",".@rajnathsingh @NRCupdateAssam @hbiswasharma @sarbanandsonwal NRC Assam
WHAT DO YOU THINK YOU ARE DOING THIS IS A CRIME AGAINST HUMANITY","2018-07-27 05:48:02","FALSE","0","0","-1","Crime","Assam","India",FALSE
"15","RT @Monkfights: TripleTalaqBill 

Heinous CrimeByWoman

JaalimBahu killed her MotherInLaw 7 yrs ago &amp; dumped her body since she was ag","2018-07-27 04:55:43","TRUE","57","0","-3","Crime","Assam","India",FALSE
"16","RT @Ayravata: headmistress of Jamunamukh Deuri LP School, Arnamai Bora was brutally raped and murdered by the two accused on May 31, 2017,","2018-07-27 02:39:48","TRUE","13","0","-2","Crime","Assam","India",TRUE
