"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @amandeep14: very soon we ll be getting Mahua Breezer from Bastar Chhattisgarh 
superb story by @divs13
@IndianExpress and great ini","2018-07-28 16:55:01","TRUE","2","0","2","Culture","Chhattisgarh","India",FALSE
"2","@junaidbxr @KPadmaRani1 This is the true culture of shameless Bharatiya Jumla Party they hv become so arrogant afte  ","2018-07-28 13:15:22","FALSE","0","0","-2","Culture","Chhattisgarh","India",FALSE
"3","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-28 08:36:13","TRUE","94","0","-1","Culture","Chhattisgarh","India",FALSE
"4","CHHATTISGARH WATERFALLS EXPEDITION
Chhattisgarh is the land full of surprises. This beautiful land is poised with e  ","2018-07-28 07:31:46","FALSE","0","0","2","Culture","Chhattisgarh","India",FALSE
"5","RT @amandeep14: very soon we ll be getting Mahua Breezer from Bastar Chhattisgarh 
superb story by @divs13
@IndianExpress and great ini","2018-07-28 07:11:01","TRUE","2","0","2","Culture","Chhattisgarh","India",TRUE
"6","1/2 on MahuaDrink Bastar Chhattisgarh to take over beer??? Business model of IndianGovernment to sell culture  ","2018-07-28 06:34:45","FALSE","0","0","0","Culture","Chhattisgarh","India",FALSE
"7","very soon we ll be getting Mahua Breezer from Bastar Chhattisgarh 
superb story by @divs13
@IndianExpress and g  ","2018-07-28 05:44:00","FALSE","2","2","1","Culture","Chhattisgarh","India",FALSE
"8","If you have culture related stock from Chhattisgarh, please do get in touch ...  ","2018-07-26 16:17:10","FALSE","0","0","0","Culture","Chhattisgarh","India",FALSE
"9","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-26 10:35:12","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"10","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-26 08:35:13","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"11","GoChhattisgarhWe heartily welcome President Ram Nath Kovind ji in Chhattisgarh, the land of rich culture &amp; vibrant  ","2018-07-25 09:25:03","FALSE","0","0","4","Culture","Chhattisgarh","India",FALSE
"12","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-24 13:44:52","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"13","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-24 05:45:57","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"14","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-24 03:37:26","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"15","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-24 01:39:33","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"16","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 23:22:33","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"17","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 18:47:53","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"18","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 17:46:52","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"19","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 16:38:52","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"20","Witness Chhattisgarh's tribal dance performances, a true reflection of the land's rich culture and heritage. India  ","2018-07-23 15:21:26","FALSE","0","3","1","Culture","Chhattisgarh","India",FALSE
"21","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 13:55:09","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"22","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 13:47:26","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"23","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 13:13:44","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"24","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 12:31:24","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"25","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 12:12:46","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"26","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 11:33:21","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"27","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 10:47:09","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"28","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 10:32:24","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"29","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 10:20:45","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"30","RT @Devendra_1925: @drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling basic","2018-07-23 10:04:51","TRUE","94","0","-1","Culture","Chhattisgarh","India",TRUE
"31","@drramansingh ji has hurt the culture culture of Chhattisgarh even after 15 years, today Chhattisgarh is battling b  ","2018-07-23 09:01:10","FALSE","0","1","-1","Culture","Chhattisgarh","India",FALSE
