"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @narendramodi: At the programme in Delhi today, talked at length about the efforts of the Central Government to improve the work culture","2018-07-29 14:52:31","TRUE","2506","0","-1","Culture","Delhi","India",FALSE
"2","@_rajeshgupta_ @ArvindKejriwal Good effort for Delhi. Why app doesnt have same policy for Punjab?   Let volunteers  ","2018-07-29 13:43:25","FALSE","0","1","-1","Culture","Delhi","India",FALSE
"3","RT @KapilMishra_IND: This beautiful Kalam Memorial in Delhi was built in record  four months by me as Culture Minister in 2016

I went to R","2018-07-29 13:35:42","TRUE","791","0","-1","Culture","Delhi","India",FALSE
"4","Maybe next india. Mcm nice culture sana. Delhi, kashmir pinned.","2018-07-29 12:59:50","FALSE","0","1","0","Culture","Delhi","India",FALSE
"5","RT @KapilMishra_IND: This beautiful Kalam Memorial in Delhi was built in record  four months by me as Culture Minister in 2016

I went to R","2018-07-29 12:42:17","TRUE","791","0","-1","Culture","Delhi","India",TRUE
"6","While departing for delhi disappointing to see almost no odia shop..&amp; some famous non Odian restaurant chain almost  ","2018-07-29 12:34:11","FALSE","0","0","3","Culture","Delhi","India",FALSE
"7","RT @AAPDelhi: Bollywood legend @AzmiShabana meets Dy CM @msisodia to discuss among other things  How more Art &amp; Culture interventions can","2018-07-29 12:31:58","TRUE","75","0","1","Culture","Delhi","India",FALSE
"8","RT @AAPDelhi: Bollywood legend @AzmiShabana meets Dy CM @msisodia to discuss among other things  How more Art &amp; Culture interventions can","2018-07-29 11:06:54","TRUE","75","0","1","Culture","Delhi","India",TRUE
"9","RT @IndiaCultureLab: Our Culture Lab had an incredible time attending Godrejs recruitment programme - LOUD at @iift1963 in Delhi! @parmesh","2018-07-29 11:06:08","TRUE","1","0","0","Culture","Delhi","India",FALSE
"10","RT @AAPDelhi: Bollywood legend @AzmiShabana meets Dy CM @msisodia to discuss among other things  How more Art &amp; Culture interventions can","2018-07-29 10:50:55","TRUE","75","0","1","Culture","Delhi","India",TRUE
"11","@SudheenKulkarni @savukku @RahulGandhi What crap? His mother did not let Pv narasimha raos body into Delhi . Stop y  ","2018-07-29 10:31:11","FALSE","0","0","1","Culture","Delhi","India",FALSE
"12","@PiyushGoyal @narendramodi Sir, I have heard you &amp; your disappointment with bureaucracy and speed of work. If Govt  ","2018-07-29 09:54:21","FALSE","0","2","-2","Culture","Delhi","India",FALSE
"13","RT @the_hindu: From Open page: 'The food culture of Delhi also changed the Punjabi way, with traditional Punjabi cuisine gaining increasing","2018-07-29 09:02:24","TRUE","4","0","1","Culture","Delhi","India",FALSE
"14","RT @the_hindu: From Open page: 'The food culture of Delhi also changed the Punjabi way, with traditional Punjabi cuisine gaining increasing","2018-07-29 09:01:47","TRUE","4","0","0","Culture","Delhi","India",TRUE
"15","RT @the_hindu: From Open page: 'The food culture of Delhi also changed the Punjabi way, with traditional Punjabi cuisine gaining increasing","2018-07-29 08:53:50","TRUE","4","0","1","Culture","Delhi","India",TRUE
"16","RT @k_satyarthi: Incidents like the sale of babies by Missionaries of Charity home, rape of minor girls by a self-styled godman in Delhi &amp;","2018-07-29 08:51:48","TRUE","721","0","1","Culture","Delhi","India",FALSE
"17","From Open page: 'The food culture of Delhi also changed the Punjabi way, with traditional Punjabi cuisine gaining i  ","2018-07-29 08:50:07","FALSE","4","21","0","Culture","Delhi","India",FALSE
"18","Our Culture Lab had an incredible time attending Godrejs recruitment programme - LOUD at @iift1963 in Delhi!  ","2018-07-29 08:19:41","FALSE","1","3","1","Culture","Delhi","India",FALSE
"19","RT @sharmaram2050: @ArvindKejriwal see the difference of working in HP govt &amp; ur Delhi govt. Bolane se nhi kaam krne se insaan mahan bnta","2018-07-29 07:58:25","TRUE","10","0","1","Culture","Delhi","India",FALSE
"20","About Centre for Cultural Resources and Training Centre:
 Functions under  Union Ministry of Culture
 Director   ","2018-07-29 07:24:39","FALSE","0","0","0","Culture","Delhi","India",FALSE
"21","RT @sharmaram2050: @ArvindKejriwal see the difference of working in HP govt &amp; ur Delhi govt. Bolane se nhi kaam krne se insaan mahan bnta","2018-07-29 07:19:46","TRUE","10","0","0","Culture","Delhi","India",TRUE
"22","RT @sharmaram2050: @ArvindKejriwal see the difference of working in HP govt &amp; ur Delhi govt. Bolane se nhi kaam krne se insaan mahan bnta","2018-07-29 07:19:28","TRUE","10","0","1","Culture","Delhi","India",TRUE
"23","RT @sharmaram2050: @ArvindKejriwal see the difference of working in HP govt &amp; ur Delhi govt. Bolane se nhi kaam krne se insaan mahan bnta","2018-07-29 07:16:53","TRUE","10","0","0","Culture","Delhi","India",TRUE
