"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @religionworldIN:        :       ","2018-07-29 15:53:43","TRUE","12","0","-1","Culture","Delhi","India",FALSE
"2","RT @GuideforAll: The museum for all former Prime Ministers of India will be constructed in which city ?
- New Delhi.

Who wins the F1 H","2018-07-29 15:53:31","TRUE","5","0","-1","Culture","Delhi","India",FALSE
"3","RT @wti_org_india: .@vivek4wild will be hosting workshops for children on Aug 14, 2018 at the first of its kind elephant-themed festival G","2018-07-29 15:50:09","TRUE","5","0","-1","Culture","Delhi","India",FALSE
"4","RT @GuideforAll: The museum for all former Prime Ministers of India will be constructed in which city ?
- New Delhi.

Who wins the F1 H","2018-07-29 15:31:53","TRUE","5","0","0","Culture","Delhi","India",TRUE
"5","RT @GuideforAll: The museum for all former Prime Ministers of India will be constructed in which city ?
- New Delhi.

Who wins the F1 H","2018-07-29 15:31:51","TRUE","5","0","-1","Culture","Delhi","India",TRUE
"6","RT @GuideforAll: The museum for all former Prime Ministers of India will be constructed in which city ?
- New Delhi.

Who wins the F1 H","2018-07-29 15:29:57","TRUE","5","0","3","Culture","Delhi","India",TRUE
"7","RT @GuideforAll: The museum for all former Prime Ministers of India will be constructed in which city ?
- New Delhi.

Who wins the F1 H","2018-07-29 15:28:53","TRUE","5","0","1","Culture","Delhi","India",TRUE
"8","The museum for all former Prime Ministers of India will be constructed in which city ?
- New Delhi.

Who wins the  ","2018-07-29 15:27:16","FALSE","5","16","1","Culture","Delhi","India",FALSE
"9","RT @MeBhavya:        :        

@DN_Thakur_Ji @vijay_vssct @vssctonline 

h","2018-07-29 14:47:18","TRUE","5","0","0","Culture","Delhi","India",FALSE
"10","RT @religionworldIN:        :       ","2018-07-29 14:47:13","TRUE","12","0","1","Culture","Delhi","India",TRUE
"11","RT @religionworldIN:        :       ","2018-07-29 14:46:47","TRUE","12","0","1","Culture","Delhi","India",TRUE
"12","RT @BORN4WIN: A museum dedicated to all former and future PrimeMinisters of India will be built at?
- Teen Murti Bhavan, Delhi

The ICC","2018-07-29 14:21:50","TRUE","8","0","-2","Culture","Delhi","India",FALSE
"13","RT @wti_org_india: .@vivek4wild will be hosting workshops for children on Aug 14, 2018 at the first of its kind elephant-themed festival G","2018-07-29 14:09:09","TRUE","5","0","1","Culture","Delhi","India",TRUE
"14","RT @BORN4WIN: A museum dedicated to all former and future PrimeMinisters of India will be built at?
- Teen Murti Bhavan, Delhi

The ICC","2018-07-29 13:50:49","TRUE","8","0","0","Culture","Delhi","India",TRUE
"15","RT @religionworldIN:        :       ","2018-07-29 13:25:48","TRUE","12","0","1","Culture","Delhi","India",TRUE
"16","RT @wti_org_india: .@vivek4wild will be hosting workshops for children on Aug 14, 2018 at the first of its kind elephant-themed festival G","2018-07-29 12:59:42","TRUE","5","0","1","Culture","Delhi","India",TRUE
"17","RT @BORN4WIN: A museum dedicated to all former and future PrimeMinisters of India will be built at?
- Teen Murti Bhavan, Delhi

The ICC","2018-07-29 12:59:06","TRUE","8","0","0","Culture","Delhi","India",TRUE
"18","RT @TrueIndology: Article says Guru Purnima was originally a Buddhist festival stolen by Hindus

Some facts

1) The word ""Guru Purnima"" is","2018-07-29 12:12:54","TRUE","1033","0","1","Culture","Delhi","India",FALSE
"19","RT @wti_org_india: .@vivek4wild will be hosting workshops for children on Aug 14, 2018 at the first of its kind elephant-themed festival G","2018-07-29 12:11:01","TRUE","5","0","1","Culture","Delhi","India",TRUE
"20","RT @wti_org_india: .@vivek4wild will be hosting workshops for children on Aug 14, 2018 at the first of its kind elephant-themed festival G","2018-07-29 12:09:49","TRUE","5","0","0","Culture","Delhi","India",TRUE
"21",".@vivek4wild will be hosting workshops for children on Aug 14, 2018 at the first of its kind elephant-themed festiv  ","2018-07-29 12:05:45","FALSE","5","8","0","Culture","Delhi","India",FALSE
"22","RT @mebrahtu1k: CREATIVE INC. WINS THE EVENT MANAGEMENT MANDATE FOR THE BIGGEST NATIONAL ...  ","2018-07-29 11:58:51","TRUE","1","0","1","Culture","Delhi","India",FALSE
"23","RT @BORN4WIN: A museum dedicated to all former and future PrimeMinisters of India will be built at?
- Teen Murti Bhavan, Delhi

The ICC","2018-07-29 11:56:22","TRUE","8","0","0","Culture","Delhi","India",TRUE
"24","RT @BORN4WIN: A museum dedicated to all former and future PrimeMinisters of India will be built at?
- Teen Murti Bhavan, Delhi

The ICC","2018-07-29 11:53:40","TRUE","8","0","1","Culture","Delhi","India",TRUE
"25","RT @BORN4WIN: A museum dedicated to all former and future PrimeMinisters of India will be built at?
- Teen Murti Bhavan, Delhi

The ICC","2018-07-29 11:52:23","TRUE","8","0","0","Culture","Delhi","India",TRUE
"26","RT @BORN4WIN: A museum dedicated to all former and future PrimeMinisters of India will be built at?
- Teen Murti Bhavan, Delhi

The ICC","2018-07-29 11:51:56","TRUE","8","0","0","Culture","Delhi","India",TRUE
"27","A museum dedicated to all former and future PrimeMinisters of India will be built at?
- Teen Murti Bhavan, Delhi  ","2018-07-29 11:51:03","FALSE","8","38","1","Culture","Delhi","India",FALSE
"28","RT @MeBhavya:        :        

@DN_Thakur_Ji @vijay_vssct @vssctonline 

h","2018-07-29 11:34:03","TRUE","5","0","1","Culture","Delhi","India",TRUE
"29","RT @religionworldIN:        :       ","2018-07-29 11:32:20","TRUE","12","0","1","Culture","Delhi","India",TRUE
"30","RT @religionworldIN:        :       ","2018-07-29 11:15:30","TRUE","12","0","1","Culture","Delhi","India",TRUE
"31","RT @religionworldIN:        :       ","2018-07-29 10:51:40","TRUE","12","0","1","Culture","Delhi","India",TRUE
"32","RT @drharshvardhan: Look forward to working together on the UK-India Tech Partnership announced by Prime Minister @narendramodi and @theres","2018-07-29 10:50:46","TRUE","43","0","0","Culture","Delhi","India",FALSE
"33","RT @MeBhavya:        :        

@DN_Thakur_Ji @vijay_vssct @vssctonline 

h","2018-07-29 10:02:38","TRUE","5","0","0","Culture","Delhi","India",TRUE
"34","RT @religionworldIN:        :       ","2018-07-29 10:02:31","TRUE","12","0","0","Culture","Delhi","India",TRUE
"35","RT @religionworldIN:        :       ","2018-07-29 08:55:11","TRUE","12","0","0","Culture","Delhi","India",TRUE
"36","       :      

@DN_Thakur_Ji 

 ","2018-07-29 08:27:14","FALSE","0","0","1","Culture","Delhi","India",FALSE
"37","RT @MeBhavya:        :        

@DN_Thakur_Ji @vijay_vssct @vssctonline 

h","2018-07-29 08:02:38","TRUE","5","0","0","Culture","Delhi","India",TRUE
"38","RT @religionworldIN:        :       ","2018-07-29 08:02:34","TRUE","12","0","-2","Culture","Delhi","India",TRUE
"39","RT @religionworldIN:        :       ","2018-07-29 08:01:27","TRUE","12","0","0","Culture","Delhi","India",TRUE
"40","RT @religionworldIN:        :       ","2018-07-29 08:00:47","TRUE","12","0","0","Culture","Delhi","India",TRUE
"41","RT @MeBhavya:        :        

@DN_Thakur_Ji @vijay_vssct @vssctonline 

h","2018-07-29 08:00:37","TRUE","5","0","0","Culture","Delhi","India",TRUE
"42","       :        

@DN_Thakur_Ji @vijay_vssct  ","2018-07-29 07:15:56","FALSE","5","21","0","Culture","Delhi","India",FALSE
"43","       :       ","2018-07-29 07:14:39","FALSE","12","30","0","Culture","Delhi","India",FALSE
"44","Last and final call for all theatre enthusiasts: Three Arts Club, one of Delhi's oldest theatre groups, is organizi  ","2018-07-29 07:01:38","FALSE","0","1","-1","Culture","Delhi","India",FALSE
"45","RT @ShailzFoodie: Rath Yatra Mahotsav in Delhi | Odiya Food 
foodvlog delhi jagannathyatra rathyatra oriyafestival festival chomping","2018-07-29 06:07:19","TRUE","2","0","0","Culture","Delhi","India",FALSE
"46","11th Aug in Delhi Watch bharatanatyam legends Dhananjayans with their son Satyajit at ParamparaSeries  ","2018-07-29 03:48:37","FALSE","0","1","0","Culture","Delhi","India",FALSE
"47","RT @ShailzFoodie: Rath Yatra Mahotsav in Delhi | Odiya Food 
foodvlog delhi jagannathyatra rathyatra oriyafestival festival chomping","2018-07-29 03:09:53","TRUE","2","0","0","Culture","Delhi","India",TRUE
"48","RT @ChompingChamp: Rath Yatra Mahotsav in Delhi | Odiya Food 
foodvlog delhi jagannathyatra rathyatra oriyafestival festival chompin","2018-07-29 03:09:46","TRUE","1","0","0","Culture","Delhi","India",FALSE
"49","Rath Yatra Mahotsav in Delhi | Odiya Food 
foodvlog delhi jagannathyatra rathyatra oriyafestival festival  ","2018-07-29 03:03:44","FALSE","2","1","0","Culture","Delhi","India",FALSE
"50","Rath Yatra Mahotsav in Delhi | Odiya Food 
foodvlog delhi jagannathyatra rathyatra oriyafestival festival  ","2018-07-29 03:01:57","FALSE","1","0","0","Culture","Delhi","India",TRUE
"51","RT @Varun_Kingdom: Meet @Varun_dvn &amp; KanganaRanaut at the MindRocks festival! Book event tickets now  ","2018-07-28 17:35:48","TRUE","20","0","0","Culture","Delhi","India",FALSE
"52","2 days more to relish the delicious Delhi delicacies! A range of purani dilli's cuisines await you at our Delhi 6 F  ","2018-07-28 12:06:18","FALSE","0","0","1","Culture","Delhi","India",FALSE
"53","National Literature Festival in association with Authorspress New Delhi on 15 Jul in Kendrapara, Odisha.  ","2018-07-28 11:27:36","FALSE","0","2","1","Culture","Delhi","India",FALSE
"54","@rkjrocks @abhi_manyu18 @Vishnu02081991x @always_attitude @ArvindKejriwal @CMDelhi Lynching, 84, kashmiri pandit le  ","2018-07-28 11:23:21","FALSE","0","0","1","Culture","Delhi","India",FALSE
"55","RT @cwejournal: Respirable Mercury Particulates and Other Chemical Constituents in Festival Aerosols in Delhi
JawaharlalNehruUniversity -","2018-07-28 11:22:16","TRUE","1","0","0","Culture","Delhi","India",FALSE
"56","RT @drharshvardhan: Look forward to working together on the UK-India Tech Partnership announced by Prime Minister @narendramodi and @theres","2018-07-28 09:00:30","TRUE","43","0","1","Culture","Delhi","India",TRUE
"57","Respirable Mercury Particulates and Other Chemical Constituents in Festival Aerosols in Delhi  ","2018-07-28 08:52:42","FALSE","1","1","0","Culture","Delhi","India",FALSE
"58","RT @jeremycorbyn: Never underestimate the power of ordinary people doing utterly extraordinary things.

My speech at the Tolpuddle Martyrs'","2018-07-28 08:25:27","TRUE","2110","0","0","Culture","Delhi","India",FALSE
"59","RT @drharshvardhan: Look forward to working together on the UK-India Tech Partnership announced by Prime Minister @narendramodi and @theres","2018-07-28 08:18:25","TRUE","43","0","0","Culture","Delhi","India",TRUE
