"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Rape is Consensual: Inside Haryana's Rape Culture:  ","2018-07-28 13:12:08","FALSE","0","1","-2","Culture","Haryana","India",FALSE
"2","VIP culture refuses r
To die in Haryana. Still Red or blue color siren fitted vehicle running.  Just saw in Gurgaon  ","2018-07-28 11:24:11","FALSE","0","0","-2","Culture","Haryana","India",FALSE
"3","Culture haryana  ","2018-07-28 06:29:53","FALSE","0","0","0","Culture","Haryana","India",FALSE
"4","I liked a @YouTube video  ","2018-07-28 04:03:55","FALSE","0","0","1","Culture","Haryana","India",FALSE
"5","Rape is Consensual: Inside Haryana's Rape Culture | Documentary by The Q...  ","2018-07-28 01:46:22","FALSE","0","3","-2","Culture","Haryana","India",FALSE
"6","@UnboundIndian @INCIndia @RahulGandhi There were drought conditions for almost 3 years. No one died of HUNGER as a  ","2018-07-27 15:41:41","FALSE","0","0","-2","Culture","Haryana","India",FALSE
"7","@AnushkaSharma @Varun_dvn @yrf Having a sportive husbad dear miss.. must kindly donate 2 piece nice quality bra n 2  ","2018-07-27 12:29:58","FALSE","0","0","1","Culture","Haryana","India",FALSE
"8","RT @InsaafNGO: Man demanded his money Bach and she filed a rape case ...         ,     ","2018-07-27 10:57:28","TRUE","141","0","-1","Culture","Haryana","India",FALSE
"9","Rape is Consensual: Inside Haryana's Rape Culture | Documentary by The Q...  ","2018-07-26 19:43:03","FALSE","0","0","-2","Culture","Haryana","India",TRUE
"10","@Rnb129 @latishachary I am from.haryana I never heard about aiyappa and sabri malai till recently. It's never part  ","2018-07-25 15:54:30","FALSE","0","0","0","Culture","Haryana","India",FALSE
"11","RT @InsaafNGO: Man demanded his money Bach and she filed a rape case ...         ,     ","2018-07-25 06:38:27","TRUE","141","0","-1","Culture","Haryana","India",TRUE
"12","RT @Pankaj_Nain_IPS: New dress code for office staff of SP Office. An effort to hv more discipline , work culture and smartness .@propolice","2018-07-23 06:40:09","TRUE","12","0","1","Culture","Haryana","India",FALSE
