"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 18:33:58","TRUE","87","0","1","Culture","Karnataka","India",FALSE
"2","RT @purnisfoodblog:  ","2018-07-28 18:31:47","TRUE","7","0","0","Culture","Karnataka","India",FALSE
"3","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 18:15:00","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"4","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 17:52:51","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"5","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 17:50:51","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"6","Proud moment for us. Our short film Vighatane gets selected to be screened at Bengaluru International Short Film Fe  ","2018-07-28 17:48:18","FALSE","0","1","1","Culture","Karnataka","India",FALSE
"7","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 17:40:24","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"8","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 17:09:12","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"9","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 17:01:14","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"10","RT @purnisfoodblog:  ","2018-07-28 17:00:25","TRUE","7","0","0","Culture","Karnataka","India",TRUE
"11","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 16:56:34","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"12","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 16:55:10","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"13","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 16:51:34","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"14","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 16:37:57","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"15","These are from Hampi in Karnataka. I arrived in the middle of the Virupaksha Car Festival - the guy with the knife  ","2018-07-28 16:34:17","FALSE","0","0","-1","Culture","Karnataka","India",FALSE
"16","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 16:32:15","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"17","RT @purnisfoodblog:  ","2018-07-28 16:24:27","TRUE","7","0","0","Culture","Karnataka","India",TRUE
"18","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 16:06:46","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"19","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 16:02:22","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"20","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 15:49:29","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"21","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 15:49:18","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"22","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 15:33:37","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"23","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 15:24:51","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"24","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 15:24:30","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"25","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 15:16:43","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"26","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 15:12:36","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"27","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 15:07:34","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"28","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 14:39:10","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"29","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 14:16:24","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"30","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 13:57:24","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"31","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 13:49:33","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"32","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 13:17:59","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"33","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 13:05:31","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"34","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 12:58:10","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"35","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 12:54:00","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"36","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 12:42:33","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"37","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 12:34:40","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"38","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 12:19:21","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"39","RT @ashok40578586: @SANAcuty27 Enama nee pulli vivaram theriyama iruka avunga luku tn thavirthu matha edathula oru kurukiya pulli than ana","2018-07-28 12:19:07","TRUE","1","0","0","Culture","Karnataka","India",FALSE
"40","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 12:06:42","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"41","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 12:05:45","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"42","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 12:03:33","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"43","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:56:25","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"44","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:53:55","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"45","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:45:32","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"46","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:40:33","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"47","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:38:26","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"48","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:35:24","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"49","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:34:33","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"50","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:26:40","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"51","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:23:22","TRUE","87","0","1","Culture","Karnataka","India",TRUE
"52","RT @incredibleindia: One of the major attractions at the Mysore Palace is the Golden throne. The throne is kept for public view only during","2018-07-28 11:20:37","TRUE","87","0","1","Culture","Karnataka","India",TRUE
