"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 08:56:29","TRUE","62","0","-1","Culture","Kerala","India",FALSE
"2","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 08:22:01","TRUE","62","0","-1","Culture","Kerala","India",TRUE
"3","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 07:55:32","TRUE","62","0","-1","Culture","Kerala","India",TRUE
"4","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 07:51:21","TRUE","62","0","0","Culture","Kerala","India",TRUE
"5","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 07:32:28","TRUE","62","0","-1","Culture","Kerala","India",TRUE
"6","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 07:30:37","TRUE","62","0","3","Culture","Kerala","India",TRUE
"7","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 07:22:07","TRUE","62","0","1","Culture","Kerala","India",TRUE
"8","RT @kadakampalli: Malabar River Festival, How a small Kerala town turned into the hub of one of Asias largest kayaking championships. Prou","2018-07-29 07:07:43","TRUE","10","0","1","Culture","Kerala","India",FALSE
"9","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 06:57:50","TRUE","62","0","0","Culture","Kerala","India",TRUE
"10","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 06:49:40","TRUE","62","0","1","Culture","Kerala","India",TRUE
"11","RT @occupy4eles: Kerala's biggest temple festival Thrissur Pooram underway. At least 100 elephants will be tortured to death  ","2018-07-29 06:43:01","TRUE","4","0","1","Culture","Kerala","India",FALSE
"12","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 06:41:58","TRUE","62","0","-2","Culture","Kerala","India",TRUE
"13","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 06:39:35","TRUE","62","0","1","Culture","Kerala","India",TRUE
"14","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 06:35:04","TRUE","62","0","0","Culture","Kerala","India",TRUE
"15","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 06:33:25","TRUE","62","0","1","Culture","Kerala","India",TRUE
"16","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 06:32:47","TRUE","62","0","1","Culture","Kerala","India",TRUE
"17","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 06:22:51","TRUE","62","0","0","Culture","Kerala","India",TRUE
"18","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 05:09:36","TRUE","62","0","1","Culture","Kerala","India",TRUE
"19","Onam festival in kerala 2013  ","2018-07-29 05:07:07","FALSE","0","0","1","Culture","Kerala","India",FALSE
"20","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 04:59:03","TRUE","62","0","0","Culture","Kerala","India",TRUE
"21","RT @kadakampalli: Malabar River Festival, How a small Kerala town turned into the hub of one of Asias largest kayaking championships. Prou","2018-07-29 04:38:48","TRUE","10","0","0","Culture","Kerala","India",TRUE
"22","Onam festival in kerala 2013  ","2018-07-29 04:32:36","FALSE","0","0","1","Culture","Kerala","India",TRUE
"23","RT @occupy4eles: Kerala's biggest temple festival Thrissur Pooram underway. At least 100 elephants will be tortured to death  ","2018-07-29 04:14:10","TRUE","4","0","0","Culture","Kerala","India",TRUE
"24","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 04:13:28","TRUE","62","0","1","Culture","Kerala","India",TRUE
"25","RT @HereSince1993: This is the old Kalari from where Puthumana Panikkars  (one of four Hindu Nair families  who became suicide fighters dur","2018-07-29 04:11:25","TRUE","62","0","0","Culture","Kerala","India",TRUE
