"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","See the "" Standard "" of this Street type Leader of @INCIndia !
Is it D way to address any Problem?
This Moron had b  ","2018-07-29 10:51:24","FALSE","0","0","-1","Culture","Madhya Pradesh","India",FALSE
"2","RT @ForumThinkers: We're pleased to announce the Dept. of Culture, Govt. of M.P. as a co-organizer of Madhya Pradesh Young Thinkers' Concla","2018-07-28 20:08:19","TRUE","6","0","-1","Culture","Madhya Pradesh","India",FALSE
"3","RT @ForumThinkers: We're pleased to announce the Dept. of Culture, Govt. of M.P. as a co-organizer of Madhya Pradesh Young Thinkers' Concla","2018-07-28 18:42:56","TRUE","6","0","-1","Culture","Madhya Pradesh","India",TRUE
"4","RT @ForumThinkers: We're pleased to announce the Dept. of Culture, Govt. of M.P. as a co-organizer of Madhya Pradesh Young Thinkers' Concla","2018-07-28 18:00:48","TRUE","6","0","0","Culture","Madhya Pradesh","India",TRUE
"5","RT @ForumThinkers: We're pleased to announce the Dept. of Culture, Govt. of M.P. as a co-organizer of Madhya Pradesh Young Thinkers' Concla","2018-07-28 17:39:08","TRUE","6","0","-1","Culture","Madhya Pradesh","India",TRUE
"6","RT @ForumThinkers: We're pleased to announce the Dept. of Culture, Govt. of M.P. as a co-organizer of Madhya Pradesh Young Thinkers' Concla","2018-07-28 17:27:58","TRUE","6","0","3","Culture","Madhya Pradesh","India",TRUE
"7","RT @ForumThinkers: We're pleased to announce the Dept. of Culture, Govt. of M.P. as a co-organizer of Madhya Pradesh Young Thinkers' Concla","2018-07-28 17:17:08","TRUE","6","0","1","Culture","Madhya Pradesh","India",TRUE
"8","We're pleased to announce the Dept. of Culture, Govt. of M.P. as a co-organizer of Madhya Pradesh Young Thinkers' C  ","2018-07-28 17:01:14","FALSE","6","12","1","Culture","Madhya Pradesh","India",FALSE
"9","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-28 07:26:04","TRUE","29","0","0","Culture","Madhya Pradesh","India",FALSE
"10","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 20:21:15","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"11","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 14:30:40","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"12","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 13:46:45","TRUE","29","0","-2","Culture","Madhya Pradesh","India",TRUE
"13","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 13:19:27","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"14","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 12:48:47","TRUE","29","0","0","Culture","Madhya Pradesh","India",TRUE
"15","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 11:47:45","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"16","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 11:26:07","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"17","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 10:07:14","TRUE","29","0","0","Culture","Madhya Pradesh","India",TRUE
"18","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 09:21:12","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"19","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 07:44:18","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"20","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 05:36:46","TRUE","29","0","0","Culture","Madhya Pradesh","India",TRUE
"21","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 05:02:05","TRUE","29","0","0","Culture","Madhya Pradesh","India",TRUE
"22","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 04:55:01","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"23","RT @NGTIndia: Sponsored: Madhya Pradesh's capital boasts of a delicious food culture. MagnificentMP

 ","2018-07-27 03:45:21","TRUE","15","0","0","Culture","Madhya Pradesh","India",FALSE
"24","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 02:22:01","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"25","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-27 02:19:51","TRUE","29","0","0","Culture","Madhya Pradesh","India",TRUE
"26","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-26 19:53:18","TRUE","29","0","0","Culture","Madhya Pradesh","India",TRUE
"27","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-26 18:18:38","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"28","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-26 17:34:40","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"29","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-26 16:01:20","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"30","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-26 15:45:58","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
"31","RT @JansamparkMP: Minister of State for Tourism and Culture (Independent Charges), Shri @SurendraPatwa01 took a meeting of Madhya Pradesh T","2018-07-26 15:44:16","TRUE","29","0","1","Culture","Madhya Pradesh","India",TRUE
