"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 11:46:41","TRUE","59","0","-1","Culture","Punjab","India",FALSE
"2","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 11:46:22","TRUE","69","0","-1","Culture","Punjab","India",TRUE
"3","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 11:46:05","TRUE","61","0","-1","Culture","Punjab","India",TRUE
"4","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 11:42:49","TRUE","49","0","0","Culture","Punjab","India",TRUE
"5","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 11:32:29","TRUE","474","0","-1","Culture","Punjab","India",FALSE
"6","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 11:29:25","TRUE","474","0","3","Culture","Punjab","India",TRUE
"7","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 11:26:26","TRUE","474","0","1","Culture","Punjab","India",TRUE
"8","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 11:24:40","TRUE","474","0","1","Culture","Punjab","India",TRUE
"9","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 11:22:07","TRUE","474","0","0","Culture","Punjab","India",TRUE
"10","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 11:09:21","TRUE","41","0","1","Culture","Punjab","India",TRUE
"11","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 10:43:25","TRUE","474","0","1","Culture","Punjab","India",TRUE
"12","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 10:30:51","TRUE","474","0","-2","Culture","Punjab","India",TRUE
"13","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 10:29:16","TRUE","474","0","1","Culture","Punjab","India",TRUE
"14","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 10:28:02","TRUE","474","0","0","Culture","Punjab","India",TRUE
"15","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 09:04:32","TRUE","474","0","1","Culture","Punjab","India",TRUE
"16","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 09:03:50","TRUE","474","0","1","Culture","Punjab","India",TRUE
"17","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 08:23:30","TRUE","474","0","0","Culture","Punjab","India",TRUE
"18","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 08:20:58","TRUE","474","0","1","Culture","Punjab","India",TRUE
"19","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 07:55:26","TRUE","474","0","1","Culture","Punjab","India",TRUE
"20","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 07:15:55","TRUE","474","0","0","Culture","Punjab","India",TRUE
"21","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 07:13:23","TRUE","474","0","0","Culture","Punjab","India",TRUE
"22","SHARHAAN SINGH IN PUNJAB||Teej Festival Celebrate sharhaan singh  ","2018-07-29 06:47:14","FALSE","0","0","1","Culture","Punjab","India",FALSE
"23","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series Question 1: Celebrations of Lord Jagannath Rath Yatra has been started from today,","2018-07-29 06:44:18","TRUE","81","0","0","Culture","Punjab","India",FALSE
"24","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series Question 2: As part of Rath Yatra, the deities of Lord Jagannath, his elder brother","2018-07-29 06:43:56","TRUE","61","0","1","Culture","Punjab","India",FALSE
"25","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 06:43:34","TRUE","60","0","0","Culture","Punjab","India",TRUE
"26","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 06:43:10","TRUE","59","0","0","Culture","Punjab","India",TRUE
"27","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 06:42:47","TRUE","69","0","1","Culture","Punjab","India",TRUE
"28","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 06:42:19","TRUE","61","0","1","Culture","Punjab","India",TRUE
"29","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 06:42:03","TRUE","49","0","1","Culture","Punjab","India",TRUE
"30","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 06:41:45","TRUE","41","0","1","Culture","Punjab","India",TRUE
"31","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 06:41:20","TRUE","56","0","1","Culture","Punjab","India",TRUE
"32","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 06:09:55","TRUE","474","0","0","Culture","Punjab","India",TRUE
"33","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 05:50:18","TRUE","474","0","0","Culture","Punjab","India",TRUE
"34","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 05:43:34","TRUE","474","0","0","Culture","Punjab","India",TRUE
"35","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 05:37:11","TRUE","474","0","0","Culture","Punjab","India",TRUE
"36","RT @pnbindia: Lord Jagannath Rath Yatra Festival Series - Check Rules at  ","2018-07-29 05:01:33","TRUE","56","0","1","Culture","Punjab","India",TRUE
"37","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-29 03:07:15","TRUE","474","0","0","Culture","Punjab","India",TRUE
"38","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 22:33:41","TRUE","474","0","-2","Culture","Punjab","India",TRUE
"39","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 22:29:41","TRUE","474","0","0","Culture","Punjab","India",TRUE
"40","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 21:43:11","TRUE","474","0","0","Culture","Punjab","India",TRUE
"41","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 20:55:28","TRUE","474","0","0","Culture","Punjab","India",TRUE
"42","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 19:22:20","TRUE","474","0","0","Culture","Punjab","India",TRUE
"43","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 19:20:47","TRUE","474","0","0","Culture","Punjab","India",TRUE
"44","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 18:57:34","TRUE","474","0","-1","Culture","Punjab","India",TRUE
"45","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 18:55:12","TRUE","474","0","0","Culture","Punjab","India",TRUE
"46","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 17:03:46","TRUE","474","0","0","Culture","Punjab","India",TRUE
"47","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 16:36:56","TRUE","474","0","0","Culture","Punjab","India",TRUE
"48","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 16:20:23","TRUE","474","0","0","Culture","Punjab","India",TRUE
"49","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 16:16:43","TRUE","474","0","0","Culture","Punjab","India",TRUE
"50","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 16:02:01","TRUE","474","0","0","Culture","Punjab","India",TRUE
"51","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:50:20","TRUE","474","0","0","Culture","Punjab","India",TRUE
"52","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:43:03","TRUE","474","0","1","Culture","Punjab","India",TRUE
"53","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:30:14","TRUE","474","0","1","Culture","Punjab","India",TRUE
"54","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:27:51","TRUE","474","0","1","Culture","Punjab","India",TRUE
"55","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:26:59","TRUE","474","0","0","Culture","Punjab","India",TRUE
"56","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:26:06","TRUE","474","0","1","Culture","Punjab","India",TRUE
"57","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:26:02","TRUE","474","0","0","Culture","Punjab","India",TRUE
"58","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:23:05","TRUE","474","0","0","Culture","Punjab","India",TRUE
"59","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:15:10","TRUE","474","0","0","Culture","Punjab","India",TRUE
"60","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 15:00:26","TRUE","474","0","0","Culture","Punjab","India",TRUE
"61","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 14:49:00","TRUE","474","0","0","Culture","Punjab","India",TRUE
"62","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 14:38:47","TRUE","474","0","0","Culture","Punjab","India",TRUE
"63","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 14:38:40","TRUE","474","0","0","Culture","Punjab","India",TRUE
"64","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 14:21:20","TRUE","474","0","0","Culture","Punjab","India",TRUE
"65","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 13:57:20","TRUE","474","0","0","Culture","Punjab","India",TRUE
"66","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 13:57:03","TRUE","474","0","0","Culture","Punjab","India",TRUE
"67","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 13:43:51","TRUE","474","0","0","Culture","Punjab","India",TRUE
"68","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 13:43:46","TRUE","474","0","0","Culture","Punjab","India",TRUE
"69","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 13:18:05","TRUE","474","0","-2","Culture","Punjab","India",TRUE
"70","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 13:03:09","TRUE","474","0","2","Culture","Punjab","India",TRUE
"71","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 12:45:05","TRUE","474","0","0","Culture","Punjab","India",TRUE
"72","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 12:42:14","TRUE","474","0","0","Culture","Punjab","India",TRUE
"73","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 12:30:03","TRUE","474","0","1","Culture","Punjab","India",TRUE
"74","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 12:09:27","TRUE","474","0","0","Culture","Punjab","India",TRUE
"75","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 11:47:42","TRUE","474","0","1","Culture","Punjab","India",TRUE
"76","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 11:42:05","TRUE","474","0","0","Culture","Punjab","India",TRUE
"77","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 11:40:30","TRUE","474","0","0","Culture","Punjab","India",TRUE
"78","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 11:23:38","TRUE","474","0","0","Culture","Punjab","India",TRUE
"79","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 11:19:20","TRUE","474","0","0","Culture","Punjab","India",TRUE
"80","ElectionResults2018
PakistansPrideImranKhan 
PrimeMinisterImranKhan 
ElectionPakistan2018 

We need (atleast co  ","2018-07-28 11:17:42","FALSE","0","0","0","Culture","Punjab","India",FALSE
"81","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 10:51:03","TRUE","474","0","0","Culture","Punjab","India",TRUE
"82","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 10:46:29","TRUE","474","0","0","Culture","Punjab","India",TRUE
"83","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 10:37:06","TRUE","474","0","0","Culture","Punjab","India",TRUE
"84","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 10:28:33","TRUE","474","0","1","Culture","Punjab","India",TRUE
"85","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 10:28:15","TRUE","474","0","0","Culture","Punjab","India",TRUE
"86","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 10:22:07","TRUE","474","0","0","Culture","Punjab","India",TRUE
"87","RT @Maria_Memon: I hope whoever forms the government in Punjab brings back Basant festival.","2018-07-28 10:15:57","TRUE","474","0","1","Culture","Punjab","India",TRUE
