"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @EdTerra: Find out more exciting facts about Jaipur which is also know as the Pink City 

Visit  ","2018-07-29 13:16:09","TRUE","1","0","-1","Culture","Rajasthan","India",FALSE
"2","Find out more exciting facts about Jaipur which is also know as the Pink City 

Visit  ","2018-07-29 12:30:00","FALSE","1","3","-1","Culture","Rajasthan","India",FALSE
"3","RT @VasundharaBJP: As a state that thrives on its art and culture, the decision to exempt statues of Deities made from Marble and to reduce","2018-07-29 11:35:42","TRUE","117","0","-1","Culture","Rajasthan","India",FALSE
"4","RT @worldwayphoto: voyagedujour  INDE DU NORD   Voyage photo au pays des maharadjas. Un voyage est ddi aux amateurs de patrimoine et d","2018-07-29 09:06:49","TRUE","1","0","0","Culture","Rajasthan","India",FALSE
"5","voyagedujour  INDE DU NORD   Voyage photo au pays des maharadjas. Un voyage est ddi aux amateurs de patrimoine  ","2018-07-29 09:05:38","FALSE","1","2","-1","Culture","Rajasthan","India",FALSE
"6","@jdajaipur @RIFFJAIPUR @my_rajasthan @VasundharaBJP @RajCMO media coverage of KaveSammelan and mushaira at  ","2018-07-29 07:37:15","FALSE","0","1","3","Culture","Rajasthan","India",FALSE
"7","RT @e_rajasthan: rajasthan marriage culture  ","2018-07-29 07:22:20","TRUE","1","0","1","Culture","Rajasthan","India",FALSE
"8","rajasthan marriage culture  ","2018-07-29 07:11:41","FALSE","1","4","1","Culture","Rajasthan","India",FALSE
"9","@incredibleindia Truly, we have incredible places, architecture, history, wildlife, culture. Unfortunately, more I  ","2018-07-29 05:48:49","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"10","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-28 17:54:31","TRUE","22","0","1","Culture","Rajasthan","India",FALSE
"11","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-28 17:29:30","TRUE","22","0","1","Culture","Rajasthan","India",TRUE
"12","RT @VasundharaBJP: As a state that thrives on its art and culture, the decision to exempt statues of Deities made from Marble and to reduce","2018-07-28 17:21:25","TRUE","117","0","-2","Culture","Rajasthan","India",TRUE
"13","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-28 14:45:35","TRUE","22","0","1","Culture","Rajasthan","India",TRUE
"14","@junaidbxr @KPadmaRani1 This is the true culture of shameless Bharatiya Jumla Party they hv become so arrogant afte  ","2018-07-28 13:15:22","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"15","RT @e_rajasthan:  ","2018-07-28 13:04:22","TRUE","2","0","1","Culture","Rajasthan","India",FALSE
"16","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-28 13:03:45","TRUE","22","0","1","Culture","Rajasthan","India",TRUE
"17","@Rajasthan_PYC @INCIndia Indian Culture Hindi se Suru hota h.....,,,,,
Angreji Se nahi....
Pehle Apne PM Ummidwaar  ","2018-07-28 12:43:35","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"18","RT @Sanjay_Dixit: I was really proud and satisfied today to receive this date produce from Barmer. I introduced tissue culture date palm fa","2018-07-28 11:21:19","TRUE","321","0","1","Culture","Rajasthan","India",FALSE
"19","Best place for kitty party.. 

Contact Us  9929949258

Visit Us -  ","2018-07-28 10:28:06","FALSE","0","1","1","Culture","Rajasthan","India",FALSE
"20","Rajasthan, the place famous for its royal grandeur..For more info visit... ","2018-07-28 09:59:56","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"21","ART-CULTURE PRACTICE QUESTION:RAJASTHAN  ","2018-07-28 09:21:13","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"22","RT @e_rajasthan:  ","2018-07-28 08:35:24","TRUE","2","0","1","Culture","Rajasthan","India",TRUE
"23","@MunchiliciousIN 1. New Delhi - The Capital
2. Punjab - The Revered one
3. Mumbai - The City of Dreams
4. Agra - Th  ","2018-07-28 07:43:39","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"24","It is not just a political fight. It is the fight to preserve the ideology of Indian culture. @INCIndia is committe  ","2018-07-28 07:25:22","FALSE","86","110","1","Culture","Rajasthan","India",FALSE
"25"," ","2018-07-28 06:26:17","FALSE","2","7","0","Culture","Rajasthan","India",FALSE
"26","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-28 05:46:59","TRUE","22","0","0","Culture","Rajasthan","India",TRUE
"27","Rajasthan is known for its culture and artistic designs. Phad Painting which is demonstrated on clothes and on wall  ","2018-07-28 04:56:20","FALSE","0","1","1","Culture","Rajasthan","India",FALSE
"28","@jdajaipur @RIFFJAIPUR @my_rajasthan @RajCMO @VasundharaBJP Saturday  "" Kavi Sammelan &amp; Mushaira ""  on 
Saturday,  ","2018-07-28 03:43:11","FALSE","0","1","1","Culture","Rajasthan","India",FALSE
"29","RT @Sanjay_Dixit: I was really proud and satisfied today to receive this date produce from Barmer. I introduced tissue culture date palm fa","2018-07-28 02:31:30","TRUE","321","0","1","Culture","Rajasthan","India",TRUE
"30","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-28 02:26:33","TRUE","22","0","1","Culture","Rajasthan","India",TRUE
"31","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-28 02:21:21","TRUE","22","0","1","Culture","Rajasthan","India",TRUE
"32","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-28 02:16:33","TRUE","22","0","0","Culture","Rajasthan","India",TRUE
"33","RT @Sanjay_Dixit: I was really proud and satisfied today to receive this date produce from Barmer. I introduced tissue culture date palm fa","2018-07-28 02:14:41","TRUE","321","0","0","Culture","Rajasthan","India",TRUE
"34","RT @Sanjay_Dixit: I was really proud and satisfied today to receive this date produce from Barmer. I introduced tissue culture date palm fa","2018-07-28 01:50:42","TRUE","321","0","0","Culture","Rajasthan","India",TRUE
"35","RT @Sanjay_Dixit: I was really proud and satisfied today to receive this date produce from Barmer. I introduced tissue culture date palm fa","2018-07-28 01:48:15","TRUE","321","0","0","Culture","Rajasthan","India",TRUE
"36","RT @TinyTrekkers: Got to be honest, not my favourite fort in India but regularly tops peoples lists. AmberFort Jaipur Part of the golden","2018-07-28 01:13:17","TRUE","3","0","1","Culture","Rajasthan","India",FALSE
"37","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-28 01:12:36","TRUE","22","0","0","Culture","Rajasthan","India",TRUE
"38","Is it enough to awaken your conscience against BJP's culture of rape, oh cursed Queen of Rajasthan @VasundharaBJP 

 ","2018-07-27 20:11:44","FALSE","0","0","-2","Culture","Rajasthan","India",FALSE
"39","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-27 18:48:33","TRUE","22","0","0","Culture","Rajasthan","India",TRUE
"40","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-27 18:45:31","TRUE","22","0","0","Culture","Rajasthan","India",TRUE
"41","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-27 18:29:08","TRUE","22","0","0","Culture","Rajasthan","India",TRUE
"42","RT @kanimozhi: Last 10 days I am here at Jaipur. Rajasthan. Lovely people &amp; wonderful classic culture. But needs miracle to retaiin GOV her","2018-07-27 17:22:35","TRUE","22","0","0","Culture","Rajasthan","India",TRUE
