"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-29 11:49:32","TRUE","58","0","-1","Culture","Rajasthan","India",FALSE
"2","RT @dipalay: The famous city ""Ajmer"" frm 30000ft ! 

Aerial view of Rajasthan's Ajmer: A major &amp; heritage city, built as Ajayameru in 12th","2018-07-29 09:21:21","TRUE","4","0","-1","Culture","Rajasthan","India",FALSE
"3","And the energy high continues on Day 3, the final day of the Rainforest world music festival 2018, RWMF2018, at the  ","2018-07-29 08:59:25","FALSE","0","0","-1","Culture","Rajasthan","India",FALSE
"4","RT @dipalay: The famous city ""Ajmer"" frm 30000ft ! 

Aerial view of Rajasthan's Ajmer: A major &amp; heritage city, built as Ajayameru in 12th","2018-07-29 07:48:12","TRUE","4","0","0","Culture","Rajasthan","India",TRUE
"5","RT @dipalay: The famous city ""Ajmer"" frm 30000ft ! 

Aerial view of Rajasthan's Ajmer: A major &amp; heritage city, built as Ajayameru in 12th","2018-07-29 06:39:51","TRUE","4","0","-1","Culture","Rajasthan","India",TRUE
"6","RT @dipalay: The famous city ""Ajmer"" frm 30000ft ! 

Aerial view of Rajasthan's Ajmer: A major &amp; heritage city, built as Ajayameru in 12th","2018-07-29 05:56:18","TRUE","4","0","3","Culture","Rajasthan","India",TRUE
"7","The famous city ""Ajmer"" frm 30000ft ! 

Aerial view of Rajasthan's Ajmer: A major &amp; heritage city, built as Ajayame  ","2018-07-29 05:49:12","FALSE","4","17","1","Culture","Rajasthan","India",FALSE
"8","RT @NewsRajasthani:                  16   ","2018-07-29 02:42:04","TRUE","1","0","1","Culture","Rajasthan","India",FALSE
"9","First ever orchid festival being held in Rajasthan's Udaipur - Merinews  ","2018-07-28 18:40:26","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"10","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-28 17:27:20","TRUE","13","0","1","Culture","Rajasthan","India",FALSE
"11","@baradwajrangan Hello, We are organizing a short film festival in Rajasthan. We would like to discuss association w  ","2018-07-28 14:53:52","FALSE","0","0","1","Culture","Rajasthan","India",FALSE
"12","@RajaSen Hello, We are organizing a short film festival in Rajasthan. We would like to discuss association with you  ","2018-07-28 14:53:40","FALSE","0","0","-2","Culture","Rajasthan","India",FALSE
"13","@ReelReptile Hello, We are organizing a short film festival in Rajasthan. We would like to discuss association with  ","2018-07-28 14:53:09","FALSE","0","0","1","Culture","Rajasthan","India",FALSE
"14","First ever orchid festival being held in Rajasthan's Udaipur  ","2018-07-28 13:59:25","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"15","_________ is one of the biggest cattle-fair in the world.

a) Dhinga Gavar
b) Pushkar Mela
c) Karni Mata Festival  ","2018-07-28 13:58:41","FALSE","0","3","1","Culture","Rajasthan","India",FALSE
"16","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-28 12:29:46","TRUE","13","0","1","Culture","Rajasthan","India",TRUE
"17","
""        ""
Sawan2018 Mahadev  Shiva Festival  ","2018-07-28 11:56:52","FALSE","0","2","0","Culture","Rajasthan","India",FALSE
"18","Udaipur     ,  Rajasthan    18     ..
 ","2018-07-28 11:20:00","FALSE","0","3","1","Culture","Rajasthan","India",FALSE
"19","Econaur Team participated and showcased in India's Biggest Digital Festival that is Rajasthan Digifest at Bikaner o  ","2018-07-28 09:32:46","FALSE","0","0","1","Culture","Rajasthan","India",FALSE
"20","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-28 09:30:15","TRUE","13","0","0","Culture","Rajasthan","India",TRUE
"21","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-28 08:33:50","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"22","By continue the delightful bond of last 4 years, Its a proud moment for Rajasthan Film Festival to disclose that t  ","2018-07-28 08:31:00","FALSE","0","0","1","Culture","Rajasthan","India",FALSE
"23","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-28 07:48:43","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"24","                 16   ","2018-07-28 07:04:54","FALSE","1","2","1","Culture","Rajasthan","India",FALSE
"25","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-28 06:08:34","TRUE","13","0","0","Culture","Rajasthan","India",TRUE
"26","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-28 06:05:05","TRUE","13","0","0","Culture","Rajasthan","India",TRUE
"27","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-28 06:04:25","TRUE","13","0","1","Culture","Rajasthan","India",TRUE
"28","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-28 05:57:30","TRUE","58","0","1","Culture","Rajasthan","India",TRUE
"29","RT @Vickykadian_: Real value collection considering screens &amp; release date. 
Padmaavat 413 cr+ 
Sanju 413 cr+ 

Padmaavat would have surp","2018-07-28 05:27:11","TRUE","4","0","1","Culture","Rajasthan","India",FALSE
"30","RT @Vickykadian_: Real value collection considering screens &amp; release date. 
Padmaavat 413 cr+ 
Sanju 413 cr+ 

Padmaavat would have surp","2018-07-28 05:26:33","TRUE","4","0","1","Culture","Rajasthan","India",TRUE
"31","RT @Vickykadian_: Real value collection considering screens &amp; release date. 
Padmaavat 413 cr+ 
Sanju 413 cr+ 

Padmaavat would have surp","2018-07-28 05:25:28","TRUE","4","0","1","Culture","Rajasthan","India",TRUE
"32","RT @Vickykadian_: Real value collection considering screens &amp; release date. 
Padmaavat 413 cr+ 
Sanju 413 cr+ 

Padmaavat would have surp","2018-07-28 05:23:29","TRUE","4","0","0","Culture","Rajasthan","India",TRUE
"33","Reminds me of the Islamic Call to prayer except much better.The Horseflies play ""Last Train To Rajasthan"" at the Gr  ","2018-07-28 03:39:48","FALSE","0","1","0","Culture","Rajasthan","India",FALSE
"34","Real value collection considering screens &amp; release date. 
Padmaavat 413 cr+ 
Sanju 413 cr+ 

Padmaavat would hav  ","2018-07-28 03:38:13","FALSE","4","4","0","Culture","Rajasthan","India",FALSE
"35","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-28 01:08:01","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"36","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 21:35:17","TRUE","58","0","1","Culture","Rajasthan","India",TRUE
"37","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 21:09:11","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"38","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 20:16:48","TRUE","58","0","-2","Culture","Rajasthan","India",TRUE
"39","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 19:12:16","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"40","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-27 18:30:08","TRUE","13","0","0","Culture","Rajasthan","India",TRUE
"41","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 18:19:29","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"42","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 17:20:38","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"43","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 17:20:04","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"44","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 16:46:56","TRUE","58","0","-1","Culture","Rajasthan","India",TRUE
"45","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 15:36:00","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"46","      ,      ","2018-07-27 15:21:46","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"47","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-27 14:58:25","TRUE","13","0","0","Culture","Rajasthan","India",TRUE
"48","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-27 14:46:18","TRUE","13","0","0","Culture","Rajasthan","India",TRUE
"49","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 14:32:34","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"50","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 14:20:40","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"51","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-27 14:20:06","TRUE","13","0","0","Culture","Rajasthan","India",TRUE
"52","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-27 14:11:42","TRUE","13","0","1","Culture","Rajasthan","India",TRUE
"53","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 14:08:33","TRUE","58","0","1","Culture","Rajasthan","India",TRUE
"54","The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors.  ","2018-07-27 13:37:58","FALSE","0","0","1","Culture","Rajasthan","India",FALSE
"55","RT @my_rajasthan: The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors. With a","2018-07-27 13:35:20","TRUE","13","0","0","Culture","Rajasthan","India",TRUE
"56","The ongoing Orchid Festival at Sajjangarh Biological Park is turning out to be a delight for eyes of its visitors.  ","2018-07-27 13:35:06","FALSE","13","47","1","Culture","Rajasthan","India",TRUE
"57","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 13:32:42","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"58","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 13:10:08","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"59","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 12:57:56","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"60","       ,          ","2018-07-27 12:48:20","FALSE","0","0","0","Culture","Rajasthan","India",FALSE
"61","Indigenous orchid varieties displayed for the visitors at Sajjangarh Biological Park fromJuly 27 to 29during the  ","2018-07-27 12:11:49","FALSE","10","25","0","Culture","Rajasthan","India",FALSE
"62","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 11:30:47","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"63","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 11:12:51","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
"64","RT @SumitkadeI: Real value collection considering screens &amp; release date. 
Padmaavat 400 cr+ 
Sanju 400 cr+ 

Padmaavat would have surpas","2018-07-27 10:59:35","TRUE","58","0","0","Culture","Rajasthan","India",TRUE
