"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 14:21:35","TRUE","687","0","-1","Culture","Tamil Nadu","India",FALSE
"2","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 14:17:27","TRUE","687","0","-1","Culture","Tamil Nadu","India",TRUE
"3","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 14:15:03","TRUE","687","0","-1","Culture","Tamil Nadu","India",TRUE
"4","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 14:03:46","TRUE","687","0","0","Culture","Tamil Nadu","India",TRUE
"5","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 14:03:21","TRUE","687","0","-1","Culture","Tamil Nadu","India",TRUE
"6","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 14:02:48","TRUE","687","0","3","Culture","Tamil Nadu","India",TRUE
"7","RT @rajeshkaipa: Women of Tamil Nadu welcoming the water of Mother Cauvery. Such a Powerful image. This is our India. This is our Culture.","2018-07-29 14:01:16","TRUE","283","0","1","Culture","Tamil Nadu","India",FALSE
"8","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 14:00:51","TRUE","687","0","1","Culture","Tamil Nadu","India",TRUE
"9","RT @festivalbharat: Darasuram is a panchayat town located 3 kilometres from Kumbakonam in Thanjavur District, Tamil Nadu. It is known for t","2018-07-29 13:41:12","TRUE","1","0","0","Culture","Tamil Nadu","India",FALSE
"10","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 13:30:35","TRUE","687","0","1","Culture","Tamil Nadu","India",TRUE
"11","Darasuram is a panchayat town located 3 kilometres from Kumbakonam in Thanjavur District, Tamil Nadu. It is known f  ","2018-07-29 13:30:14","FALSE","1","3","1","Culture","Tamil Nadu","India",FALSE
"12","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 13:25:46","TRUE","687","0","-2","Culture","Tamil Nadu","India",TRUE
"13","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 13:16:31","TRUE","687","0","1","Culture","Tamil Nadu","India",TRUE
"14","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 13:03:20","TRUE","687","0","0","Culture","Tamil Nadu","India",TRUE
"15","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 12:22:40","TRUE","687","0","1","Culture","Tamil Nadu","India",TRUE
"16","RT @shakkuiyer: The stone chain at the Varadharaja Perumal Temple. Kanchipuram, Tamil Nadu 

None provides ambiance to further lineage of s","2018-07-29 12:07:59","TRUE","687","0","1","Culture","Tamil Nadu","India",TRUE
