"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@myogiadityanath please rename the names of Uttar Pradesh- districts, towns, cities as per our Bharat culture","2018-07-29 00:34:59","FALSE","0","0","-1","Culture","Uttar Pradesh","India",FALSE
"2","RT @Revler411: @KDSindhi @MaheshMalaniPPP  ","2018-07-26 15:16:51","TRUE","1","0","-1","Culture","Uttar Pradesh","India",FALSE
"3","RT @Revler411: @KDSindhi @PPP_Org  ","2018-07-26 15:16:00","TRUE","1","0","-1","Culture","Uttar Pradesh","India",FALSE
"4","@KDSindhi @PPP_Org  ","2018-07-26 15:10:17","FALSE","1","3","0","Culture","Uttar Pradesh","India",FALSE
"5","@KDSindhi @MaheshMalaniPPP  ","2018-07-26 13:30:53","FALSE","1","2","-1","Culture","Uttar Pradesh","India",FALSE
"6","@KDSindhi @husainhaqqani  ","2018-07-26 11:53:27","FALSE","0","0","3","Culture","Uttar Pradesh","India",FALSE
"7","RT @jagran_vns:   :        
 ","2018-07-26 09:09:46","TRUE","1","0","1","Culture","Uttar Pradesh","India",FALSE
"8","  :        
 ","2018-07-26 09:02:43","FALSE","1","2","1","Culture","Uttar Pradesh","India",FALSE
"9","RT @MIB_India: Minister of State for Culture (I/C) and @moefcc, @dr_maheshsharma addressing at a program of Adoption of Taj Mahal declarati","2018-07-26 06:23:47","TRUE","9","0","0","Culture","Uttar Pradesh","India",FALSE
"10","La Cour suprme de l'Inde se dit prte  fermer et mme  dmolir le Taj Mahal si le gouvernement de l'Uttar Pr  ","2018-07-24 04:20:08","FALSE","0","1","1","Culture","Uttar Pradesh","India",FALSE
"11","   ,       
 ","2018-07-23 06:37:47","FALSE","0","1","1","Culture","Uttar Pradesh","India",FALSE
"12","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 23:05:38","TRUE","37","0","-2","Culture","Uttar Pradesh","India",FALSE
"13","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 18:02:17","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"14","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 16:07:02","TRUE","37","0","0","Culture","Uttar Pradesh","India",TRUE
"15","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 15:30:27","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"16","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 13:21:22","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"17","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 12:58:27","TRUE","37","0","0","Culture","Uttar Pradesh","India",TRUE
"18","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 12:18:27","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"19","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 12:11:37","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"20","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 11:36:05","TRUE","37","0","0","Culture","Uttar Pradesh","India",TRUE
"21","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 11:34:03","TRUE","37","0","0","Culture","Uttar Pradesh","India",TRUE
"22","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 11:33:53","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"23","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 11:20:36","TRUE","37","0","0","Culture","Uttar Pradesh","India",TRUE
"24","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 11:18:53","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"25","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 11:05:43","TRUE","37","0","0","Culture","Uttar Pradesh","India",TRUE
"26","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 10:54:35","TRUE","37","0","0","Culture","Uttar Pradesh","India",TRUE
"27","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 10:33:46","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"28","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 10:12:14","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"29","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 10:12:07","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"30","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 10:12:02","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"31","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 10:11:41","TRUE","37","0","1","Culture","Uttar Pradesh","India",TRUE
"32","RT @amritabhinder: Waxing, Shaving Against Islamic Culture, Says Darul Uloom, Issues Fatwa 

Islamic Seminary Darul Uloom Deoband in Uttar","2018-07-22 10:05:41","TRUE","37","0","0","Culture","Uttar Pradesh","India",TRUE
