"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Holi is the new groping festival in north part of india

Un-Holi and Un-safe in Vrindavan, Uttar Pradesh  ","2018-07-27 13:56:36","FALSE","0","0","-1","Culture","Uttar Pradesh","India",FALSE
"2","The opportunity to be honored by the Honorable Basic Education Director, Uttar Pradesh, at the Basic Education Fest  ","2018-07-23 12:37:20","FALSE","0","5","-1","Culture","Uttar Pradesh","India",FALSE
"3","RT @surajitdasgupta: Is Supreme Court going to push men into these exclusively women shrines/occasions?

12-day Pongala festival at Chakkul","2018-07-22 20:26:44","TRUE","35","0","-1","Culture","Uttar Pradesh","India",FALSE
"4","RT @surajitdasgupta: Is Supreme Court going to push men into these exclusively women shrines/occasions?

12-day Pongala festival at Chakkul","2018-07-22 03:37:15","TRUE","35","0","0","Culture","Uttar Pradesh","India",TRUE
"5","Disneyland, Roller coaster, Handloom and Craft festival in Pratapgarh Uttar Pradesh |  :","2018-07-21 17:33:08","FALSE","0","1","-1","Culture","Uttar Pradesh","India",FALSE
"6","   :   ''    
 ","2018-07-21 15:43:11","FALSE","0","3","3","Culture","Uttar Pradesh","India",FALSE
"7","   :       
 ","2018-07-21 08:22:15","FALSE","0","0","1","Culture","Uttar Pradesh","India",FALSE
"8","   :          
 ","2018-07-21 06:34:25","FALSE","0","1","1","Culture","Uttar Pradesh","India",FALSE
"9","RT @Hotel_PrideInn: Vijay Kiran Anand, IAS (Uttar Pradesh, 2009) has been appointed as the Kumbh Mela Officer for the 2019 festival. Kumbh","2018-07-20 12:32:31","TRUE","11","0","0","Culture","Uttar Pradesh","India",FALSE
"10","RT @surajitdasgupta: Is Supreme Court going to push men into these exclusively women shrines/occasions?

12-day Pongala festival at Chakkul","2018-07-20 08:19:08","TRUE","35","0","1","Culture","Uttar Pradesh","India",TRUE
"11","RT @surajitdasgupta: Is Supreme Court going to push men into these exclusively women shrines/occasions?

12-day Pongala festival at Chakkul","2018-07-20 06:39:05","TRUE","35","0","1","Culture","Uttar Pradesh","India",TRUE
"12","RT @surajitdasgupta: Is Supreme Court going to push men into these exclusively women shrines/occasions?

12-day Pongala festival at Chakkul","2018-07-20 06:16:17","TRUE","35","0","-2","Culture","Uttar Pradesh","India",TRUE
"13","RT @surajitdasgupta: Is Supreme Court going to push men into these exclusively women shrines/occasions?

12-day Pongala festival at Chakkul","2018-07-20 03:02:11","TRUE","35","0","1","Culture","Uttar Pradesh","India",TRUE
"14","RT @surajitdasgupta: Is Supreme Court going to push men into these exclusively women shrines/occasions?

12-day Pongala festival at Chakkul","2018-07-19 23:59:51","TRUE","35","0","0","Culture","Uttar Pradesh","India",TRUE
"15","RT @surajitdasgupta: Is Supreme Court going to push men into these exclusively women shrines/occasions?

12-day Pongala festival at Chakkul","2018-07-19 23:11:29","TRUE","35","0","1","Culture","Uttar Pradesh","India",TRUE
