"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@EconomicTimes @MamataOfficial TMC BJP if Bengalis have little common sense left, then let's unite to vote to rem  ","2018-07-29 11:59:58","FALSE","0","0","-1","Culture","West Bengal","India",FALSE
"2","India's culture of name changing is becoming game changer while they aren't to able systemize/control plate numberi  ","2018-07-28 21:38:33","FALSE","0","0","-1","Culture","West Bengal","India",FALSE
"3","@SGanguly99 Dada I want u the CM of west bengal only you can save Bangla. Join BJP and serve this beautiful state a  ","2018-07-28 17:32:32","FALSE","0","0","-1","Culture","West Bengal","India",FALSE
"4","@Bunibroto @kush07 @SankarDutta5111 @BJPSamvadWB @sidhuaug @Service2nation @ASM_BJP @drkctweets @a_truthsayer  ","2018-07-28 11:02:54","FALSE","0","0","0","Culture","West Bengal","India",FALSE
"5","RT @AngloKiller: @RajivMessage West Bengal needs autonomy. To preserve culture and language needs autonomy. Infact every nonHindi state des","2018-07-28 10:47:08","TRUE","1","0","-1","Culture","West Bengal","India",FALSE
"6","CM Mamata passed the bill to 'West Bengal as Bangla'. Kudos to the trend setter. It speaks for itself her love for  ","2018-07-28 05:19:27","FALSE","0","0","3","Culture","West Bengal","India",FALSE
"7","@derekobrienmp @OmarAbdullah @MamataOfficial @TwitterIndia This is the culture of @AITCofficial where it is normal  ","2018-07-28 02:47:20","FALSE","0","0","1","Culture","West Bengal","India",FALSE
"8","@BSNL_WB FB-26-07-1826244 I am tired in putting up allegationregarding worst culture of burdwan bsnl office at west  ","2018-07-27 11:07:20","FALSE","0","0","1","Culture","West Bengal","India",FALSE
"9","@kitkat13th @TOIIndiaNews You are right 
Her party promotes her as a future prime minister
But the thing is west Be  ","2018-07-27 10:52:39","FALSE","0","0","0","Culture","West Bengal","India",FALSE
"10","In switching West Bengal to something as localised as Bangla, the Mamata Banerjee government possibly plans to perp  ","2018-07-27 10:50:00","FALSE","0","0","1","Culture","West Bengal","India",FALSE
"11","@taslimanasreen Mamata does not understand history,culture sciece, Nothing.She is totally weird.West Bengal is a un  ","2018-07-27 06:24:27","FALSE","0","1","1","Culture","West Bengal","India",FALSE
"12","@DilipGhoshBJP Yes sir, our history, culture, struggle of Shymaprsad Mukherjee are entangled with the name of West  ","2018-07-27 05:10:50","FALSE","0","0","-2","Culture","West Bengal","India",FALSE
"13","RT @ThePrintIndia: West Bengals name change to Bangla gets a thumbs-up from filmmakers, actors, poets

 ","2018-07-26 17:16:46","TRUE","2","0","1","Culture","West Bengal","India",FALSE
"14","RT @ThePrintIndia: West Bengals name change to Bangla gets a thumbs-up from filmmakers, actors, poets

 ","2018-07-26 16:12:38","TRUE","2","0","0","Culture","West Bengal","India",TRUE
"15","West Bengals name change to Bangla gets a thumbs-up from filmmakers, actors, poets

 ","2018-07-26 16:10:00","FALSE","2","4","1","Culture","West Bengal","India",FALSE
"16","Food same , culture same , location same , people are also same , economic growth as it is cause mentality is not c  ","2018-07-26 12:40:21","FALSE","0","0","1","Culture","West Bengal","India",FALSE
"17","@TimesNow What's the matter as West Bengal is related with the memories of our all greats , Mamata govt wants to ch  ","2018-07-26 09:09:57","FALSE","0","0","0","Culture","West Bengal","India",FALSE
"18","District Information and Culture Office ,Alipurduar welcomes you.We would keep you updated on latest information re  ","2018-07-26 07:20:36","FALSE","0","1","1","Culture","West Bengal","India",FALSE
"19","@burnolwalli Hindu and their culture will be in a grave danger if mamta became P.M. I don't want India to be another west Bengal.","2018-07-25 06:06:05","FALSE","0","1","1","Culture","West Bengal","India",FALSE
