"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Today my selfi on my God Sai Temple Gurupaournami Festival near Kovvur Court West Godavari Dist  Andhra Pradesh State on 27-07-2018.","2018-07-27 15:15:41","FALSE","0","0","0","Culture","Andhra Pradesh","India",FALSE
"2","Kongunadu cuisine is an interesting amalgamation of Kerala, Karnataka and Andhra influences &amp; presents a unique gas  ","2018-07-24 17:56:59","FALSE","0","3","1","Culture","Andhra Pradesh","India",FALSE
"3","RT @venkat2235: 15AwaitingDaysForSSMBBday
15 days for the big festival in andhra","2018-07-24 15:36:27","TRUE","3","0","0","Culture","Andhra Pradesh","India",FALSE
"4","RT @venkat2235: 15AwaitingDaysForSSMBBday
15 days for the big festival in andhra","2018-07-24 14:38:58","TRUE","3","0","0","Culture","Andhra Pradesh","India",TRUE
"5","RT @venkat2235: 15AwaitingDaysForSSMBBday
15 days for the big festival in andhra","2018-07-24 14:32:36","TRUE","3","0","0","Culture","Andhra Pradesh","India",TRUE
"6","15AwaitingDaysForSSMBBday
15 days for the big festival in andhra","2018-07-24 14:30:08","FALSE","3","0","0","Culture","Andhra Pradesh","India",FALSE
"7","RT @ThanthiTV:   ...   
 ","2018-07-23 10:03:56","TRUE","1","0","0","Culture","Andhra Pradesh","India",FALSE
"8","  ...   
 ","2018-07-23 10:01:40","FALSE","1","8","0","Culture","Andhra Pradesh","India",FALSE
"9","MY Devotional Show At Prestigious SRIKALAHASTI.(,MahaShivaRaatri FESTIVAL) Andhra Pradesh South India.
Haappy to Pr  ","2018-07-22 08:21:34","FALSE","0","0","1","Culture","Andhra Pradesh","India",FALSE
"10","New Project Live: $1M Fintech Challenge  VIZAG FINTECH FESTIVAL by Fintech Valley Vizag, an initiative of G  ","2018-07-20 17:51:21","FALSE","0","0","0","Culture","Andhra Pradesh","India",FALSE
"11","New Project Live: $1M Fintech Challenge  VIZAG FINTECH FESTIVAL by Fintech Valley Vizag, an initiative of G  ","2018-07-20 14:29:25","FALSE","0","0","0","Culture","Andhra Pradesh","India",TRUE
"12","New Project Live: $1M Fintech Challenge  VIZAG FINTECH FESTIVAL by Fintech Valley Vizag, an initiative of G  ","2018-07-19 13:29:39","FALSE","0","0","0","Culture","Andhra Pradesh","India",TRUE
"13","I am very pleased to announce you my friends, I have been invited for the third consecutive time,  2016, 2017 and 2  ","2018-07-18 14:33:38","FALSE","0","0","1","Culture","Andhra Pradesh","India",FALSE
