"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @arunachallaf201: Meet East India poets at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup @PemaKhanduBJP @Kir","2018-07-28 16:33:41","TRUE","1","0","0","Culture","Arunachal Pradesh","India",FALSE
"2","Get a glimpse of her artwork at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-28 16:28:56","FALSE","0","0","0","Culture","Arunachal Pradesh","India",FALSE
"3","Bhanu Tatak will be there at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-28 11:48:54","FALSE","0","0","0","Culture","Arunachal Pradesh","India",FALSE
"4","Meet East India poets at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup @PemaKhanduBJP  ","2018-07-28 06:17:51","FALSE","1","3","0","Culture","Arunachal Pradesh","India",FALSE
"5","Catch Carolina Norbu at Arunachal Literature and Art Festival 
alaf2018 alaf artU lititup  ","2018-07-27 13:11:36","FALSE","0","1","0","Culture","Arunachal Pradesh","India",FALSE
"6","Catch Carolina Norbu at Arunachal Literature and Art Festival 
alaf2018 alaf artU lititup @PemaKhanduBJP  ","2018-07-27 11:44:03","FALSE","0","0","0","Culture","Arunachal Pradesh","India",FALSE
"7","Meet K4 Kekho at the Arunachal Literature and Art Festival 2018
alaf2018 alaf lititup artU  ","2018-07-27 07:58:41","FALSE","0","6","0","Culture","Arunachal Pradesh","India",FALSE
"8","Our very own Kekho will be present at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-26 17:52:46","FALSE","0","0","0","Culture","Arunachal Pradesh","India",FALSE
"9","Jene Hai will be present on Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-26 06:48:38","FALSE","0","0","0","Culture","Arunachal Pradesh","India",FALSE
"10","Jene Hai will be present on Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-26 06:22:24","FALSE","0","0","0","Culture","Arunachal Pradesh","India",TRUE
"11","Get a glimpse of her artwork at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-25 06:46:47","FALSE","0","0","0","Culture","Arunachal Pradesh","India",TRUE
"12","Anyone going for the Ziro Music Festival in Arunachal Pradesh? @ArunachalTsm ziro musicfestival","2018-07-24 16:55:18","FALSE","0","0","0","Culture","Arunachal Pradesh","India",FALSE
"13","Catch her at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-24 08:46:54","FALSE","0","2","0","Culture","Arunachal Pradesh","India",FALSE
"14","Get a glimpse of her artwork at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-24 05:11:51","FALSE","0","2","0","Culture","Arunachal Pradesh","India",TRUE
"15","Catch her at Arunachal Literature and Art Festival 2018 
alaf2018  alaf artU lititup @PemaKhanduBJP  ","2018-07-23 16:58:45","FALSE","0","1","0","Culture","Arunachal Pradesh","India",FALSE
"16","RT @eclectictweets: River Song directed by Sange Dorjee Thongdok has been selected for competition and premiere at 15th International Ind","2018-07-23 12:29:27","TRUE","2","0","0","Culture","Arunachal Pradesh","India",FALSE
"17","Meet the author of, 'Will Spring Bloom Again? ' at Arunachal Literature and Art Festival 2018
alaf2018 alaf  ","2018-07-23 07:28:48","FALSE","0","3","1","Culture","Arunachal Pradesh","India",FALSE
"18","RT @arunachallaf201: Are you excited for Arunachal Literature and Art Festival 2018?
alaf2018 alaf artU lititup  ","2018-07-23 00:40:13","TRUE","1","0","1","Culture","Arunachal Pradesh","India",FALSE
"19","RT @NorthEastToday: Meet Tongam Rina at Arunachal Literature and Art Festival 2018.
alalf2018 alaf artU lititup  ","2018-07-22 11:42:51","TRUE","2","0","0","Culture","Arunachal Pradesh","India",FALSE
"20","RT @NorthEastToday: Meet Tongam Rina at Arunachal Literature and Art Festival 2018.
alalf2018 alaf artU lititup  ","2018-07-22 08:23:30","TRUE","2","0","0","Culture","Arunachal Pradesh","India",TRUE
"21","Are you excited for Arunachal Literature and Art Festival 2018?
alaf2018 alaf artU lititup  ","2018-07-22 06:53:44","FALSE","1","1","1","Culture","Arunachal Pradesh","India",FALSE
"22","Meet Tongam Rina at Arunachal Literature and Art Festival 2018.
alalf2018 alaf artU lititup  ","2018-07-22 05:41:05","FALSE","2","15","0","Culture","Arunachal Pradesh","India",FALSE
"23","RT @DiscoverNE_7: The land of Monpas invites you for the most awaited Cultural festival. Join us for the everlasting experience of Tawang f","2018-07-22 04:45:54","TRUE","2","0","1","Culture","Arunachal Pradesh","India",FALSE
"24","RT @DiscoverNE_7: The land of Monpas invites you for the most awaited Cultural festival. Join us for the everlasting experience of Tawang f","2018-07-22 02:57:09","TRUE","2","0","1","Culture","Arunachal Pradesh","India",TRUE
"25","The land of Monpas invites you for the most awaited Cultural festival. Join us for the everlasting experience of Ta  ","2018-07-22 02:56:06","FALSE","2","2","1","Culture","Arunachal Pradesh","India",FALSE
"26","Meet Tongam Rina at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup
@PemaKhanduBJP  ","2018-07-21 04:31:09","FALSE","0","0","0","Culture","Arunachal Pradesh","India",FALSE
"27","RT @NorthEastToday: Meet Ponung Ering Angu at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-20 05:42:50","TRUE","1","0","0","Culture","Arunachal Pradesh","India",FALSE
"28","Meet Ponung Ering Angu at Arunachal Literature and Art Festival 2018
alaf2018 alaf artU lititup  ","2018-07-20 05:26:03","FALSE","1","1","0","Culture","Arunachal Pradesh","India",FALSE
"29","Meet Ponung Ering Angu at Arunachal Literature and Art Festival 2018  alaf2018 alaf artU lititup @PemaKhanduBJP  ","2018-07-19 16:44:12","FALSE","0","0","0","Culture","Arunachal Pradesh","India",FALSE
"30","India's Greatest Outdoor Music Festival known as""ZIRO FESTIVAL"" is going to start from 26th to 30th Sept. 2018. in  ","2018-07-19 13:46:28","FALSE","0","1","1","Culture","Arunachal Pradesh","India",FALSE
