"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@paponmusic at 7th Assam State Film Awards and Festival, Guwahati today !
papon  ","2018-07-28 18:24:53","FALSE","0","1","1","Culture","Assam","India",FALSE
"2","@paponmusic at 7th Assam State Film Award &amp; Film Festival 2018
Papon Paponuniverse  ","2018-07-28 18:19:33","FALSE","0","1","1","Culture","Assam","India",FALSE
"3","7th Assam State Film Awards and Film Festival 2018","2018-07-28 18:02:28","FALSE","0","0","1","Culture","Assam","India",FALSE
"4","RT @asomputra: The talented @Dipannitasharma from Assam wins best actress award at the Love International Film Festival Los Angeles. The A","2018-07-28 17:57:22","TRUE","3","0","5","Culture","Assam","India",FALSE
"5","National Award winning @rimadas_Artist 's VillageRockstars will be screened at 7th Assam State Film Awards &amp; Film  ","2018-07-28 15:59:30","FALSE","0","1","3","Culture","Assam","India",FALSE
"6","In Photos: 7th Assam State Film Awards &amp; Film Festival 2018( DAY 1) Srimanta Sankardev Kalakshetra, Guwahati,  ","2018-07-28 15:37:42","FALSE","0","3","1","Culture","Assam","India",FALSE
"7","Assam State Film Award and Film Festival, 2018 begins in Guwahati:  ","2018-07-28 14:10:14","FALSE","0","0","1","Culture","Assam","India",FALSE
"8","RT @asomputra: The talented @Dipannitasharma from Assam wins best actress award at the Love International Film Festival Los Angeles. The A","2018-07-28 13:48:15","TRUE","3","0","5","Culture","Assam","India",TRUE
"9","RT @asomputra: The talented @Dipannitasharma from Assam wins best actress award at the Love International Film Festival Los Angeles. The A","2018-07-28 13:38:22","TRUE","3","0","5","Culture","Assam","India",TRUE
"10","The talented @Dipannitasharma from Assam wins best actress award at the Love International Film Festival Los Angel  ","2018-07-28 13:36:19","FALSE","3","3","6","Culture","Assam","India",FALSE
"11","RT @guwahatiplus: NEWS | The films to be screened during the festival are Dr. Bezbaruah, Dinabandhu, and Bowari. @sarbanandsonwal Assam ht","2018-07-28 10:22:22","TRUE","1","0","0","Culture","Assam","India",FALSE
"12","NEWS | The films to be screened during the festival are Dr. Bezbaruah, Dinabandhu, and Bowari. @sarbanandsonwal  ","2018-07-28 09:57:44","FALSE","1","8","0","Culture","Assam","India",FALSE
"13","RT @Sentinel_Assam: Assam State Film Awards &amp; Film Festival from today
AssamStateFilmAwardsandFilmFestival2018
Awards
Sarbananda Sonowa","2018-07-28 08:56:39","TRUE","1","0","1","Culture","Assam","India",FALSE
"14","On the way to Attend Assam State Film Award and Film Festival 2018 with the two sound wizard Amrit Pritam and Deb  ","2018-07-28 08:51:41","FALSE","0","7","1","Culture","Assam","India",FALSE
"15","Assam State Film Awards &amp; Film Festival from today
AssamStateFilmAwardsandFilmFestival2018
Awards
Sarbananda So  ","2018-07-28 08:07:19","FALSE","1","1","1","Culture","Assam","India",FALSE
"16","RT @NazUChoudhury: B-Bond of Love, I-Icon of Assam, H-Humanity, U-Unity This is our Bihu,our soul..
May this festival of zeal and verve fi","2018-07-27 07:06:37","TRUE","25","0","2","Culture","Assam","India",FALSE
"17","RT @GuideforAll: Which city to host 3rd edition of Kabira festival 2018 ?
- Varanasi

Who has declared as the best male athlete in 15th N","2018-07-27 05:01:19","TRUE","21","0","1","Culture","Assam","India",FALSE
"18","Guwahati to host State film awards and film festival - Northeast Now  ","2018-07-27 04:10:12","FALSE","0","0","1","Culture","Assam","India",FALSE
"19","RT @GuideforAll: Which city to host 3rd edition of Kabira festival 2018 ?
- Varanasi

Who has declared as the best male athlete in 15th N","2018-07-27 00:58:50","TRUE","21","0","1","Culture","Assam","India",TRUE
"20","RT @GuideforAll: Which city to host 3rd edition of Kabira festival 2018 ?
- Varanasi

Who has declared as the best male athlete in 15th N","2018-07-26 17:49:16","TRUE","21","0","1","Culture","Assam","India",TRUE
"21","RT @GuideforAll: Which city to host 3rd edition of Kabira festival 2018 ?
- Varanasi

Who has declared as the best male athlete in 15th N","2018-07-26 17:32:51","TRUE","21","0","1","Culture","Assam","India",TRUE
"22","RT @GuideforAll: Which city to host 3rd edition of Kabira festival 2018 ?
- Varanasi

Who has declared as the best male athlete in 15th N","2018-07-26 16:05:41","TRUE","21","0","1","Culture","Assam","India",TRUE
"23","RT @GuideforAll: Which city to host 3rd edition of Kabira festival 2018 ?
- Varanasi

Who has declared as the best male athlete in 15th N","2018-07-26 15:30:12","TRUE","21","0","1","Culture","Assam","India",TRUE
"24","RT @GuideforAll: Which city to host 3rd edition of Kabira festival 2018 ?
- Varanasi

Who has declared as the best male athlete in 15th N","2018-07-26 15:05:51","TRUE","21","0","1","Culture","Assam","India",TRUE
"25","RT @GuideforAll: Which city to host 3rd edition of Kabira festival 2018 ?
- Varanasi

Who has declared as the best male athlete in 15th N","2018-07-26 14:57:31","TRUE","21","0","1","Culture","Assam","India",TRUE
