"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Sir bihar me kab tk education system sudherega","2018-07-28 17:26:39","FALSE","0","0","0","Education","Bihar","India",FALSE
"2","RT @TrUmeshYadav3: TET, 2011 was a mega exam in Bihar in which only 3% of appeared candidates had qualified. In spite of qualifying such a","2018-07-28 17:05:19","TRUE","5","0","0","Education","Bihar","India",FALSE
"3","Met Lakhpati Kumar, this child was selling corn at Dwarka Sec-14 Delhi; from Bihar, his parents work as labourers a  ","2018-07-28 16:48:51","FALSE","0","0","1","Education","Bihar","India",FALSE
"4","Education Minister Manish Sisodia &amp; Shereen Bhan discuss the changing face of government schools in Delhi &amp; why the  ","2018-07-28 16:27:10","FALSE","1","1","0","Education","Bihar","India",FALSE
"5","See how bihar education system works. @NitishKumar  @aajtak  @ndtv @ZeeNews  ","2018-07-28 15:58:20","FALSE","0","0","1","Education","Bihar","India",FALSE
"6","@Sanjayk62247256 @timesofindia @HRDMinistry @PrakashJavdekar Bhai himmat rakho aur jitne bhi prominent log hain sab  ","2018-07-28 15:51:47","FALSE","0","0","1","Education","Bihar","India",FALSE
"7","@Shashan15602615 @timesofindia Humari  state Bihar   dist Jamui . Lekin 
Hum  Jammu me sabha district vijaypur me a  ","2018-07-28 15:16:03","FALSE","0","1","-1","Education","Bihar","India",FALSE
"8","RT @CNBCTV18News: Tamil Nadu &amp; Maharashtra spend more on primary &amp; secondary education vs states like Bihar, UP &amp; West Bengal. In part 2 of","2018-07-28 14:58:24","TRUE","11","0","1","Education","Bihar","India",FALSE
"9","These is generation next.. God forbid how can the people of Bihar tolerate such a duffer and xxx @Ra_THORe  ","2018-07-28 14:56:51","FALSE","0","1","-1","Education","Bihar","India",FALSE
"10","@NitishKumar @SushilModi @yadavtejashwi @TejYadav14 @irvpaswan @ichiragpaswan 
2/2 Bihar ke sab neta ne milkar educ  ","2018-07-28 14:46:39","FALSE","0","0","0","Education","Bihar","India",FALSE
"11","RT @MashhoodTamanna: SWSP  Hello, Bihar government.attention please, no quality as well as quantity education is possible without  SWSP.","2018-07-28 14:14:53","TRUE","7","0","1","Education","Bihar","India",FALSE
"12","RT @MashhoodTamanna: swsp
Swsp is important for quality education in Bihar.
@NitishKumar 
@SushilModi 
@PMOIndia 
@yadavtejashwi 
@MisaBha","2018-07-28 14:14:20","TRUE","5","0","1","Education","Bihar","India",FALSE
"13","Before attempting to write about America, this lady should have done a story on the most corrupt and backward India  ","2018-07-28 14:04:38","FALSE","0","0","-2","Education","Bihar","India",FALSE
"14","RT @TrUmeshYadav3: TET, 2011 was a mega exam in Bihar in which only 3% of appeared candidates had qualified. In spite of qualifying such a","2018-07-28 13:31:59","TRUE","5","0","0","Education","Bihar","India",TRUE
"15","RT @TrUmeshYadav3: TET, 2011 was a mega exam in Bihar in which only 3% of appeared candidates had qualified. In spite of qualifying such a","2018-07-28 13:26:30","TRUE","5","0","0","Education","Bihar","India",TRUE
