"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","I liked a @YouTube video  ","2018-07-28 18:43:28","FALSE","0","0","1","Education","Bihar","India",FALSE
"2","I liked a @YouTube video  ","2018-07-28 17:56:36","FALSE","0","0","1","Education","Bihar","India",TRUE
"3","Bihar School Examination Board BSEB Patna Are Recently Declared the Class 10th (Matric) Scrutiny Annual Exam Result  ","2018-07-28 17:41:26","FALSE","0","0","0","Education","Bihar","India",FALSE
"4","RT @iJasOberoi: She was raped by her classmates, a video was shot, circulated amongst others, more classmates blackmailed her into sex, she","2018-07-28 17:39:15","TRUE","1939","0","-1","Education","Bihar","India",FALSE
"5","Arrived  safely in Bihar School  of Yoga  and met Guruji and got his blessings.","2018-07-28 15:18:39","FALSE","0","0","1","Education","Bihar","India",FALSE
"6","I liked a @YouTube video  ","2018-07-28 15:07:24","FALSE","0","0","1","Education","Bihar","India",TRUE
"7","RT @Maaiysa: Beyond sickening how little women are valued in India. Schoolgirl is raped by 18 people - including her schoolmates, teachers","2018-07-28 14:33:22","TRUE","49","0","-2","Education","Bihar","India",FALSE
"8","Bihar mein school mein Paisa Nahi Milta baccho ko school headmaster Paisa kha jata hai","2018-07-28 14:24:19","FALSE","0","0","0","Education","Bihar","India",FALSE
"9","Vpo rampur daud 
Ps kuchaikot
DISTT gopal ganj 
Bihar
851505
Ish road ke chalte ish gaov me school van bhi nahi aa  ","2018-07-28 14:19:30","FALSE","0","0","0","Education","Bihar","India",FALSE
"10","@KTRTRS Good one now Telangana joined the list of other states with Rajasthan, Kerala, Karnataka, Mysuru, Bihar, P  ","2018-07-28 14:01:47","FALSE","0","0","1","Education","Bihar","India",FALSE
"11","@vinodboianpalli @trspartyonline @PMOIndia @TelanganaCMO @KTRTRS Good one now Telangana joined the list of other s  ","2018-07-28 14:00:10","FALSE","0","0","1","Education","Bihar","India",FALSE
"12","RT @Maaiysa: Beyond sickening how little women are valued in India. Schoolgirl is raped by 18 people - including her schoolmates, teachers","2018-07-28 13:57:46","TRUE","49","0","-2","Education","Bihar","India",TRUE
"13","RT @Missioneduin: MissionEducation Team Patna (Bihar) placed a drop box as 
T.RAZA High school as on 27th July 2018.

Manav_Utthan_Sewa_","2018-07-28 12:47:08","TRUE","1","0","0","Education","Bihar","India",FALSE
"14","RT @Missioneduin: MissionEducation team Patna Bihar placed a drop box at S. Raza School Patna as on 24.07.2018

Manav_Utthan_Sewa_Samit","2018-07-28 12:04:09","TRUE","6","0","0","Education","Bihar","India",FALSE
"15","@yadavtejashwi  yr hai hamare bihar ke gopalganj distric D P high school ka road barish me students ko school jane  ","2018-07-28 08:43:44","FALSE","0","1","0","Education","Bihar","India",FALSE
"16","@yadavtejashwi @RJDforIndia ye chij aapne ghar mai bhaii ko bolta aapne per papa per implement karta tab dusray ko  ","2018-07-28 08:33:17","FALSE","0","5","0","Education","Bihar","India",FALSE
"17","@yadavtejashwi @MirrorNow @ndtvindia @ravishndtv @abpnewstv @AJEnglish @LambaAlka 

@NitishKumar Bihar Ka Jo naam h  ","2018-07-28 08:14:51","FALSE","0","1","0","Education","Bihar","India",FALSE
"18","RT @mahatmajitech: Anand Kumar || Super 30 Scam || Ramanujan School of Mathematics In Bihar, IIT Coaching:  ","2018-07-28 08:05:03","TRUE","1","0","0","Education","Bihar","India",FALSE
"19","Anand Kumar || Super 30 Scam || Ramanujan School of Mathematics In Bihar, IIT Coaching:  ","2018-07-28 08:00:54","FALSE","1","7","0","Education","Bihar","India",FALSE
"20","MissionEducation Team Patna (Bihar) placed a drop box as 
T.RAZA High school as on 27th July 2018.  ","2018-07-28 06:56:56","FALSE","1","8","0","Education","Bihar","India",FALSE
"21","RT @AshaPan72953838: @PMOIndia @SushilModi @NitishKumar @PrakashJavdekar Bihar key samast upgraded high school key shikshako ka Vetan bhugt","2018-07-28 06:06:40","TRUE","1","0","1","Education","Bihar","India",FALSE
"22","RT @kranthimirinda: @KTRTRS While appreciating the great work , it would have been great had you mentioned that originally this was launche","2018-07-28 04:28:18","TRUE","1","0","3","Education","Bihar","India",FALSE
"23","@KTRTRS While appreciating the great work , it would have been great had you mentioned that originally this was lau  ","2018-07-28 04:07:51","FALSE","1","6","3","Education","Bihar","India",FALSE
"24","        ,       ","2018-07-28 01:43:54","FALSE","0","0","0","Education","Bihar","India",FALSE
"25","       ,         ","2018-07-28 01:34:50","FALSE","0","0","0","Education","Bihar","India",FALSE
