"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @JSPLCorporate: Sustainable development begins with quality education.
JSPL is committed to give a learning atmosphere that nurtures, e","2018-07-28 04:50:51","TRUE","153","0","1","Education","Chhattisgarh","India",FALSE
"2","RT @Oneindia: Sorry state of education: No school building, so Chhattisgarh students study under a tree   ","2018-07-28 04:23:15","TRUE","1","0","-1","Education","Chhattisgarh","India",FALSE
"3","Sorry state of education: No school building, so Chhattisgarh students study under a tree   ","2018-07-28 04:13:10","FALSE","1","3","-1","Education","Chhattisgarh","India",FALSE
"4","         ,   3         ","2018-07-27 11:18:55","FALSE","0","1","0","Education","Chhattisgarh","India",FALSE
"5","RT @JSPLCorporate: Sustainable development begins with quality education.
JSPL is committed to give a learning atmosphere that nurtures, e","2018-07-27 09:38:05","TRUE","153","0","1","Education","Chhattisgarh","India",TRUE
"6","              ","2018-07-27 07:20:45","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"7","RT @PositiveBastar: 500 Yuva BPO employees tell story of silent transformation that Bastar is in midst of.Contribution of the Education Cit","2018-07-26 19:59:15","TRUE","4","0","1","Education","Chhattisgarh","India",FALSE
"8","RT @News18CG:     ,         ","2018-07-26 12:37:43","TRUE","2","0","0","Education","Chhattisgarh","India",FALSE
"9","RT @IYC: Chhattisgarh is suffering under the Raman Singh govt. There are almost 37,000 women &amp; children missing, health services are non-ex","2018-07-26 08:35:43","TRUE","268","0","-1","Education","Chhattisgarh","India",FALSE
"10","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-26 08:34:16","TRUE","51","0","1","Education","Chhattisgarh","India",FALSE
"11","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-26 07:38:33","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"12","RT @MIB_India: President, Shri RamNathKovind interacting with Divyang Students at the Saksham School, Shri Atal Bihari Vajpayee Education","2018-07-26 07:07:07","TRUE","7","0","0","Education","Chhattisgarh","India",FALSE
"13","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-26 06:51:16","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"14","RT @MIB_India: President, Shri RamNathKovind interacting with Divyang Students at the Saksham School, Shri Atal Bihari Vajpayee Education","2018-07-26 06:13:35","TRUE","7","0","0","Education","Chhattisgarh","India",TRUE
"15","Condition of chhattisgarh  education.  ","2018-07-26 05:16:38","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"16","RT @MIB_India: President, Shri RamNathKovind interacting with Divyang Students at the Saksham School, Shri Atal Bihari Vajpayee Education","2018-07-26 05:03:12","TRUE","7","0","0","Education","Chhattisgarh","India",TRUE
"17","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-26 04:38:13","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"18","RT @MIB_India: President, Shri RamNathKovind interacting with Divyang Students at the Saksham School, Shri Atal Bihari Vajpayee Education","2018-07-26 04:31:11","TRUE","7","0","0","Education","Chhattisgarh","India",TRUE
"19","RT @IYC: Chhattisgarh is suffering under the Raman Singh govt. There are almost 37,000 women &amp; children missing, health services are non-ex","2018-07-26 04:30:07","TRUE","268","0","-1","Education","Chhattisgarh","India",TRUE
"20","RT @MIB_India: President, Shri RamNathKovind interacting with Divyang Students at the Saksham School, Shri Atal Bihari Vajpayee Education","2018-07-26 04:28:37","TRUE","7","0","0","Education","Chhattisgarh","India",TRUE
"21","RT @MIB_India: President, Shri RamNathKovind interacting with Divyang Students at the Saksham School, Shri Atal Bihari Vajpayee Education","2018-07-26 04:28:16","TRUE","7","0","0","Education","Chhattisgarh","India",TRUE
"22","President, Shri RamNathKovind interacting with Divyang Students at the Saksham School, Shri Atal Bihari Vajpayee E  ","2018-07-26 04:26:26","FALSE","7","35","0","Education","Chhattisgarh","India",FALSE
"23","RT @santhoshadv: BharatBachao ChhattisgarhBachao Unemployment, paralysed Public Health and Education system in Chhattisgarh to continuing","2018-07-26 04:23:12","TRUE","151","0","0","Education","Chhattisgarh","India",FALSE
"24","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-26 01:42:50","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"25","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-26 01:24:10","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"26","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-26 01:18:46","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"27","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-26 00:02:38","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"28","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 21:12:16","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"29","RT @anshulwalia92: When it comes to the Education Development Index, Chhattisgarh ranks among the 10 bottom most states in the country, sta","2018-07-25 19:04:32","TRUE","1","0","0","Education","Chhattisgarh","India",FALSE
"30","RT @anshulwalia92: 3000 schools closed down in chhattisgarh, Right to Education is not a fundamental right according to Mr Raman Singh.@jay","2018-07-25 19:04:26","TRUE","2","0","2","Education","Chhattisgarh","India",FALSE
"31","RT @anshulwalia92: In education why Chhattisgarh ranks among the 10 bottom most states in the country?
@jaywardhanbissa 
ChhattisgarhBachao","2018-07-25 19:04:18","TRUE","1","0","0","Education","Chhattisgarh","India",FALSE
"32","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 18:34:15","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"33","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 18:10:22","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"34","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 17:24:16","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"35","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 17:03:34","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"36","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 16:37:26","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"37","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 16:23:10","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"38","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 15:45:48","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"39","RT @santhoshadv: BharatBachao ChhattisgarhBachao Unemployment, paralysed Public Health and Education system in Chhattisgarh to continuing","2018-07-25 15:36:45","TRUE","151","0","0","Education","Chhattisgarh","India",TRUE
"40","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 14:51:02","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"41","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 14:43:47","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"42","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 14:22:25","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"43","RT @KulishaM: In the past 15 years in Chhattisgarh I have only seen the roads going bad, health and education services going down, unemploy","2018-07-25 13:10:24","TRUE","9","0","-1","Education","Chhattisgarh","India",FALSE
"44","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 12:32:37","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
"45","    ,    ,        ","2018-07-25 11:49:59","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"46","RT @vishkanyaaaa: Proud of you JAWANS

Indo-Tibetan Border Force (ITBP) adopted a school in Naxal-affected Kondagaons Hadeli village (Chha","2018-07-25 11:38:29","TRUE","51","0","1","Education","Chhattisgarh","India",TRUE
