"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Students of Engineering College spread message ofcleanliness  ","2018-07-28 15:23:28","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"2","Students of Engineering College spread message ofcleanliness  ","2018-07-28 15:23:23","FALSE","0","0","0","Education","Chhattisgarh","India",TRUE
"3","Students of Engineering College spread message ofcleanliness  ","2018-07-28 15:23:19","FALSE","0","0","0","Education","Chhattisgarh","India",TRUE
"4","Students of Engineering College spread message ofcleanliness  ","2018-07-28 15:23:00","FALSE","0","0","0","Education","Chhattisgarh","India",TRUE
"5","RT @News18CG:        ,     ","2018-07-28 15:15:21","TRUE","2","0","0","Education","Chhattisgarh","India",FALSE
"6","RT @News18CG:        ,     ","2018-07-28 15:01:37","TRUE","2","0","0","Education","Chhattisgarh","India",TRUE
"7","RT @YAMANK_SAHU: Sharing SelfieWithCampus at @GpcRaipur GOVERNMENT PHYSIOTHERAPY COLLEGE RAIPUR in CG - Chhattisgarh. ABVP | Join the mov","2018-07-28 14:46:29","TRUE","5","0","0","Education","Chhattisgarh","India",FALSE
"8","RT @YAMANK_SAHU: Sharing SelfieWithCampus at @GpcRaipur GOVERNMENT PHYSIOTHERAPY COLLEGE RAIPUR in CG - Chhattisgarh. ABVP | Join the mov","2018-07-28 14:40:28","TRUE","5","0","0","Education","Chhattisgarh","India",TRUE
"9","RT @YAMANK_SAHU: Sharing SelfieWithCampus at @GpcRaipur GOVERNMENT PHYSIOTHERAPY COLLEGE RAIPUR in CG - Chhattisgarh. ABVP | Join the mov","2018-07-28 14:35:38","TRUE","5","0","0","Education","Chhattisgarh","India",TRUE
"10","RT @YAMANK_SAHU: Sharing SelfieWithCampus at @GpcRaipur GOVERNMENT PHYSIOTHERAPY COLLEGE RAIPUR in CG - Chhattisgarh. ABVP | Join the mov","2018-07-28 14:34:08","TRUE","2","0","0","Education","Chhattisgarh","India",TRUE
"11","RT @YAMANK_SAHU: Sharing SelfieWithCampus at @GpcRaipur GOVERNMENT PHYSIOTHERAPY COLLEGE RAIPUR in CG - Chhattisgarh. ABVP | Join the mov","2018-07-28 14:34:05","TRUE","5","0","0","Education","Chhattisgarh","India",TRUE
"12","RT @YAMANK_SAHU: Sharing SelfieWithCampus at @GpcRaipur GOVERNMENT PHYSIOTHERAPY COLLEGE RAIPUR in CG - Chhattisgarh. ABVP | Join the mov","2018-07-28 14:32:59","TRUE","2","0","0","Education","Chhattisgarh","India",TRUE
"13","RT @YAMANK_SAHU: Sharing SelfieWithCampus at @GpcRaipur GOVERNMENT PHYSIOTHERAPY COLLEGE RAIPUR in CG - Chhattisgarh. ABVP | Join the mov","2018-07-28 14:32:34","TRUE","5","0","0","Education","Chhattisgarh","India",TRUE
"14","Sharing SelfieWithCampus at @GpcRaipur GOVERNMENT PHYSIOTHERAPY COLLEGE RAIPUR in CG - Chhattisgarh. ABVP | Join  ","2018-07-28 14:31:32","FALSE","5","6","0","Education","Chhattisgarh","India",FALSE
"15","Sharing SelfieWithCampus at @GpcRaipur GOVERNMENT PHYSIOTHERAPY COLLEGE RAIPUR in CG - Chhattisgarh. ABVP | Join  ","2018-07-28 14:25:41","FALSE","2","4","0","Education","Chhattisgarh","India",TRUE
"16","An initiative under the Banner of SWACCHH BHART INTERNSHIP BYstudents&amp;teachers of college,CLEAN CAMPUS , GREEN CAMP  ","2018-07-28 13:23:04","FALSE","0","1","0","Education","Chhattisgarh","India",FALSE
"17","Expression Of Interest For Providing Of Coaching For Jee(Main/Advance), Neet, Pet(Iit/Nit Medical College) Examinat  ","2018-07-28 09:40:43","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"18","         ,          ","2018-07-28 07:40:58","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"19","       ,     ","2018-07-28 05:08:38","FALSE","2","0","0","Education","Chhattisgarh","India",FALSE
"20",".     ,  !!...
Chhattisgarh Bastar Jagdalpur MedicalCollege College  ","2018-07-27 13:38:15","FALSE","0","6","0","Education","Chhattisgarh","India",FALSE
"21","RT @SkillReporter: Expression of Interest invited for Empanelment of Training cum Placement  Partners by State Project Livelihood College S","2018-07-27 03:32:26","TRUE","1","0","0","Education","Chhattisgarh","India",FALSE
"22","RT @PositiveBastar: 500 Yuva BPO employees tell story of silent transformation that Bastar is in midst of.Contribution of the Education Cit","2018-07-26 19:59:15","TRUE","4","0","1","Education","Chhattisgarh","India",FALSE
"23","   @rashtrapatibhvn @PMOIndia @narendramodi @AmitShah @rammadhavbjp @Ramlal @SushmaSwaraj  ","2018-07-26 18:55:18","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"24","RT @RavishAgrawal4: @JioCare NO NETWORK SIGNAL on my @reliancejio no. 7000945504 at my residential address-

House no. 11/A, College Road,","2018-07-26 17:40:39","TRUE","2","0","0","Education","Chhattisgarh","India",FALSE
"25","RT @airnewsalerts: President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 17:28:21","TRUE","5","0","0","Education","Chhattisgarh","India",FALSE
"26","RT @RavishAgrawal4: @JioCare NO NETWORK SIGNAL on my @reliancejio no. 7000945504 at my residential address-

House no. 11/A, College Road,","2018-07-26 17:17:02","TRUE","2","0","0","Education","Chhattisgarh","India",TRUE
"27","@JioCare NO NETWORK SIGNAL on my @reliancejio no. 7000945504 at my residential address-

House no. 11/A, College Ro  ","2018-07-26 16:53:17","FALSE","2","1","0","Education","Chhattisgarh","India",FALSE
"28","RT @JurmAajTak:         ,   
 ","2018-07-26 16:20:19","TRUE","1","0","0","Education","Chhattisgarh","India",FALSE
"29","          ","2018-07-26 15:43:23","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"30","      119     ,     :  ","2018-07-26 13:43:29","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"31","        ,   
 ","2018-07-26 13:29:37","FALSE","0","1","0","Education","Chhattisgarh","India",FALSE
"32","        ,   
 ","2018-07-26 13:28:55","FALSE","1","0","0","Education","Chhattisgarh","India",TRUE
"33","Sharing SelfieWithCampus at Govt.N P A Ayurvedic college  raipur in CG - Chhattisgarh. ABVP | Join the movement |  ","2018-07-26 12:46:13","FALSE","0","3","0","Education","Chhattisgarh","India",FALSE
"34","RT @aajtak:       ,          -  
 ","2018-07-26 10:15:05","TRUE","11","0","0","Education","Chhattisgarh","India",FALSE
"35","        ,            : ","2018-07-26 07:32:00","FALSE","0","1","0","Education","Chhattisgarh","India",FALSE
"36","Expression of Interest invited for Empanelment of Training cum Placement  Partners by State Project Livelihood Coll  ","2018-07-26 04:48:35","FALSE","1","3","0","Education","Chhattisgarh","India",FALSE
"37","RT @aajtak:       ,          -  
 ","2018-07-26 03:05:07","TRUE","11","0","0","Education","Chhattisgarh","India",TRUE
"38","RT @aajtak:       ,          -  
 ","2018-07-26 03:02:50","TRUE","11","0","0","Education","Chhattisgarh","India",TRUE
"39","@rashtrapatibhvn Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.  ","2018-07-26 02:58:29","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"40","President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 02:43:56","FALSE","0","3","0","Education","Chhattisgarh","India",FALSE
"41","RT @aajtak:       ,          -  
 ","2018-07-26 02:42:42","TRUE","11","0","0","Education","Chhattisgarh","India",TRUE
"42","RT @aajtak:       ,          -  
 ","2018-07-26 02:34:38","TRUE","11","0","0","Education","Chhattisgarh","India",TRUE
"43","RT @airnewsalerts: President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 02:23:22","TRUE","5","0","0","Education","Chhattisgarh","India",TRUE
"44","President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.  ","2018-07-26 02:04:09","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"45","RT @airnewsalerts: President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 01:50:56","TRUE","5","0","0","Education","Chhattisgarh","India",TRUE
"46","RT @airnewsalerts: President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 00:33:05","TRUE","5","0","0","Education","Chhattisgarh","India",TRUE
"47","President Kovind to dedicate to the nation, Medical College &amp; Hospital at Jagdalpur, Chhattisgarh.","2018-07-26 00:30:51","FALSE","5","32","0","Education","Chhattisgarh","India",TRUE
"48","RT @aajtak:       ,          -  
 ","2018-07-25 19:26:01","TRUE","11","0","0","Education","Chhattisgarh","India",TRUE
"49","RT @aajtak:       ,          -  
 ","2018-07-25 19:06:05","TRUE","11","0","0","Education","Chhattisgarh","India",TRUE
"50","RT @aajtak:       ,          -  
 ","2018-07-25 18:39:28","TRUE","11","0","0","Education","Chhattisgarh","India",TRUE
"51","RT @aajtak:       ,          -  
 ","2018-07-25 18:37:47","TRUE","11","0","0","Education","Chhattisgarh","India",TRUE
"52","      ,          -  
 ","2018-07-25 18:28:51","FALSE","11","120","0","Education","Chhattisgarh","India",FALSE
"53","        ,            ","2018-07-25 10:31:18","FALSE","0","3","0","Education","Chhattisgarh","India",FALSE
"54","            ,       ...  ","2018-07-23 09:58:20","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"55","@narendramodi @JPNadda @drramansingh All the private medical college declared zero year for this year in Chhattisga  ","2018-07-23 04:51:38","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"56","ChhattisgarhBachao Raman Singh Failed to generate Jobs in 15Yrs for College Passouts of Chhattisgarh, still Youths  ","2018-07-23 04:41:08","FALSE","0","1","-1","Education","Chhattisgarh","India",FALSE
"57","          
 ","2018-07-22 13:26:57","FALSE","0","0","0","Education","Chhattisgarh","India",FALSE
"58","@JPNadda Ban of all private medical college in Chhattisgarh is unjustified for the future of students &amp; it will nev  ","2018-07-22 05:55:06","FALSE","0","0","-1","Education","Chhattisgarh","India",FALSE
"59","@drramansingh Ban of all private medical college in Chhattisgarh is unjustified for the future of students &amp; it wil  ","2018-07-22 05:51:09","FALSE","0","0","-1","Education","Chhattisgarh","India",FALSE
