"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 16:20:10","TRUE","70","0","-1","Education","Delhi","India",FALSE
"2","RT @fish_creek: Experience Watercolour Painting to Feed the Soul with Yasmin Irani on Aug 2. Lose yourself and learn to paint in the beauti","2018-07-29 16:19:26","TRUE","0","0","-1","Education","Delhi","India",FALSE
"3","Maharaja Agrasen College, New Delhi, Wanted Junior Library and Information Assistant  ","2018-07-29 16:07:08","FALSE","0","0","-1","Education","Delhi","India",FALSE
"4","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 15:43:06","TRUE","70","0","0","Education","Delhi","India",TRUE
"5","@navsekera sir thanks for sharing your childhood experiences of Luna  and 5 rs for 323 bus from hansraj college D  ","2018-07-29 15:19:12","FALSE","0","0","-1","Education","Delhi","India",FALSE
"6","RT @apnnewsindia: Delhi's St Stephen's College withdraws invite to WestBengal CM MamataBanerjee.  ","2018-07-29 14:46:13","TRUE","10","0","3","Education","Delhi","India",FALSE
"7","RT @ANI: WATCH: Fish seen in the water logged inside the Intensive Care Unit (ICU) of Nalanda Medical College Hospital (NMCH) in Patna fol","2018-07-29 14:10:22","TRUE","716","0","1","Education","Delhi","India",FALSE
"8","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 14:10:11","TRUE","70","0","1","Education","Delhi","India",TRUE
"9","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 13:56:57","TRUE","70","0","0","Education","Delhi","India",TRUE
"10","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 13:46:43","TRUE","70","0","1","Education","Delhi","India",TRUE
"11","@msisodia u r aiming for a clean n green Delhi. Visited the only engg college under DU..NSIT. 2 sets of toilet-bath among 13 boys.Labs awful","2018-07-29 13:45:52","FALSE","0","0","1","Education","Delhi","India",FALSE
"12","RT @bksingh1712: Delhis St. Stephen's college withdraws invite to West Bengal CM Mamata Banerjee
 ","2018-07-29 13:44:04","TRUE","2","0","-2","Education","Delhi","India",FALSE
"13","RT @skjsaurabh: First fully community organised event (without my active involvement) by students of Bhartiya Vidyapeeth College of Enginee","2018-07-29 13:43:35","TRUE","2","0","1","Education","Delhi","India",FALSE
"14","Meanwhile, Delhi Govt School Auditorium.
Show me some better Infrastructure pics.

FYI it is not even a College.  ","2018-07-29 13:41:29","FALSE","0","0","0","Education","Delhi","India",FALSE
"15","RT @ArvindGaurTeam: Standing ovation after performance of Asmita's hard-hitting street play Dastak directed by @ArvindGaur
at Jesus and Ma","2018-07-29 13:39:15","TRUE","16","0","1","Education","Delhi","India",FALSE
"16","RT @DcpDwarka: An awareness program about ""Himmat Plus App"" was organized at Bhagini  Nivedita College, Kair, New Delhi by polie staff of P","2018-07-29 13:39:02","TRUE","1","0","1","Education","Delhi","India",FALSE
"17","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 13:37:39","TRUE","70","0","0","Education","Delhi","India",TRUE
"18","RT @TimesNow: West Bengal CM Mamata Banerjees event at St Stephens college in Delhi was canceled as authorities later wrote saying that th","2018-07-29 13:30:02","TRUE","7","0","1","Education","Delhi","India",FALSE
"19","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 13:25:49","TRUE","70","0","1","Education","Delhi","India",TRUE
"20","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 13:21:33","TRUE","70","0","0","Education","Delhi","India",TRUE
"21","RT @Samaachaar_r: @DelhiNSUI
@ABVPDelhi
@PrakashJavdekar ji       @HRDMinistry DUSU
""A regular College Degre","2018-07-29 13:13:11","TRUE","3","0","0","Education","Delhi","India",FALSE
"22","Trinamool Congress suspects BJP-RSS hand as Delhi's St Stephens College withdraws invitation to Mamata Banerjee - F  ","2018-07-29 12:45:04","FALSE","0","0","1","Education","Delhi","India",FALSE
"23","RT @TOIIndiaNews: Delhi's St Stephen's College withdraws invite to Mamata Banerjee  ","2018-07-29 12:31:26","TRUE","31","0","0","Education","Delhi","India",FALSE
"24","@Devinder_Sharma They are essentially trying to buy visas to migrate.. most folks cannot afford these fees and are  ","2018-07-29 12:02:20","FALSE","0","0","1","Education","Delhi","India",FALSE
"25","Delhi university's St.Stephen college has taken back the invitation it has sent 2 Bengal Communal CM Mamta 'Mumtaz'  ","2018-07-29 11:56:09","FALSE","0","0","0","Education","Delhi","India",FALSE
"26","RT @Fairoz_JK: Opportunity calling for students of any College in Delhi. Be a part of this great program launched by @NSUIDelhi
 ","2018-07-29 11:42:29","TRUE","205","0","0","Education","Delhi","India",FALSE
"27","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 11:28:34","TRUE","70","0","1","Education","Delhi","India",TRUE
"28","RT @manisha_kadyan: Mamta Bano who is coming to Delhi for attending Catholic Bishop's conference on 31st July was also scheduled to visit S","2018-07-29 11:20:07","TRUE","70","0","1","Education","Delhi","India",TRUE
"29","RT @AAPExpress: Delhi Govt tells medical college to recruit staff for Mohalla Clinic

 Delhi Govt has directed Maulana Azad Medical Colleg","2018-07-29 11:19:22","TRUE","29","0","1","Education","Delhi","India",FALSE
"30","RT @AAPInNews: Delhi government tells medical college to recruit staff for mohalla clinics.  ","2018-07-29 11:00:27","TRUE","8","0","1","Education","Delhi","India",FALSE
