"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 19:21:08","TRUE","20","0","0","Education","Gujarat","India",FALSE
"2","RT @TOIAhmedabad: Gujarat education minister @BhupendraSinh1 announced nine-day vacation for Navratri this academic year. Days lost will be","2018-07-28 19:19:27","TRUE","5","0","-1","Education","Gujarat","India",FALSE
"3","RT @ProudBhagavathi: Dear Uninformed bimbo living off  tp money, 

RSS helps with;

1. relief &amp; rehabilitation works. ask ppl that live in","2018-07-28 19:12:43","TRUE","52","0","1","Education","Gujarat","India",FALSE
"4","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 19:12:19","TRUE","20","0","0","Education","Gujarat","India",TRUE
"5","RT @ProudBhagavathi: Dear Uninformed bimbo living off  tp money, 

RSS helps with;

1. relief &amp; rehabilitation works. ask ppl that live in","2018-07-28 19:11:54","TRUE","52","0","1","Education","Gujarat","India",TRUE
"6","@mayurpanghaal @CNBCTV18News @msisodia @ShereenBhan @AamAadmiParty i don't think there are government schools like  ","2018-07-28 18:58:38","FALSE","0","2","1","Education","Gujarat","India",FALSE
"7","RT @Bharatgohil1174: The Gujarat government's government medical and dental physiotherapy will not result in huge fees of 400 to 500 per ce","2018-07-28 18:55:26","TRUE","0","0","0","Education","Gujarat","India",FALSE
"8","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 18:50:17","TRUE","20","0","0","Education","Gujarat","India",TRUE
"9","RT @ProudBhagavathi: Dear Uninformed bimbo living off  tp money, 

RSS helps with;

1. relief &amp; rehabilitation works. ask ppl that live in","2018-07-28 18:21:51","TRUE","52","0","1","Education","Gujarat","India",TRUE
"10","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 18:21:20","TRUE","20","0","0","Education","Gujarat","India",TRUE
"11","RT @CMOGuj: The Govt of Gujarat has embarked on a mission to make Gujarat No.1 in education and is taking a series of steps to promote lite","2018-07-28 18:18:39","TRUE","44","0","0","Education","Gujarat","India",FALSE
"12","RT @TOIAhmedabad: Gujarat education minister @BhupendraSinh1 announced nine-day vacation for Navratri this academic year. Days lost will be","2018-07-28 18:17:07","TRUE","5","0","-1","Education","Gujarat","India",TRUE
"13","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 18:11:02","TRUE","20","0","0","Education","Gujarat","India",TRUE
"14","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 18:09:16","TRUE","20","0","0","Education","Gujarat","India",TRUE
"15","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 17:57:00","TRUE","20","0","0","Education","Gujarat","India",TRUE
"16","RT @Lang21067418: @CNBCTV18Live @ShereenBhan @msisodia @AamAadmiParty Shereen ji the Gujarat model of Modiji will surely be better than the","2018-07-28 17:55:33","TRUE","1","0","1","Education","Gujarat","India",FALSE
"17","RT @CMOGuj: During his visit to Rajkot today, Gujarat CM Shri @vijayrupanibjp visited primary school of Motavada village as part of Missio","2018-07-28 17:50:56","TRUE","20","0","0","Education","Gujarat","India",TRUE
"18","RT @InfoGujarat: MissionVidya - an initiative by Gujarat Government to empower basic education in the state.
MissionVidya2018 EducationF","2018-07-28 17:43:28","TRUE","7","0","1","Education","Gujarat","India",FALSE
"19","RT @InfoGujarat: MissionVidya - an initiative by Gujarat Government to empower basic education in the state.
MissionVidya2018 EducationF","2018-07-28 17:43:28","TRUE","7","0","1","Education","Gujarat","India",TRUE
