"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 19:03:26","TRUE","10","0","0","Education","Gujarat","India",FALSE
"2","RT @justgetmbbs: Gujarat increases government college medical fees by more than 4 times.
The fee for MBBS was increased from Rs. 6000 per","2018-07-28 18:08:44","TRUE","1","0","0","Education","Gujarat","India",FALSE
"3","Gujarat increases government college medical fees by more than 4 times.
The fee for MBBS was increased from Rs. 60  ","2018-07-28 18:08:20","FALSE","1","5","0","Education","Gujarat","India",FALSE
"4","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 17:41:10","TRUE","10","0","0","Education","Gujarat","India",TRUE
"5","RT @puriyash41: @IndianExpress Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; college o","2018-07-28 17:32:05","TRUE","1","0","0","Education","Gujarat","India",FALSE
"6","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 17:18:25","TRUE","10","0","0","Education","Gujarat","India",TRUE
"7","@IndianExpress Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c  ","2018-07-28 17:13:25","FALSE","1","7","0","Education","Gujarat","India",FALSE
"8","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 17:03:14","TRUE","10","0","0","Education","Gujarat","India",TRUE
"9","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 17:02:48","TRUE","10","0","0","Education","Gujarat","India",TRUE
"10","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 16:39:57","TRUE","10","0","0","Education","Gujarat","India",TRUE
"11","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 16:26:28","TRUE","10","0","0","Education","Gujarat","India",TRUE
"12","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 16:02:04","TRUE","10","0","0","Education","Gujarat","India",TRUE
"13","RT @puriyash41: @bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt school &amp; c","2018-07-28 15:58:32","TRUE","10","0","0","Education","Gujarat","India",TRUE
"14","@bsindia @narendramodi Sir how many govt medical college opened in gujarat when u were CM ? 
 
How many new Govt sc  ","2018-07-28 15:50:27","FALSE","10","11","0","Education","Gujarat","India",FALSE
"15","RT @anzar_wani: Modi:
-facilitator of 2002 Gujarat riots
-was banned from entering US

Imran Khan:
-founder of Shaukat Khanum Memorial Canc","2018-07-28 14:05:42","TRUE","61","0","0","Education","Gujarat","India",FALSE
"16","Navratri vacation declared in gujarat school/college |  / ","2018-07-28 12:56:43","FALSE","0","0","0","Education","Gujarat","India",FALSE
"17","I added a video to a @YouTube playlist  ","2018-07-28 12:56:09","FALSE","0","0","0","Education","Gujarat","India",FALSE
"18","RT @News18Guj:   -    ","2018-07-28 12:13:46","TRUE","2","0","0","Education","Gujarat","India",FALSE
"19","RT @News18Guj:   -    ","2018-07-28 12:11:35","TRUE","2","0","0","Education","Gujarat","India",TRUE
"20","  -    ","2018-07-28 12:10:20","FALSE","2","7","0","Education","Gujarat","India",FALSE
"21","EDP Module-1 General training program is currently runnings at SVNIT College, Surat. Shri Jitendrabhai Makwana and  ","2018-07-28 11:19:40","FALSE","0","2","0","Education","Gujarat","India",FALSE
"22","@vijayrupanibjp @CMOGuj @narendramodi @PMOIndia @sudhirchaudhary @sandeshnews @gujratsamachar 
Dear Modiji,
Walk-In  ","2018-07-28 10:50:55","FALSE","0","0","0","Education","Gujarat","India",FALSE
"23","RT @anzar_wani: Modi:
-facilitator of 2002 Gujarat riots
-was banned from entering US

Imran Khan:
-founder of Shaukat Khanum Memorial Canc","2018-07-28 07:49:09","TRUE","61","0","0","Education","Gujarat","India",TRUE
"24","RT @squintneon: Racist piece of elitist shit like Kunal Kamra has  blocked whole twitter but when some college in Gujarat denied him from p","2018-07-28 03:16:31","TRUE","418","0","-2","Education","Gujarat","India",FALSE
"25","    :   
-         
-   ","2018-07-28 03:06:37","FALSE","0","2","0","Education","Gujarat","India",FALSE
"26","punishment naked batman gujarat college girls sex brande roderick photos scenes et mini-films sexy xxx porn   ","2018-07-28 00:28:43","FALSE","0","0","1","Education","Gujarat","India",FALSE
"27","punishment naked batman gujarat college girls sex brande roderick photos scenes et mini-films sexy xxx porn   ","2018-07-27 21:47:23","FALSE","0","0","1","Education","Gujarat","India",TRUE
"28","RT @squintneon: Racist piece of elitist shit like Kunal Kamra has  blocked whole twitter but when some college in Gujarat denied him from p","2018-07-27 18:30:39","TRUE","418","0","-2","Education","Gujarat","India",TRUE
"29","RT @anzar_wani: Modi:
-facilitator of 2002 Gujarat riots
-was banned from entering US

Imran Khan:
-founder of Shaukat Khanum Memorial Canc","2018-07-27 18:18:50","TRUE","61","0","0","Education","Gujarat","India",TRUE
"30","RT @anzar_wani: Modi:
-facilitator of 2002 Gujarat riots
-was banned from entering US

Imran Khan:
-founder of Shaukat Khanum Memorial Canc","2018-07-27 17:21:27","TRUE","61","0","0","Education","Gujarat","India",TRUE
