"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @CIIEvents: Industry should pay serious attention towards our edu system&amp;work towards bridging the gap b/w ind&amp;academia thereby improvin","2018-07-28 18:45:49","TRUE","2","0","0","Education","Haryana","India",FALSE
"2","RT @CIIEvents: Education begins at home, parents are true teachers in an individuals life~Shri @rbsharmabjp, Honble Minister of Education","2018-07-28 18:45:43","TRUE","7","0","0","Education","Haryana","India",FALSE
"3","RT @medico956: @DaaruBaazMehta Nobody in India knows, without googling, who the Min. of Education in Haryana, Punjab, UP, TN, MP, Maharasht","2018-07-28 17:31:16","TRUE","1","0","0","Education","Haryana","India",FALSE
"4","RT @smilefoundation: My teachers say I am very naughty. But my mother says I have got the sweetest smile. What do you think?
- Shobhit (C","2018-07-28 16:46:26","TRUE","10","0","0","Education","Haryana","India",FALSE
"5","RT @Pankaj_Nain_IPS: @HRYVisionZero -V need to learn hw a collective approach of enforcement education n Engineering hv resultd in consi","2018-07-28 16:40:40","TRUE","2","0","0","Education","Haryana","India",FALSE
"6","RT @Pankaj_Nain_IPS: @HRYVisionZero -V need to learn hw a collective approach of enforcement education n Engineering hv resultd in consi","2018-07-28 15:48:37","TRUE","2","0","0","Education","Haryana","India",TRUE
"7","@HRYVisionZero -V need to learn hw a collective approach of enforcement education n Engineering hv resultd in co  ","2018-07-28 15:47:05","FALSE","2","4","0","Education","Haryana","India",FALSE
"8","RT @arhaanmumbaiyya: RyanMurderyMystery! Appreciative cbi! Shame on haryana police 4framing bus conducter! Parents&amp;school need 2 teach hum","2018-07-28 14:31:10","TRUE","4","0","-1","Education","Haryana","India",FALSE
"9","             ","2018-07-28 13:02:33","FALSE","0","1","0","Education","Haryana","India",FALSE
"10","@msisodia Sir see how exam conducted in aggarwal college ballabgarh Haryana. I have tweeted and message the pmo and  ","2018-07-28 12:30:51","FALSE","0","1","0","Education","Haryana","India",FALSE
"11","@LabourMinistry School education Haryana panchkula contractual employees through HARTRON Ko EPF ka koi benefits nah  ","2018-07-28 12:14:28","FALSE","0","0","1","Education","Haryana","India",FALSE
"12","RT @cmohry: Do You Know? 
Haryanas Higher Education Department will set up smart class rooms in 31 colleges of excellence in the 1st phase","2018-07-28 11:24:04","TRUE","85","0","2","Education","Haryana","India",FALSE
"13","The aim of education is knowledge, no matter from where you get it.
 ","2018-07-28 09:00:15","FALSE","0","0","0","Education","Haryana","India",FALSE
"14","@DaaruBaazMehta Nobody in India knows, without googling, who the Min. of Education in Haryana, Punjab, UP, TN, MP,  ","2018-07-28 08:44:37","FALSE","1","1","0","Education","Haryana","India",FALSE
"15","RT @neo_pac: Haryana Edu.  Minister Travels 809 Kms Daily, at cost of 1,55 laks/ month paid by tax payers. 

Proof that he is working very","2018-07-28 00:34:31","TRUE","32","0","0","Education","Haryana","India",FALSE
"16","RT @ella_gh: Rote learning of English now driven by government! Haryana state has a booklet with 1,000 sentences in English, the teacher te","2018-07-27 17:37:28","TRUE","1","0","0","Education","Haryana","India",FALSE
"17","@cmohry @PMOIndia @swachhbharat @BJP4India @BJP4Haryana @MIB_India @PIB_India Hmara Kasur kya that ki hmara janm an  ","2018-07-27 17:37:21","FALSE","0","0","0","Education","Haryana","India",FALSE
"18","Haryana Govt has issued transfer and promotion orders of 47 officers and officials of the Education DepartmentHry @Newindianxpress","2018-07-27 14:19:55","FALSE","0","0","0","Education","Haryana","India",FALSE
"19","RT @DaaruBaazMehta: SHARE MAX

AAP Haryana's @NaveenJaihind EXPOSES BJP in Haryana.

We work for the Poor, Modi Govt has created hurdles in","2018-07-27 12:15:22","TRUE","238","0","0","Education","Haryana","India",FALSE
"20","RT @RaviKundurthi: given the entire shaka education they got themselves, gau rakshaks will think rwanda is
a) in haryana
b) in rajasthan
c)","2018-07-27 10:35:32","TRUE","4","0","0","Education","Haryana","India",FALSE
"21","            ..
 ","2018-07-27 07:18:21","FALSE","0","0","0","Education","Haryana","India",FALSE
"22","            ..
 ","2018-07-27 07:07:29","FALSE","0","0","0","Education","Haryana","India",TRUE
"23","            ..
 ","2018-07-27 06:23:34","FALSE","0","2","0","Education","Haryana","India",TRUE
"24","            ..
 ","2018-07-27 06:23:28","FALSE","0","2","0","Education","Haryana","India",TRUE
"25","RT @DaaruBaazMehta: SHARE MAX

AAP Haryana's @NaveenJaihind EXPOSES BJP in Haryana.

We work for the Poor, Modi Govt has created hurdles in","2018-07-27 04:51:52","TRUE","238","0","0","Education","Haryana","India",TRUE
"26","Woman sarpanch suspended as a preliminary inquiry into her middle class pass certificate found it to be bogus

Gues  ","2018-07-27 01:45:30","FALSE","0","0","0","Education","Haryana","India",FALSE
"27","RT @DaaruBaazMehta: SHARE MAX

AAP Haryana's @NaveenJaihind EXPOSES BJP in Haryana.

We work for the Poor, Modi Govt has created hurdles in","2018-07-27 01:36:08","TRUE","238","0","0","Education","Haryana","India",TRUE
"28","Sorry state of Haryana government schools in region which have a central minister @Rao_InderjitS and 2 state cabin  ","2018-07-27 01:05:54","FALSE","0","4","-1","Education","Haryana","India",FALSE
"29","Woman sarpanch suspended for bogus education certificate - The Tribune  ","2018-07-26 22:31:37","FALSE","0","0","-1","Education","Haryana","India",FALSE
"30","RT @NFL_Kisan: Promoting Organic Manure, City Compost.
NFL Farmers' Education Programme in Chhapera village in Nuh distt. of Haryana.
Sci","2018-07-26 19:27:51","TRUE","1","0","0","Education","Haryana","India",FALSE
"31","RT @DaaruBaazMehta: SHARE MAX

AAP Haryana's @NaveenJaihind EXPOSES BJP in Haryana.

We work for the Poor, Modi Govt has created hurdles in","2018-07-26 17:12:30","TRUE","238","0","0","Education","Haryana","India",TRUE
"32","Promoting Organic Manure, City Compost.
NFL Farmers' Education Programme in Chhapera village in Nuh distt. of  ","2018-07-26 13:11:54","FALSE","1","25","0","Education","Haryana","India",FALSE
"33","RT @PIETPanipat: PIET, one of the top institutes of Haryana, caters to the need of aspiring students by providing world-class education and","2018-07-26 12:47:30","TRUE","1","0","1","Education","Haryana","India",FALSE
"34","Haryana Scholarship2018 - Haryana Government has introduced various scholarships to promote education in Haryana  ","2018-07-26 12:27:22","FALSE","0","0","0","Education","Haryana","India",FALSE
"35","Haryana Scholarship 2018 - Haryana Government has introduced various scholarships to SC/ ST/ BC/ OBC/ Meritorious  ","2018-07-26 12:21:12","FALSE","0","0","1","Education","Haryana","India",FALSE
"36","PIET, one of the top institutes of Haryana, caters to the need of aspiring students by providing world-class educat  ","2018-07-26 12:18:35","FALSE","1","1","1","Education","Haryana","India",FALSE
"37","List of 10 Best Schools in Gurgaon Haryana -  ","2018-07-26 12:08:38","FALSE","0","2","1","Education","Haryana","India",FALSE
