"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@msisodia Sir see how exam conducted in aggarwal college ballabgarh Haryana. I have tweeted and message the pmo and  ","2018-07-28 12:30:51","FALSE","0","1","0","Education","Haryana","India",FALSE
"2","RT @NCWIndia: Digital Literacy and Online Safety Programme conducted by @NCWIndia, @Facebook and @cyberpeacengo on 27th July, 2018 at Gov","2018-07-28 10:12:39","TRUE","1","0","0","Education","Haryana","India",FALSE
"3","Digital Literacy and Online Safety Programme conducted by @NCWIndia, @Facebook and @cyberpeacengo on 27th July, 2  ","2018-07-28 07:58:24","FALSE","1","2","0","Education","Haryana","India",FALSE
"4","Jind varsitys proposal of engg college shelved  ","2018-07-28 04:17:11","FALSE","0","1","0","Education","Haryana","India",FALSE
"5","PIET - Among Top 20 Engineering College in North India (2018)

Visit:  ","2018-07-26 12:27:31","FALSE","0","0","1","Education","Haryana","India",FALSE
"6","          ,      ","2018-07-26 06:53:35","FALSE","0","0","0","Education","Haryana","India",FALSE
"7","          ,     ","2018-07-25 19:22:03","FALSE","0","0","0","Education","Haryana","India",FALSE
"8","VISA UPDATE: CONGRATULATIONS TO OUR STUDENT  TANPREET KAUR FROM  KURUKSHETRA, HARYANA   FOR GETTING VISA FOR CANADA  ","2018-07-25 13:33:48","FALSE","0","0","1","Education","Haryana","India",FALSE
"9","RT @gitmfarukhnagar: Gurugram Global College of Pharmacy ,Gurugram ,Haryana 
 ","2018-07-25 06:14:52","TRUE","3","0","0","Education","Haryana","India",FALSE
"10","Best College For B.Ed In Delhi, Best Colleges For B.Ed In Delhi, Llb Colleges In Delhi Ncr, B.Ed Colleges In Haryan  ","2018-07-25 05:36:29","FALSE","0","0","2","Education","Haryana","India",FALSE
"11"," ","2018-07-25 02:58:54","FALSE","0","0","0","Education","Haryana","India",FALSE
"12","@justgetmbbs @hpreddyiitm apart from these two 400 seats of 3 new Govt medical colleges of MP 150 seats of new coll  ","2018-07-24 10:46:59","FALSE","0","1","0","Education","Haryana","India",FALSE
"13","Dr. Nikhil Verma from ESIC Medical College and Hospital talks about his experience with ISKCON Food Relief Foundati  ","2018-07-24 06:47:36","FALSE","0","0","1","Education","Haryana","India",FALSE
"14","Admissions are open in the Mewat Engineering College, (Waqf) District Nuh, Haryana, managed by Haryana  Waqf Board,  ","2018-07-23 04:31:01","FALSE","0","0","0","Education","Haryana","India",FALSE
"15","Dr. Pooja Goyal from ESIC Medical College and Hospital shares her views about ISKCON Food Relief Foundation, Haryan  ","2018-07-23 04:08:09","FALSE","0","0","1","Education","Haryana","India",FALSE
"16","@cmohry Sir podhagiri campaign should be compulsory for every student whether they r school or college students.coz  ","2018-07-22 07:12:09","FALSE","0","0","0","Education","Haryana","India",FALSE
"17","@myogiadityanath @narendramodi @DrMNPandeyMP Sir please fix the security fees and hostel fees in uttar pradesh  med  ","2018-07-21 19:06:51","FALSE","0","0","0","Education","Haryana","India",FALSE
"18","Health Checkup and Screening Camp at ISKCON Food Relief Foundation, Haryana:
Organized by ESIC Medical College and  ","2018-07-21 04:55:05","FALSE","0","1","1","Education","Haryana","India",FALSE
"19","RT @KhabarNwi:       ,         
AgrohaMedicalCol","2018-07-20 18:16:48","TRUE","2","0","0","Education","Haryana","India",FALSE
"20","RT @KhabarNwi:       ,         
AgrohaMedicalCol","2018-07-20 18:16:04","TRUE","2","0","0","Education","Haryana","India",TRUE
"21","RT @adityagoel123: but few colleges have taken this as an opportunity to save few bucks and have made mockery of the system. TITS, bhiwani,","2018-07-20 16:52:51","TRUE","4","0","-1","Education","Haryana","India",FALSE
"22","      ,           ","2018-07-20 15:44:11","FALSE","2","5","0","Education","Haryana","India",FALSE
"23","RT @adityagoel123: but few colleges have taken this as an opportunity to save few bucks and have made mockery of the system. TITS, bhiwani,","2018-07-20 15:35:32","TRUE","4","0","-1","Education","Haryana","India",TRUE
"24","RT @adityagoel123: but few colleges have taken this as an opportunity to save few bucks and have made mockery of the system. TITS, bhiwani,","2018-07-20 13:30:41","TRUE","4","0","-1","Education","Haryana","India",TRUE
"25","but few colleges have taken this as an opportunity to save few bucks and have made mockery of the system. TITS, bhi  ","2018-07-20 13:29:09","FALSE","4","5","-1","Education","Haryana","India",FALSE
"26","@aajtak llb certificates are selling from 2003 by cr law college still cm window haryana and pm window keep quite ,  ","2018-07-20 09:32:09","FALSE","0","0","0","Education","Haryana","India",FALSE
"27","@sambitswaraj i am sorry to say that your bjp govt fails to stop selling of llb certificates by cr law college hisa  ","2018-07-20 09:30:33","FALSE","0","0","-2","Education","Haryana","India",FALSE
"28","@ArvindKejriwal sir i already lodge an complain registered in cm window harayan  and pm window against selling of l  ","2018-07-20 09:27:40","FALSE","0","0","-1","Education","Haryana","India",FALSE
"29","@PMOIndia how much time i wait for decesion against c. r. law college hisar ,gju ,kuk harayana for controlling or c  ","2018-07-20 09:24:34","FALSE","0","0","0","Education","Haryana","India",FALSE
"30","@mlkhattar how much i wait for your action against corrupted bussiness of selling LLB certificate by c.r law colleg  ","2018-07-20 09:22:26","FALSE","0","0","-1","Education","Haryana","India",FALSE
"31","RT @genderlogindia: Hello fraaands... Chai pi lo 
Tweets padh lo... I am Sid, from a small town in Haryana. Still in the closet b","2018-07-19 13:19:28","TRUE","2","0","0","Education","Haryana","India",FALSE
"32","RT @genderlogindia: Hello fraaands... Chai pi lo 
Tweets padh lo... I am Sid, from a small town in Haryana. Still in the closet b","2018-07-19 05:44:21","TRUE","2","0","0","Education","Haryana","India",TRUE
"33","@nitin_gadkari @PIB_India @jairamthakurbjp Sir ji all india m water harvesting lagana hoga tbi water level uper hog  ","2018-07-19 02:58:22","FALSE","0","0","0","Education","Haryana","India",FALSE
"34","Hello fraaands... Chai pi lo 
Tweets padh lo... I am Sid, from a small town in Haryana. Still in the clos  ","2018-07-18 18:29:27","FALSE","2","58","0","Education","Haryana","India",FALSE
