"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacherratio  ","2018-07-28 10:46:21","FALSE","0","0","1","Education","Karnataka","India",FALSE
"2","    !
Girl CommitSuicide Teacher Classroom
   ","2018-07-28 09:35:07","FALSE","0","2","0","Education","Karnataka","India",FALSE
"3","@South_Indians But Encouraging English instead of Hindi is worse. English is not Tamil either. Hadn't Jaya been the  ","2018-07-28 09:10:55","FALSE","0","0","0","Education","Karnataka","India",FALSE
"4","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio  ","2018-07-28 09:06:49","FALSE","0","0","1","Education","Karnataka","India",FALSE
"5","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio  ","2018-07-28 07:56:31","FALSE","0","0","1","Education","Karnataka","India",TRUE
"6","Also, the best for average pupil-teacher ratio was recorded in Karnataka which has one teacher for every 16 student  ","2018-07-28 07:36:15","FALSE","0","0","1","Education","Karnataka","India",FALSE
"7","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacherratio  ","2018-07-28 06:57:06","FALSE","0","0","1","Education","Karnataka","India",TRUE
"8","RT @manashTOI: Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio Aishe @TOIIndiaNews @TOIDelhi @TO","2018-07-28 06:42:29","TRUE","8","0","1","Education","Karnataka","India",FALSE
"9","RT @manashTOI: Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio Aishe @TOIIndiaNews @TOIDelhi @TO","2018-07-28 06:41:18","TRUE","8","0","1","Education","Karnataka","India",TRUE
"10","RT @manashTOI: Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio Aishe @TOIIndiaNews @TOIDelhi @TO","2018-07-28 06:40:07","TRUE","8","0","1","Education","Karnataka","India",TRUE
"11","RT @manashTOI: Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio Aishe @TOIIndiaNews @TOIDelhi @TO","2018-07-28 06:39:51","TRUE","8","0","1","Education","Karnataka","India",TRUE
"12","RT @manashTOI: Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio Aishe @TOIIndiaNews @TOIDelhi @TO","2018-07-28 06:39:13","TRUE","8","0","1","Education","Karnataka","India",TRUE
"13","RT @manashTOI: Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio Aishe @TOIIndiaNews @TOIDelhi @TO","2018-07-28 06:38:47","TRUE","8","0","1","Education","Karnataka","India",TRUE
"14","RT @manashTOI: Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio Aishe @TOIIndiaNews @TOIDelhi @TO","2018-07-28 06:19:39","TRUE","8","0","1","Education","Karnataka","India",TRUE
"15","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio
  ","2018-07-28 06:08:14","FALSE","0","1","1","Education","Karnataka","India",FALSE
"16","RT @manashTOI: Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio Aishe @TOIIndiaNews @TOIDelhi @TO","2018-07-28 05:59:43","TRUE","8","0","1","Education","Karnataka","India",TRUE
"17","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio Aishe @TOIIndiaNews   ","2018-07-28 05:54:28","FALSE","8","4","1","Education","Karnataka","India",FALSE
"18","RT @inbarajanp: Enrollment in higher education touched 25.8% this year, marginally up from last year's 25.2%

Noting a significant growth i","2018-07-28 05:47:22","TRUE","1","0","0","Education","Karnataka","India",FALSE
"19","Enrolment in higher education goes up; Karnataka, Andhra record best pupil-teacher ratio
  ","2018-07-28 05:22:33","FALSE","0","0","1","Education","Karnataka","India",FALSE
"20","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio - Times of India  ","2018-07-28 04:50:29","FALSE","0","0","1","Education","Karnataka","India",FALSE
"21","Enrollment in higher education touched 25.8% this year, marginally up from last year's 25.2%

Noting a significant  ","2018-07-28 04:31:42","FALSE","1","1","0","Education","Karnataka","India",FALSE
"22","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio - Times of India  ","2018-07-28 04:30:01","FALSE","0","0","1","Education","Karnataka","India",TRUE
"23","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio - Times of India  ","2018-07-28 03:52:57","FALSE","0","0","1","Education","Karnataka","India",TRUE
"24","Enrolment in higher Education goes up; Karnataka, AP record best pupil-teacher ratio. Fall in Bihar Gujarat  ","2018-07-28 03:00:39","FALSE","0","0","0","Education","Karnataka","India",FALSE
"25","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio  ","2018-07-28 02:18:32","FALSE","0","0","1","Education","Karnataka","India",TRUE
"26","Enrolment in higher education goes up slightly from last year while Karnataka has the best pupil-student ratio at 1  ","2018-07-28 01:41:47","FALSE","0","0","1","Education","Karnataka","India",FALSE
"27","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio..  ","2018-07-28 01:34:06","FALSE","0","0","1","Education","Karnataka","India",FALSE
"28","Enrolment in higher education goes up; Karnataka, AP record best pupil-teacher ratio  ","2018-07-28 00:16:59","FALSE","0","1","1","Education","Karnataka","India",TRUE
