"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @rrsuresh: @AmmU_MaanU @SwarajyaMag Dalit education has grown leaps and bounds. Just go out of your comfort and reach a village and find","2018-07-29 06:17:49","TRUE","1","0","-1","Education","Kerala","India",FALSE
"2","@AmmU_MaanU @SwarajyaMag Dalit education has grown leaps and bounds. Just go out of your comfort and reach a villag  ","2018-07-29 06:17:33","FALSE","1","0","-1","Education","Kerala","India",FALSE
"3"," ,      ","2018-07-29 06:04:12","FALSE","0","1","-1","Education","Kerala","India",FALSE
"4"," ,      ","2018-07-29 05:49:04","FALSE","0","0","0","Education","Kerala","India",TRUE
"5","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-29 05:30:59","TRUE","318","0","-1","Education","Kerala","India",FALSE
"6","RT @Commiekl13: Here's a successful story about the Kerala model of Education.
The LeftAlternative govt of Kerala proves ""If there is a w","2018-07-29 05:07:45","TRUE","3","0","3","Education","Kerala","India",FALSE
"7","HSE: Govt to recruit over 1000 teachers
 ","2018-07-29 04:17:07","FALSE","0","0","1","Education","Kerala","India",FALSE
"8","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-29 04:05:25","TRUE","318","0","1","Education","Kerala","India",TRUE
"9","@ndtv Lol...so attack on kerala started becos its one of the only few states leading in every aspect without bjp..n  ","2018-07-29 03:43:42","FALSE","0","0","0","Education","Kerala","India",FALSE
"10","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-29 02:36:36","TRUE","318","0","1","Education","Kerala","India",TRUE
"11","Kerala PSC Recruitment 2018: 17690  , 10         ","2018-07-29 00:26:28","FALSE","1","2","1","Education","Kerala","India",FALSE
"12","@shrikanth_krish I put it down to a combination of geography (South Asia has greater access to key trading routes i  ","2018-07-28 22:04:04","FALSE","0","0","-2","Education","Kerala","India",FALSE
"13","I wonder why SC/ CJI haven't asked CBI that why it is that only opposition leaders r chargesheeted? What about MP e  ","2018-07-28 19:34:21","FALSE","0","0","1","Education","Kerala","India",FALSE
"14","@INCIndia Congress, heard of SindhuJoy,  female state president of SFI in the history of Kerala who led a strike  ","2018-07-28 19:33:55","FALSE","0","0","0","Education","Kerala","India",FALSE
"15","@chetan_bhagat Education Loan assistance2close loan was  announced by Kerala govt 8 months back.But they R refusing  ","2018-07-28 18:59:06","FALSE","0","0","1","Education","Kerala","India",FALSE
"16","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 18:52:01","TRUE","318","0","1","Education","Kerala","India",TRUE
"17","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 18:26:39","TRUE","318","0","0","Education","Kerala","India",TRUE
"18","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 18:21:35","TRUE","318","0","1","Education","Kerala","India",TRUE
"19","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 18:11:30","TRUE","318","0","1","Education","Kerala","India",TRUE
"20","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 17:32:11","TRUE","318","0","0","Education","Kerala","India",TRUE
"21","The Kerala education Minister explaining the recently introduced smart class room concepts to students  ","2018-07-28 16:57:37","FALSE","0","0","0","Education","Kerala","India",FALSE
"22","RT @Sujesh_Knr: Kerala may be Somalia in the view of people who value Gaumata, communal politics&amp; Cronies more than Education, Healthcare,","2018-07-28 16:52:11","TRUE","15","0","1","Education","Kerala","India",FALSE
"23","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 16:45:50","TRUE","318","0","0","Education","Kerala","India",TRUE
"24","RT @drthomasisaac: All the class rooms in the higher secondary and high schools in Kerala, 40000 in all, digitalised. Each class room gets","2018-07-28 16:45:07","TRUE","1660","0","1","Education","Kerala","India",FALSE
"25","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 16:43:24","TRUE","318","0","0","Education","Kerala","India",TRUE
"26","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 16:21:59","TRUE","318","0","0","Education","Kerala","India",TRUE
"27","@yugaparivartan @Ramki830 Education does cut Mus tfr, but in Kerala, M tfr = 2 , H tfr = 1.5, still demographic gap","2018-07-28 16:07:01","FALSE","0","0","1","Education","Kerala","India",FALSE
"28","       ","2018-07-28 15:37:09","FALSE","0","1","1","Education","Kerala","India",FALSE
"29","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 15:27:09","TRUE","318","0","1","Education","Kerala","India",TRUE
"30","RT @CaravanDaily: Kerala CM @vijayanpinarayi came out in support of HananHamid and directed actions against trolls, but it is not known if","2018-07-28 14:18:30","TRUE","1","0","1","Education","Kerala","India",FALSE
"31","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 13:47:53","TRUE","318","0","1","Education","Kerala","India",TRUE
"32","A government campaign in restoring parents confidence in public schools has led to 25% rise in students strength i  ","2018-07-28 13:12:34","FALSE","0","1","0","Education","Kerala","India",FALSE
"33","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 12:59:55","TRUE","318","0","0","Education","Kerala","India",TRUE
"34","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 12:43:51","TRUE","318","0","0","Education","Kerala","India",TRUE
"35","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 12:41:01","TRUE","318","0","0","Education","Kerala","India",TRUE
"36","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 12:28:27","TRUE","318","0","1","Education","Kerala","India",TRUE
"37","Kerala CM @vijayanpinarayi came out in support of HananHamid and directed actions against trolls, but it is not kn  ","2018-07-28 12:14:42","FALSE","1","4","0","Education","Kerala","India",FALSE
"38","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 12:00:01","TRUE","318","0","-2","Education","Kerala","India",TRUE
"39","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 11:22:11","TRUE","318","0","0","Education","Kerala","India",TRUE
"40"," ","2018-07-28 11:21:39","FALSE","0","0","0","Education","Kerala","India",FALSE
"41","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 11:21:27","TRUE","318","0","0","Education","Kerala","India",TRUE
"42","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 11:08:54","TRUE","318","0","0","Education","Kerala","India",TRUE
"43","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 10:57:00","TRUE","318","0","0","Education","Kerala","India",TRUE
"44","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 10:52:58","TRUE","318","0","-1","Education","Kerala","India",TRUE
"45","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 10:35:56","TRUE","318","0","0","Education","Kerala","India",TRUE
"46","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 10:18:52","TRUE","318","0","0","Education","Kerala","India",TRUE
"47","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 10:09:31","TRUE","318","0","0","Education","Kerala","India",TRUE
"48","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 10:00:45","TRUE","318","0","0","Education","Kerala","India",TRUE
"49","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 09:59:10","TRUE","318","0","0","Education","Kerala","India",TRUE
"50","RT @Sujesh_Knr: Kerala may be Somalia in the view of people who value Gaumata, communal politics&amp; Cronies more than Education, Healthcare,","2018-07-28 09:55:59","TRUE","15","0","0","Education","Kerala","India",TRUE
"51","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 09:45:58","TRUE","318","0","0","Education","Kerala","India",TRUE
"52","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 09:37:47","TRUE","318","0","1","Education","Kerala","India",TRUE
"53","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 09:18:26","TRUE","318","0","1","Education","Kerala","India",TRUE
"54","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 09:17:50","TRUE","318","0","1","Education","Kerala","India",TRUE
"55","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 09:12:19","TRUE","318","0","0","Education","Kerala","India",TRUE
"56","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 09:07:55","TRUE","318","0","1","Education","Kerala","India",TRUE
"57","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:56:21","TRUE","318","0","0","Education","Kerala","India",TRUE
"58","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:55:49","TRUE","318","0","0","Education","Kerala","India",TRUE
"59","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:49:41","TRUE","318","0","0","Education","Kerala","India",TRUE
"60","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:44:50","TRUE","318","0","0","Education","Kerala","India",TRUE
"61","RT @Sujesh_Knr: Kerala may be Somalia in the view of people who value Gaumata, communal politics&amp; Cronies more than Education, Healthcare,","2018-07-28 08:42:14","TRUE","15","0","0","Education","Kerala","India",TRUE
"62","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:41:48","TRUE","318","0","0","Education","Kerala","India",TRUE
"63","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:30:29","TRUE","318","0","0","Education","Kerala","India",TRUE
"64","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:28:03","TRUE","318","0","0","Education","Kerala","India",TRUE
"65","RT @thinkingrobot9: @jijotomy @HRDMinistry True,@sunetrac hosted a nice discussion @ndtv this week and @SnehaMKoshy really digged deep and","2018-07-28 08:26:47","TRUE","2","0","0","Education","Kerala","India",FALSE
"66","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:19:11","TRUE","318","0","0","Education","Kerala","India",TRUE
"67","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:15:24","TRUE","318","0","0","Education","Kerala","India",TRUE
"68","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:12:23","TRUE","318","0","0","Education","Kerala","India",TRUE
"69","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:07:08","TRUE","318","0","-2","Education","Kerala","India",TRUE
"70","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:04:41","TRUE","318","0","2","Education","Kerala","India",TRUE
"71","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:04:08","TRUE","318","0","0","Education","Kerala","India",TRUE
"72","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:03:50","TRUE","318","0","0","Education","Kerala","India",TRUE
"73","RT @Sujesh_Knr: Kerala may be Somalia in the view of people who value Gaumata, communal politics&amp; Cronies more than Education, Healthcare,","2018-07-28 08:02:59","TRUE","15","0","1","Education","Kerala","India",TRUE
"74","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:02:49","TRUE","318","0","0","Education","Kerala","India",TRUE
"75","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 08:02:23","TRUE","318","0","1","Education","Kerala","India",TRUE
"76","Kerala CM stands by girl selling fish to fund education","2018-07-28 07:49:01","FALSE","0","0","0","Education","Kerala","India",FALSE
"77","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 07:46:59","TRUE","318","0","0","Education","Kerala","India",TRUE
"78","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 07:45:55","TRUE","318","0","0","Education","Kerala","India",TRUE
"79","RT @thinkingrobot9: @jijotomy @HRDMinistry True,@sunetrac hosted a nice discussion @ndtv this week and @SnehaMKoshy really digged deep and","2018-07-28 07:42:37","TRUE","2","0","0","Education","Kerala","India",TRUE
"80","@jijotomy @HRDMinistry True,@sunetrac hosted a nice discussion @ndtv this week and @SnehaMKoshy really digged deep  ","2018-07-28 07:30:42","FALSE","2","3","0","Education","Kerala","India",FALSE
"81","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 07:28:34","TRUE","318","0","0","Education","Kerala","India",TRUE
"82","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 07:18:49","TRUE","318","0","0","Education","Kerala","India",TRUE
"83","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 06:53:00","TRUE","318","0","0","Education","Kerala","India",TRUE
"84","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 06:31:58","TRUE","318","0","1","Education","Kerala","India",TRUE
"85","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 06:23:26","TRUE","318","0","0","Education","Kerala","India",TRUE
"86","RT @surendrankol: @ChakdeIndia11 @sylvestermonroe @vijayanpinarayi ""sends his kids abroad for higher education lives in a posh house"" yet s","2018-07-28 06:19:23","TRUE","1","0","0","Education","Kerala","India",FALSE
"87","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 06:13:18","TRUE","318","0","1","Education","Kerala","India",TRUE
"88","@ChakdeIndia11 @sylvestermonroe @vijayanpinarayi ""sends his kids abroad for higher education lives in a posh house""  ","2018-07-28 06:04:20","FALSE","1","1","0","Education","Kerala","India",FALSE
"89","Indian education gives an illusion of co-education.

 ","2018-07-28 06:03:28","FALSE","0","0","1","Education","Kerala","India",FALSE
"90","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 06:01:55","TRUE","318","0","1","Education","Kerala","India",TRUE
"91","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 05:59:14","TRUE","318","0","0","Education","Kerala","India",TRUE
"92","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 05:41:37","TRUE","318","0","1","Education","Kerala","India",TRUE
"93","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 05:35:30","TRUE","318","0","0","Education","Kerala","India",TRUE
"94","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 05:35:17","TRUE","318","0","0","Education","Kerala","India",TRUE
"95","RT @KPadmaRani1: When will we learn Dignity of Labour ??

Be proud of the Student who sells fish to make her Living and Support her Educati","2018-07-28 05:30:38","TRUE","318","0","0","Education","Kerala","India",TRUE
"96","@TOIIndiaNews Yeah when it comes to wrong practice on your part then women commission is bad. Where is the literacy  ","2018-07-28 05:13:48","FALSE","0","0","0","Education","Kerala","India",FALSE
