"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @timesofindia: College season reminds me of someone I saw in news recently. A student from an extremely poor family in Madhya Pradesh cr","2018-07-29 11:23:55","TRUE","12","0","-1","Education","Madhya Pradesh","India",FALSE
"2","RT @airnewsalerts: Referring to college season reminds me of someone I saw in News recently. Asharam Choudhury, student from extremely poor","2018-07-29 11:13:56","TRUE","31","0","-1","Education","Madhya Pradesh","India",FALSE
"3","RT @airnewsalerts: Referring to college season reminds me of someone I saw in News recently. Asharam Choudhury, student from extremely poor","2018-07-29 10:21:50","TRUE","31","0","-1","Education","Madhya Pradesh","India",TRUE
"4","RT @DS_Khimsar: Referring to college season reminds me of someone I saw in News recently. Asharam Choudhury, student from extremely poor fa","2018-07-29 09:08:10","TRUE","2","0","0","Education","Madhya Pradesh","India",FALSE
"5","RT @DS_Khimsar: Referring to college season reminds me of someone I saw in News recently. Asharam Choudhury, student from extremely poor fa","2018-07-29 09:05:34","TRUE","2","0","-1","Education","Madhya Pradesh","India",TRUE
"6","RT timesofindia ""College season reminds me of someone I saw in news recently. A student from an extremely poor fami  ","2018-07-29 07:11:21","FALSE","0","0","3","Education","Madhya Pradesh","India",FALSE
"7","RT @timesofindia: College season reminds me of someone I saw in news recently. A student from an extremely poor family in Madhya Pradesh cr","2018-07-29 07:04:22","TRUE","12","0","1","Education","Madhya Pradesh","India",TRUE
"8","College season reminds me of someone I saw in news recently. A student from an extremely poor family in Madhya Prad  ","2018-07-29 07:02:52","FALSE","0","0","1","Education","Madhya Pradesh","India",FALSE
"9","RT @airnewsalerts: Referring to college season reminds me of someone I saw in News recently. Asharam Choudhury, student from extremely poor","2018-07-29 07:02:46","TRUE","31","0","0","Education","Madhya Pradesh","India",TRUE
"10","Referring to college season reminds me of someone I saw in News recently. Asharam Choudhury, student from extremely  ","2018-07-29 06:53:49","FALSE","2","10","1","Education","Madhya Pradesh","India",FALSE
"11","RT @airnewsalerts: Referring to college season reminds me of someone I saw in News recently. Asharam Choudhury, student from extremely poor","2018-07-29 06:43:31","TRUE","31","0","1","Education","Madhya Pradesh","India",TRUE
