"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed a treasure box at JBS English High School, Alkapuri Nallasopara (East)","2018-07-29 11:59:02","TRUE","15","0","-1","Education","Maharashtra","India",FALSE
"2","MissionEducation Team Mumbai (Maharashtra) placed drop boxes at Holy Family English High School And Jr. College,  ","2018-07-29 11:55:49","FALSE","0","0","-1","Education","Maharashtra","India",FALSE
"3","RT @yuva_brigade: KargilVijayDiwas
Yuva Brigade, Maharashtra celebrated Kargil Vijayotsav at Dr. Shyamrao Kalmadi School in Pune.  ","2018-07-29 11:44:35","TRUE","1","0","-1","Education","Maharashtra","India",FALSE
"4","@ashu3page @ArvindKejriwal Kitni bar same subject tweet karega? Kabhi school Nahi dekhi kya ? Go to other states li  ","2018-07-29 11:35:59","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"5","KargilVijayDiwas
Yuva Brigade, Maharashtra celebrated Kargil Vijayotsav at Dr. Shyamrao Kalmadi School in Pune.  ","2018-07-29 11:31:42","FALSE","1","4","-1","Education","Maharashtra","India",FALSE
"6","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-29 09:41:31","TRUE","22","0","3","Education","Maharashtra","India",FALSE
"7","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-29 06:55:04","TRUE","6","0","1","Education","Maharashtra","India",FALSE
"8","@TawdeVinod @Dev_Fadnavis @CMOMaharashtra @MCGM_BMC @AUThackeray 
do u have will power to do library in mumbai/maha  ","2018-07-29 06:39:21","FALSE","0","0","1","Education","Maharashtra","India",FALSE
"9","ABACUS PROGRAMM FOR SCHOOL
S K Academy is an ISO certified company a..For more info visit... ","2018-07-29 06:15:22","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"10","MT:       ","2018-07-29 04:56:29","FALSE","0","0","1","Education","Maharashtra","India",FALSE
"11","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-29 04:42:58","TRUE","6","0","1","Education","Maharashtra","India",TRUE
"12","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-29 04:32:54","TRUE","22","0","-2","Education","Maharashtra","India",TRUE
"13","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-29 03:59:18","TRUE","6","0","1","Education","Maharashtra","India",TRUE
"14","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-29 02:57:52","TRUE","6","0","0","Education","Maharashtra","India",TRUE
"15","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 20:09:40","TRUE","22","0","1","Education","Maharashtra","India",TRUE
"16","RT @smilefoundation: Born to labourers who work in a brick factory in Kalyan, Maharashtra, these children are the first time school goers i","2018-07-28 16:34:13","TRUE","11","0","1","Education","Maharashtra","India",FALSE
"17","@NitaMAmbani Very simply lady of world.... Who have every thing in her hand... And she is my respectiful..... I wan  ","2018-07-28 15:24:32","FALSE","0","1","0","Education","Maharashtra","India",FALSE
"18","@BillGates @TeamGleason @Microsoft Sir, i am a teacher in rural area of Maharashtra. I want projector from your NGO  ","2018-07-28 14:14:33","FALSE","0","2","1","Education","Maharashtra","India",FALSE
"19","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 14:00:24","TRUE","22","0","1","Education","Maharashtra","India",TRUE
"20","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 13:24:11","TRUE","22","0","0","Education","Maharashtra","India",TRUE
"21","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-28 12:43:24","TRUE","6","0","0","Education","Maharashtra","India",TRUE
"22","@CNBCTV18News @msisodia @ShereenBhan @AamAadmiParty This type of school you can't see in @narendramodi gujrat and  ","2018-07-28 12:36:05","FALSE","0","0","1","Education","Maharashtra","India",FALSE
"23","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed a treasure box at JBS English High School, Alkapuri Nallasopara (East)","2018-07-28 12:02:26","TRUE","15","0","0","Education","Maharashtra","India",TRUE
"24","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at Jr. Co","2018-07-28 11:58:21","TRUE","6","0","1","Education","Maharashtra","India",TRUE
"25","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 11:54:04","TRUE","22","0","0","Education","Maharashtra","India",TRUE
"26","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 10:51:01","TRUE","22","0","0","Education","Maharashtra","India",TRUE
"27","RT @ani_digital: Maharashtra: 30 people killed after a school bus fell down a mountain road in Ambenali Ghat of Raigad district.

Read @ANI","2018-07-28 10:05:44","TRUE","2","0","1","Education","Maharashtra","India",FALSE
"28","RT @ani_digital: Maharashtra: 30 people killed after a school bus fell down a mountain road in Ambenali Ghat of Raigad district.

Read @ANI","2018-07-28 09:58:01","TRUE","2","0","1","Education","Maharashtra","India",TRUE
"29","Maharashtra: 30 people killed after a school bus fell down a mountain road in Ambenali Ghat of Raigad district.

Re  ","2018-07-28 09:55:39","FALSE","2","2","1","Education","Maharashtra","India",FALSE
"30","@SapnaChaudharyy Madam g maharashtra v km nahi h hindi midiyam school ki class 4 me ynh Ek school me Ek guru jo Mus  ","2018-07-28 08:25:23","FALSE","0","0","1","Education","Maharashtra","India",FALSE
"31","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed a treasure box at JBS English High School, Alkapuri Nallasopara (East)","2018-07-28 08:19:37","TRUE","15","0","1","Education","Maharashtra","India",TRUE
"32","@varchitra @EkalBharat @ShefVaidya @EkalGlobal @subhashchandra @narendramodi @PrakashJavdekar Ask the CM of Maharas  ","2018-07-28 07:56:40","FALSE","0","3","0","Education","Maharashtra","India",FALSE
"33","@iomdesc @TawdeVinod-school education and sports department Government of maharashtra /regional deputy director off  ","2018-07-28 07:12:36","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"34","MissionEducation Team Mumbai (Maharashtra) placed two drop boxes, first at SKC English High School And second at  ","2018-07-28 07:03:54","FALSE","6","17","0","Education","Maharashtra","India",FALSE
"35","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 07:02:58","TRUE","22","0","0","Education","Maharashtra","India",TRUE
"36","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 06:57:56","TRUE","22","0","1","Education","Maharashtra","India",TRUE
"37"," ","2018-07-28 06:46:53","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"38","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 06:17:21","TRUE","22","0","-2","Education","Maharashtra","India",TRUE
"39","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 05:40:24","TRUE","22","0","0","Education","Maharashtra","India",TRUE
"40","RT @Ayravata: Attempt to kidnap minor school girl failed. One of 3 kidnappper Mujahid Ahmedkhan Ziaulla Khan arrested. 2 accused absconding","2018-07-28 05:27:58","TRUE","8","0","0","Education","Maharashtra","India",FALSE
"41","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 05:20:48","TRUE","22","0","0","Education","Maharashtra","India",TRUE
"42","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 05:01:56","TRUE","22","0","0","Education","Maharashtra","India",TRUE
"43","RT @Wangchuk66: Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharashtra!  ","2018-07-28 04:26:53","TRUE","22","0","0","Education","Maharashtra","India",TRUE
"44","Many thanks @TawdeVinod ji. I have great hopes from your ministry's government school reform initiative in Maharash  ","2018-07-28 04:18:40","FALSE","22","198","-1","Education","Maharashtra","India",FALSE
"45","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed a treasure box at JBS English High School, Alkapuri Nallasopara (East)","2018-07-27 16:42:57","TRUE","15","0","0","Education","Maharashtra","India",TRUE
"46","Green Human from Maharashtra High School. Environment Protection and awareness.  ","2018-07-27 13:22:00","FALSE","0","0","0","Education","Maharashtra","India",FALSE
"47","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed a treasure box at JBS English High School, Alkapuri Nallasopara (East)","2018-07-27 12:55:11","TRUE","15","0","0","Education","Maharashtra","India",TRUE
"48","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed a treasure box at JBS English High School, Alkapuri Nallasopara (East)","2018-07-27 12:15:45","TRUE","15","0","0","Education","Maharashtra","India",TRUE
"49","RT @SusHousing: VIBGYORROAD NirAadhar @supriya_sule @OfficialPMRDA @Dev_Fadnavis @CMOMaharashtra @PMOIndia @kirangitteias @RoadPune Devel","2018-07-27 10:25:15","TRUE","2","0","0","Education","Maharashtra","India",FALSE
"50","RT @SusHousing: VIBGYORROAD NirAadhar @supriya_sule @OfficialPMRDA @Dev_Fadnavis @CMOMaharashtra @PMOIndia @kirangitteias @RoadPune Devel","2018-07-27 10:22:21","TRUE","2","0","0","Education","Maharashtra","India",TRUE
"51","RT @abhic4ever: The then Maharashtra deputy CM (late) R. R. (Aaba) Patil had his son and daughter studying in local govt school. Nothing ne","2018-07-27 10:07:39","TRUE","2","0","0","Education","Maharashtra","India",FALSE
"52","RT @Missioneduin: MissionEducation Team Mumbai (Maharashtra) placed a treasure box at JBS English High School, Alkapuri Nallasopara (East)","2018-07-27 09:32:03","TRUE","15","0","1","Education","Maharashtra","India",TRUE
"53","KrishnamSchool teachers students academic independent cooperative responsible creative young people  ","2018-07-27 08:19:17","FALSE","0","0","1","Education","Maharashtra","India",FALSE
