"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Sharing SelfieWithCampus at MSD Sr.Sec School in PB - Punjab. ABVP | Join the movement | Download app -  ","2018-07-29 11:32:10","FALSE","0","0","-1","Education","Punjab","India",FALSE
"2","sites up skirt pussy photos closeup mature pussy naked girls cp nude school girls of punjab dad and son   ","2018-07-29 10:23:58","FALSE","0","0","-1","Education","Punjab","India",FALSE
"3","Jobs In University Of The Punjab PU School Of Biological Sciences
 ","2018-07-29 10:10:00","FALSE","0","1","-1","Education","Punjab","India",FALSE
"4","@Bhuvan_Bam AskBB5, Hello sir greetings from Kapurthala, Punjab
My ques is for Bancho bhai kabhi apki kisi k sath  ","2018-07-29 09:36:34","FALSE","0","0","0","Education","Punjab","India",FALSE
"5","Teachers Training Session on Drug Use Prevention held at Punjab School K.K.S, organized by Drug Advisory Training H  ","2018-07-29 09:15:37","FALSE","0","0","-1","Education","Punjab","India",FALSE
"6","Teachers Training Session on Drug Use Prevention held at Punjab School K.K.S, organized by Drug Advisory Training H  ","2018-07-29 09:14:39","FALSE","0","0","3","Education","Punjab","India",TRUE
"7","Teachers Training Session on Drug Use Prevention held at Punjab School K.K.S, organized by Drug Advisory Training H  ","2018-07-29 09:13:34","FALSE","0","1","1","Education","Punjab","India",TRUE
"8","Teachers Training Session on Drug Use Prevention held at Punjab School K.K.S, organized by Drug Advisory Training H  ","2018-07-29 09:12:17","FALSE","0","2","1","Education","Punjab","India",TRUE
"9","RT @pkdhillon08: We at Kamla Nehru Public School Phagwara, India used this""i-Hariyali"" app of Punjab Govt to get sapling for our Van Mahout","2018-07-29 08:54:18","TRUE","8","0","0","Education","Punjab","India",FALSE
"10","Days Training On School Leadership Development Program Of The Head Teachers In 36 Districts Of The Punjab w.e.f 1st  ","2018-07-29 07:22:47","FALSE","0","0","1","Education","Punjab","India",FALSE
"11","@MandhBudhhi @KiraiKaaTattu @KattuPhattu @JindasLst @Inder_pr @birmingham20201 @Gurpree70627867 @KhaalsaRaj  ","2018-07-29 07:06:10","FALSE","0","0","1","Education","Punjab","India",FALSE
"12","RT @pkdhillon08: We at Kamla Nehru Public School Phagwara, India used this""i-Hariyali"" app of Punjab Govt to get sapling for our Van Mahout","2018-07-29 06:49:55","TRUE","8","0","-2","Education","Punjab","India",TRUE
"13","ISC Batch 2007 The Punjab Public School Nabha  ","2018-07-29 06:48:37","FALSE","0","0","1","Education","Punjab","India",FALSE
"14","RT @pkdhillon08: We at Kamla Nehru Public School Phagwara, India used this""i-Hariyali"" app of Punjab Govt to get sapling for our Van Mahout","2018-07-29 06:26:32","TRUE","8","0","0","Education","Punjab","India",TRUE
"15","My Chacha was Soo Pro Noon but we made him vote for PTI by asking just 1 Question. 
If PML N has done wonders in Pu  ","2018-07-29 05:46:29","FALSE","0","0","1","Education","Punjab","India",FALSE
"16","RT @Amdmum:                ()      ","2018-07-29 05:27:49","TRUE","351","0","1","Education","Punjab","India",FALSE
"17","RT @pkdhillon08: We at Kamla Nehru Public School Phagwara, India used this""i-Hariyali"" app of Punjab Govt to get sapling for our Van Mahout","2018-07-29 05:16:29","TRUE","8","0","0","Education","Punjab","India",TRUE
"18","@capt_amarinder  Respected CM ji, Every Industries have min. wages amount except pvt schools of punjab. Punjab Scho  ","2018-07-29 05:16:24","FALSE","0","0","1","Education","Punjab","India",FALSE
"19","RT @AneesHassan10: 8 Days Training On School Leadership Development Program Of The Head Teachers In 36 Districts Of The Punjab w.e.f 1st Au","2018-07-29 05:13:08","TRUE","1","0","1","Education","Punjab","India",FALSE
"20","8 Days Training On School Leadership Development Program Of The Head Teachers In 36 Districts Of The Punjab w.e.f 1st Aug 2018
Click","2018-07-29 03:57:53","FALSE","0","0","0","Education","Punjab","India",FALSE
"21","RT @pkdhillon08: We at Kamla Nehru Public School Phagwara, India used this""i-Hariyali"" app of Punjab Govt to get sapling for our Van Mahout","2018-07-29 03:26:40","TRUE","8","0","0","Education","Punjab","India",TRUE
"22","08 Days Training on School Leadership Development Program of the Head Teachers in all 36 Districts of Punjab which  ","2018-07-29 02:28:33","FALSE","0","0","1","Education","Punjab","India",FALSE
"23","8 Days Training On School Leadership Development Program Of The Head Teachers In 36 Districts Of The Punjab w.e.f 1  ","2018-07-29 01:43:38","FALSE","0","2","0","Education","Punjab","India",FALSE
"24","RT @tmsforall: 8 Days Training On School Leadership Development Program Of The Head Teachers In 36 Districts Of The Punjab w.e.f 1st Aug 20","2018-07-29 01:43:17","TRUE","3","0","1","Education","Punjab","India",FALSE
"25","RT @NarinderKBharaj: Jive Delhi ch ena vadda education revolution aa sakda hai.

ki Punjab di @capt_amarinder sarkar jehde school band hon","2018-07-29 01:35:18","TRUE","24","0","0","Education","Punjab","India",FALSE
"26","Should follow in Andaman too.....  ","2018-07-29 01:13:39","FALSE","0","0","0","Education","Punjab","India",FALSE
"27","sites up skirt pussy photos closeup mature pussy naked girls cp nude school girls of punjab dad and son   ","2018-07-29 01:09:07","FALSE","0","0","1","Education","Punjab","India",TRUE
"28","      ,         ","2018-07-29 01:05:54","FALSE","0","0","1","Education","Punjab","India",FALSE
"29","@rockyandmayur @sujit_kurup @ru_chica Standalone restaurants &amp; fine dining - gujju thali: Mandap thali at Express..  ","2018-07-29 01:00:39","FALSE","0","0","1","Education","Punjab","India",FALSE
"30","sites up skirt pussy photos closeup mature pussy naked girls cp nude school girls of punjab dad and son   ","2018-07-29 00:00:46","FALSE","0","0","1","Education","Punjab","India",TRUE
"31","RT @IAgee2: @Sahil81753491 @SalooDurrani He graduated from the University of Punjab in 1990, and received an LLB (Hons.) degree in 1994 fro","2018-07-28 22:51:46","TRUE","1","0","1","Education","Punjab","India",FALSE
"32","@capt_amarinder @harbhajan_singh @BhagwantMann @diljitdosanjh 

[Punjab, ssup?]

 ","2018-07-28 21:55:36","FALSE","0","0","0","Education","Punjab","India",FALSE
"33","@ImranKhanPTI i request you punjab main ap apni hakoomat bnain. Education department ko ab PMLN say nijaat chahye..  ","2018-07-28 20:59:08","FALSE","0","0","0","Education","Punjab","India",FALSE
"34","RT @JuergenAuer: Bavillion - Upcycling old school bus into an Open Air Theater - Alten Schulbus nicht verschrotten, sondern zum Open Air","2018-07-28 20:52:21","TRUE","2","0","0","Education","Punjab","India",FALSE
