"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","       ,    
 ","2018-07-29 10:21:24","FALSE","0","0","-1","Education","Rajasthan","India",FALSE
"2","Retweeted Rajasthan patrika (@rpbreakingnews):

    ''    ...     ","2018-07-29 08:57:17","FALSE","0","0","-1","Education","Rajasthan","India",FALSE
"3","      ,          ","2018-07-29 06:02:49","FALSE","0","4","-1","Education","Rajasthan","India",FALSE
"4","RT @svaradarajan: Rajasthan govts odd teacher transfer order for BJP workers earns the ire of the opposition  ","2018-07-29 05:08:53","TRUE","149","0","0","Education","Rajasthan","India",FALSE
"5","RT @svaradarajan: Rajasthan govts odd teacher transfer order for BJP workers earns the ire of the opposition  ","2018-07-29 01:19:28","TRUE","149","0","-1","Education","Rajasthan","India",TRUE
"6","@PMOIndia @Ra_THORe Modiji rajasthan ke berojgaar vinti karte h ki cm se teacher bharti to puri larway please please","2018-07-28 15:44:50","FALSE","0","0","3","Education","Rajasthan","India",FALSE
"7","RT @RameshM29018543: Increase Information assistance post
Computer teacher ki vacancy laao
Rajasthan ki digisthan banao 
ye_kaisa_digistha","2018-07-28 13:15:12","TRUE","6","0","1","Education","Rajasthan","India",FALSE
"8","@DIPRRajasthan @VasundharaBJP @my_rajasthan Cm Shiba 2nd grade teacher 2016 valo ko joining dilavo barojgar bahut p  ","2018-07-28 12:43:02","FALSE","0","0","1","Education","Rajasthan","India",FALSE
"9","RPSC II    2016:              ","2018-07-28 04:47:12","FALSE","0","0","0","Education","Rajasthan","India",FALSE
"10","@narendramodi @HarsimratBadal_ Please rajasthan ki teacher ki bharti puri karwao sir","2018-07-27 16:20:31","FALSE","0","0","1","Education","Rajasthan","India",FALSE
"11","Remembering Missile Man, Peoples President, Great Scientist, Teacher, An Inspiration to ALL &amp; one of the greatest  ","2018-07-27 14:42:05","FALSE","0","0","1","Education","Rajasthan","India",FALSE
"12","RT @DIPRRajasthan: Remembering Missile Man, Peoples President,a Great Scientist, teacher, an inspiration to all Dr. APJAbdulKalam on his","2018-07-27 13:33:05","TRUE","5","0","-2","Education","Rajasthan","India",FALSE
"13","@PMOIndia sir namaste. rajasthan sarkar se anek bar nivedan karne ke bad ek divyang teacher ka transfer nahi hua h.  ","2018-07-27 12:09:00","FALSE","0","0","1","Education","Rajasthan","India",FALSE
"14","@CMOfficeUP @myogiadityanath @drdineshbjp @anupmajaisbjp @ChiefSecyUP Rajasthan me shiksha mitra ko 10000 bhi nahi  ","2018-07-27 12:06:31","FALSE","0","0","0","Education","Rajasthan","India",FALSE
"15","Remembering Missile Man, Peoples President,a Great Scientist, teacher, an inspiration to all Dr. APJAbdulKalam on  ","2018-07-27 09:39:48","FALSE","5","22","1","Education","Rajasthan","India",FALSE
"16","Happy Guru Purnima
We all need a Guru who inspires us.

HappyGuruPurnima GuruPurnima Purnima Guru teach  ","2018-07-27 09:06:57","FALSE","0","1","1","Education","Rajasthan","India",FALSE
"17","My History Teacher. Love you Sir

When Humayun was dying, he called Babur and told him, ""if you want to rule Hindus  ","2018-07-27 07:02:00","FALSE","0","0","0","Education","Rajasthan","India",FALSE
"18","RT @RajITday: Your innovative ideas can bring a change! Rajasthan IT Day 2018 is calling all the teachers, lecturers and professors for the","2018-07-27 07:00:38","TRUE","8","0","1","Education","Rajasthan","India",FALSE
"19","Syllabus for Sr. Teacher Gr II (Sanskrit Education Dept.) (TSP) Sanskrit- 2018 is available on  ","2018-07-27 06:01:50","FALSE","0","3","1","Education","Rajasthan","India",FALSE
"20","Remember few lines from childhood on History-  reply of a student to his teacher

,  ,      ","2018-07-27 06:01:50","FALSE","0","0","0","Education","Rajasthan","India",FALSE
"21","Syllabus for Sr. Teacher Gr II (Sanskrit Edu. Dept.)(Non-TSP) - Sanskrit- 2018 is available on  ","2018-07-27 06:01:16","FALSE","1","6","0","Education","Rajasthan","India",FALSE
"22","gurupurnima today. We bow to our Alma Mater Denobili school , Dhanbad and our Teachers who guided our childhood &amp;  ","2018-07-27 06:00:34","FALSE","0","2","1","Education","Rajasthan","India",FALSE
"23","Syllabus for Sr. Teacher Gr II (Sanskrit Education Dept.) (TSP) Sanskrit- 2018 is available on  ","2018-07-27 04:52:45","FALSE","2","0","0","Education","Rajasthan","India",TRUE
"24","Syllabus for Sr. Teacher Gr II (Sanskrit Edu. Dept.)(Non-TSP) - Sanskrit- 2018 is available on  ","2018-07-27 04:52:42","FALSE","2","0","1","Education","Rajasthan","India",TRUE
"25","Press Note Regarding Syllabus for Sr. Teacher Gr II (Sanskrit Education Dept.) (TSP) - 2018 is available on  ","2018-07-27 04:51:43","FALSE","2","2","0","Education","Rajasthan","India",FALSE
"26","Press Note Regarding Syllabus for Sr. Teacher Gr II (Sanskrit Edu.)(Non-TSP) 2018 is available on  ","2018-07-27 04:51:40","FALSE","2","0","0","Education","Rajasthan","India",FALSE
"27","     10   , -      ","2018-07-27 03:58:41","FALSE","0","0","1","Education","Rajasthan","India",FALSE
"28","RT @psn23295: @AmitShah @BJP4India @BJP4MP 2ndGrade2016Joining sir plzz rajasthan me rpsc 2nd grade teacher ka result 4month phle aaya tha","2018-07-26 23:35:02","TRUE","29","0","1","Education","Rajasthan","India",FALSE
"29","RT @Manish91886246: Sir @PrakashJavdekar rajasthan mein last 5yrs mein @VasundharaBJP govt ek bhi TGT mathematics, sst, science teacher pos","2018-07-26 15:33:16","TRUE","1","0","1","Education","Rajasthan","India",FALSE
