"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Information Technology Microsoft Office in Kolkata, West Bengal, India: teacher, letter, smt, cbse  ","2018-07-29 14:55:57","FALSE","0","0","-1","Education","West Bengal","India",FALSE
"2","RT @SUNDARmyth: Secular India*Bangla_Speak Brand West Bengal*
Dark Age?Rampant corruption in the Teacher's Recruitment may push the stat","2018-07-29 13:52:09","TRUE","1","0","-1","Education","West Bengal","India",FALSE
"3","Secular India*Bangla_Speak Brand West Bengal*
Dark Age?Rampant corruption in the Teacher's Recruitment may push  ","2018-07-28 19:39:05","FALSE","1","4","-1","Education","West Bengal","India",FALSE
"4","RT @sanatbiswasu: @indianarmy @adgpi I am a teacher in high school at West bengal.i want to know that how can I train OTA academy .","2018-07-28 17:38:19","TRUE","1","0","0","Education","West Bengal","India",FALSE
"5","@indianarmy @adgpi I am a teacher in high school at West bengal.i want to know that how can I train OTA academy .","2018-07-28 17:19:33","FALSE","1","0","-1","Education","West Bengal","India",FALSE
"6","TalkPoint: Bangla is by far the best option, and for good reasons too

Devalina Mookerjee @debosays
Publisher, res  ","2018-07-27 12:30:00","FALSE","0","1","3","Education","West Bengal","India",FALSE
"7","Kamalesh Das is a 30 years old school teacher, who was born and brought up in the beautiful city of Cooch behar, we  ","2018-07-26 14:31:39","FALSE","0","0","1","Education","West Bengal","India",FALSE
"8","Kamalesh Das is a 30 years old school teacher, who was born and brought up in the beautiful city of Cooch behar, we  ","2018-07-26 14:31:36","FALSE","0","0","1","Education","West Bengal","India",TRUE
"9"," !   -  ,   
 ","2018-07-26 12:41:04","FALSE","0","0","0","Education","West Bengal","India",FALSE
"10","RT @OneindiaBengali:  !   -  ,  
 ","2018-07-26 11:19:06","TRUE","1","0","1","Education","West Bengal","India",FALSE
"11"," !   -  ,  
 ","2018-07-26 10:56:11","FALSE","1","0","1","Education","West Bengal","India",FALSE
"12","WBPSC Lecturer Recruitment 2018
Total Posts: 598
Age: 18-37 Years
Last Date: 13 August 2018
Read More:  ","2018-07-26 05:40:32","FALSE","0","1","-2","Education","West Bengal","India",FALSE
"13","SCHOOL TEACHER BEATEN BY EX-STUDENT | WEST BENGAL:  ","2018-07-26 02:32:21","FALSE","0","0","1","Education","West Bengal","India",FALSE
"14","RT @KishoreKar: Democracy in danger in West Bengal. High school Dalit teacher arrested in North Bengal because he is an active member of @A","2018-07-24 13:02:00","TRUE","6","0","0","Education","West Bengal","India",FALSE
"15","West Bengal: Worms found in mid-day meal, teacher tells students they are cumin seeds ..  ","2018-07-24 09:57:52","FALSE","0","0","1","Education","West Bengal","India",FALSE
"16","Kamalesh Das is a 30 years old school teacher, who was born and brought up in the beautiful city of Cooch behar, we  ","2018-07-23 19:50:54","FALSE","0","0","1","Education","West Bengal","India",TRUE
"17","Kamalesh Das is a 30 years old school teacher, who was born and brought up in the beautiful city of Cooch behar, we  ","2018-07-23 19:50:41","FALSE","0","0","0","Education","West Bengal","India",TRUE
"18","Kamalesh Das is a 30 years old school teacher, who was born and brought up in the beautiful city of Cooch behar, we  ","2018-07-23 19:50:37","FALSE","0","0","1","Education","West Bengal","India",TRUE
"19","Computer Operator in Howrah, West Bengal, India: teacher, computer operator, tata, web developer  ","2018-07-23 12:44:37","FALSE","0","0","1","Education","West Bengal","India",FALSE
"20","RT @vinirish: Seriously- @SachinPilot mob in Assam stripped a girl during Cong rule,West Bengal,Kerala mobs run amok- remember a mob that a","2018-07-23 11:53:13","TRUE","36","0","0","Education","West Bengal","India",FALSE
"21","RT @vinirish: Seriously- @SachinPilot mob in Assam stripped a girl during Cong rule,West Bengal,Kerala mobs run amok- remember a mob that a","2018-07-23 11:24:31","TRUE","36","0","0","Education","West Bengal","India",TRUE
"22","@RahulGandhi Indira Gandhi did even much worse during her emergency. My younger brother Nisith, a teacher, was murd  ","2018-07-23 09:02:06","FALSE","0","0","1","Education","West Bengal","India",FALSE
"23","RT @vinirish: Seriously- @SachinPilot mob in Assam stripped a girl during Cong rule,West Bengal,Kerala mobs run amok- remember a mob that a","2018-07-23 05:01:21","TRUE","36","0","0","Education","West Bengal","India",TRUE
"24","RT @56perumal: West Bengal: Worms found in mid-day meal, teacher tells students they are cumin seeds  ","2018-07-23 04:32:31","TRUE","2","0","1","Education","West Bengal","India",FALSE
"25","RT @56perumal: West Bengal: Worms found in mid-day meal, teacher tells students they are cumin seeds  ","2018-07-23 04:17:08","TRUE","2","0","0","Education","West Bengal","India",TRUE
"26","West Bengal: Worms found in mid-day meal, teacher tells students they are cumin seeds  ","2018-07-23 04:14:14","FALSE","2","2","0","Education","West Bengal","India",FALSE
"27","RT @vinirish: Seriously- @SachinPilot mob in Assam stripped a girl during Cong rule,West Bengal,Kerala mobs run amok- remember a mob that a","2018-07-22 22:56:39","TRUE","36","0","1","Education","West Bengal","India",TRUE
"28","RT @Satyanewshi: West Bengal: Worms found in mid-day meal, teacher tells students they are cumin seeds  ","2018-07-22 21:52:13","TRUE","3","0","1","Education","West Bengal","India",FALSE
"29","RT @vinirish: Seriously- @SachinPilot mob in Assam stripped a girl during Cong rule,West Bengal,Kerala mobs run amok- remember a mob that a","2018-07-22 20:46:48","TRUE","36","0","1","Education","West Bengal","India",TRUE
"30","West Bengal: Worms found in mid-day meal, teacher tells students ... - India Today  ","2018-07-22 20:15:08","FALSE","0","0","1","Education","West Bengal","India",FALSE
"31","RT @vinirish: Seriously- @SachinPilot mob in Assam stripped a girl during Cong rule,West Bengal,Kerala mobs run amok- remember a mob that a","2018-07-22 20:02:23","TRUE","36","0","1","Education","West Bengal","India",TRUE
"32","RT @vinirish: Seriously- @SachinPilot mob in Assam stripped a girl during Cong rule,West Bengal,Kerala mobs run amok- remember a mob that a","2018-07-22 19:58:35","TRUE","36","0","0","Education","West Bengal","India",TRUE
"33","RT @vinirish: Seriously- @SachinPilot mob in Assam stripped a girl during Cong rule,West Bengal,Kerala mobs run amok- remember a mob that a","2018-07-22 18:00:15","TRUE","36","0","0","Education","West Bengal","India",TRUE
