"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","actress nude school nude swimming amateur college coeds alexis texas pornstarbook andhra girl naked   ","2018-07-28 14:50:37","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"2","..   
 ","2018-07-28 14:48:40","FALSE","0","5","0","Education","Andhra Pradesh","India",FALSE
"3","New post (School Management system ERP Software providers in Hyderabad) has been published on Andhra Vs Telangana -  ","2018-07-28 14:24:42","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"4","High School Management in Vijayawada, Andhra Pradesh, India: hair, carpenter, collage  ","2018-07-28 13:16:38","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"5","porno video  watch college porn  school girls open sex photos  orgasmic teen  andhra girls for phone sex    ","2018-07-28 11:37:01","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"6"," ","2018-07-28 11:17:08","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"7","@KTRTRS Good sir... You are lucky... Oka school photos ki 7k+ likes... Same andhra lo elanti schools photos pedithe  ","2018-07-28 08:32:26","FALSE","0","2","3","Education","Andhra Pradesh","India",FALSE
"8","fucking black porn slut free blowjob vidios school gril skirt open pussy thumbs school girl topless andhra   ","2018-07-28 05:33:56","FALSE","0","0","-1","Education","Andhra Pradesh","India",FALSE
"9","@KTRTRS I'm from Andhra sir... So many about 95% of parents are stopping their children to go to school after tenth  ","2018-07-28 03:35:42","FALSE","0","1","0","Education","Andhra Pradesh","India",FALSE
"10","porno video  watch college porn  school girls open sex photos  orgasmic teen  andhra girls for phone sex    ","2018-07-28 00:38:18","FALSE","0","0","0","Education","Andhra Pradesh","India",TRUE
"11","Real college girls go wild at party 15
  ","2018-07-27 19:54:29","FALSE","0","0","-1","Education","Andhra Pradesh","India",FALSE
"12","Atal Tinkering Lab now in remote model school ..  ","2018-07-27 18:36:41","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"13","porno video  watch college porn  school girls open sex photos  orgasmic teen  andhra girls for phone sex    ","2018-07-27 17:17:27","FALSE","0","0","0","Education","Andhra Pradesh","India",TRUE
"14","RT @oldhandhyd: Andhra Pradesh, Nallajerla, Dubacherla - Govt school premises being used for Christian conversion programmes ! How are they","2018-07-27 17:13:21","TRUE","7","0","0","Education","Andhra Pradesh","India",FALSE
"15","fucking black porn slut free blowjob vidios school gril skirt open pussy thumbs school girl topless andhra   ","2018-07-27 16:55:00","FALSE","0","1","-1","Education","Andhra Pradesh","India",TRUE
"16","@BillGates Hello Sir.
It's a great honour to send message to you sir.
Sir I'm Avinash from Vijayawada,Andhra Prades  ","2018-07-27 16:33:19","FALSE","0","0","1","Education","Andhra Pradesh","India",FALSE
"17","RT @NewIndianXpress: A minor girl was abducted on her way to school from hostel by two youngsters. She was allegedly raped by them for four","2018-07-27 09:01:42","TRUE","2","0","-1","Education","Andhra Pradesh","India",FALSE
"18","RT @NewIndianXpress: A minor girl was abducted on her way to school from hostel by two youngsters. She was allegedly raped by them for four","2018-07-27 08:45:44","TRUE","2","0","-1","Education","Andhra Pradesh","India",TRUE
"19","A minor girl was abducted on her way to school from hostel by two youngsters. She was allegedly raped by them for f  ","2018-07-27 08:45:04","FALSE","2","1","-1","Education","Andhra Pradesh","India",FALSE
"20","IBDP Psycology Teacher-International School-Hyderabad: 9T9 Technology Solutions - Hyderabad, Telangana - Andhra Pra  ","2018-07-27 06:21:05","FALSE","0","0","0","Education","Andhra Pradesh","India",FALSE
"21","actress nude school nude swimming amateur college coeds alexis texas pornstarbook andhra girl naked   ","2018-07-26 16:50:22","FALSE","0","0","0","Education","Andhra Pradesh","India",TRUE
"22","RT @sureshpprabhu: Met Dr. @G_Ganga_Raju, MP/LS - Narasapuram, Andhra Pradesh regarding the issues related to tobacco farmers. Also discuss","2018-07-26 15:43:38","TRUE","34","0","-1","Education","Andhra Pradesh","India",FALSE
"23","andhra sexy fuck xxxx sex two vagina nude petite boy nude hot teen transexuals afgan school porn free adult   ","2018-07-26 15:33:03","FALSE","0","0","2","Education","Andhra Pradesh","India",FALSE
"24","RT @JagatGuruDas: @Kuvalayamala @DimpleAtra A biblical school in Andhra calls itself as Veda Patasala. Maranatha Veda Patasala has branches","2018-07-26 12:30:06","TRUE","17","0","0","Education","Andhra Pradesh","India",FALSE
