"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @munish_bhatia: VHS Gurugram team visited Captain Chandan Lal school for blind. Spent time with 125 residential students and donated Att","2018-07-28 17:46:24","TRUE","27","0","-1","Education","Assam","India",FALSE
"2","Assams former top cop now teaches maths in school  ","2018-07-28 09:42:24","FALSE","0","0","1","Education","Assam","India",FALSE
"3","Betkuchi High School win Pilik Choudhury U-14 School Football Title
BetkuchiHighSchool
U14Football  ","2018-07-28 09:36:30","FALSE","0","0","1","Education","Assam","India",FALSE
"4","stories of gay teen sex school girl assam free hot sex the simpsons pornos relatos de homosexuales asian   ","2018-07-28 06:26:37","FALSE","0","0","2","Education","Assam","India",FALSE
"5","@Javedakhtarjadu @DrVijaydholpur Dont draw false-equivalences. RSS schools come under CBSE, impart modern educatio  ","2018-07-28 06:12:05","FALSE","0","0","1","Education","Assam","India",FALSE
"6","AAP MLA Amanatullah Khan admits his kids to Govt. School  ","2018-07-28 05:38:23","FALSE","0","0","0","Education","Assam","India",FALSE
"7","RT @Ayravata: headmistress of Jamunamukh Deuri LP School, Arnamai Bora was brutally raped and murdered by the two accused on May 31, 2017,","2018-07-28 05:24:26","TRUE","13","0","-2","Education","Assam","India",FALSE
"8","RT @dilipkrsarkar22: morigaon assam azarbari high school PMGDISHA Computer class training  ","2018-07-28 03:28:35","TRUE","1","0","0","Education","Assam","India",FALSE
"9","morigaon assam azarbari high school PMGDISHA Computer class training  ","2018-07-28 03:27:16","FALSE","1","0","0","Education","Assam","India",FALSE
"10","RT @parimalsukla: Glad to attend the successful completion ceremony of 6 months Induction Forester Training Course completed by 31 Forest O","2018-07-27 16:50:00","TRUE","7","0","2","Education","Assam","India",FALSE
"11","hot chick fucks great black dane free hot sex school girl assam katrina kaif nude fakes sex porn babe   ","2018-07-27 16:21:31","FALSE","0","0","4","Education","Assam","India",FALSE
"12","hot chick fucks great black dane free hot sex school girl assam katrina kaif nude fakes sex porn babe   ","2018-07-27 15:04:50","FALSE","0","0","4","Education","Assam","India",TRUE
"13","RT @sushilk97432169: @BeingRavish @TheVinodMeena aur wahan pe schools ko madarsass mei badal diye,aur Kai school ko aag ke havale Kar Diya,","2018-07-27 13:35:01","TRUE","1","0","0","Education","Assam","India",FALSE
"14","@BeingRavish @TheVinodMeena aur wahan pe schools ko madarsass mei badal diye,aur Kai school ko aag ke havale Kar Di  ","2018-07-27 13:34:19","FALSE","1","1","0","Education","Assam","India",FALSE
"15","Honourable Chief Minister of Assam Sri Sarbananda Sonowal just landing at Dudhnoi High School Play Ground for atten  ","2018-07-27 12:46:02","FALSE","0","1","0","Education","Assam","India",FALSE
"16","New post: Foldscope Programme at Dimoria High School, Assam  ","2018-07-27 11:18:53","FALSE","0","1","0","Education","Assam","India",FALSE
"17","RT @Ayravata: headmistress of Jamunamukh Deuri LP School, Arnamai Bora was brutally raped and murdered by the two accused on May 31, 2017,","2018-07-27 02:39:48","TRUE","13","0","-2","Education","Assam","India",TRUE
