"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 16:27:06","TRUE","122","0","-1","Employment","Delhi","India",FALSE
"2","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 16:20:57","TRUE","122","0","-1","Employment","Delhi","India",TRUE
"3","@narendramodi Ji, i need your help.. I'm unemployed for the past 5 month. Even after trying hard but i did not find  ","2018-07-29 15:56:07","FALSE","0","0","-1","Employment","Delhi","India",FALSE
"4","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 15:13:27","TRUE","122","0","0","Employment","Delhi","India",TRUE
"5","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 15:01:50","TRUE","122","0","-1","Employment","Delhi","India",TRUE
"6","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 14:27:12","TRUE","122","0","3","Employment","Delhi","India",TRUE
"7","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 13:51:45","TRUE","31","0","1","Employment","Delhi","India",FALSE
"8","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 12:09:30","TRUE","122","0","1","Employment","Delhi","India",TRUE
"9","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 12:06:12","TRUE","122","0","0","Employment","Delhi","India",TRUE
"10","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 12:02:40","TRUE","31","0","1","Employment","Delhi","India",TRUE
"11","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 11:31:47","TRUE","122","0","1","Employment","Delhi","India",TRUE
"12","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 11:27:29","TRUE","31","0","-2","Employment","Delhi","India",TRUE
"13","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 10:53:44","TRUE","122","0","1","Employment","Delhi","India",TRUE
"14","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 10:43:52","TRUE","31","0","0","Employment","Delhi","India",TRUE
"15","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 10:10:09","TRUE","122","0","1","Employment","Delhi","India",TRUE
"16","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 09:47:15","TRUE","122","0","1","Employment","Delhi","India",TRUE
"17","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 09:45:43","TRUE","122","0","0","Employment","Delhi","India",TRUE
"18","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 09:42:37","TRUE","31","0","1","Employment","Delhi","India",TRUE
"19","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 09:17:59","TRUE","122","0","1","Employment","Delhi","India",TRUE
"20","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 09:11:27","TRUE","31","0","0","Employment","Delhi","India",TRUE
"21","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 09:09:39","TRUE","31","0","0","Employment","Delhi","India",TRUE
"22","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 08:39:18","TRUE","122","0","1","Employment","Delhi","India",TRUE
"23","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 08:28:17","TRUE","122","0","0","Employment","Delhi","India",TRUE
"24","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 08:24:35","TRUE","122","0","1","Employment","Delhi","India",TRUE
"25","@AfDB_Group V r Paper Manufacturing unit near delhi. V R making paper from waste paper by the recycling process. We  ","2018-07-29 08:08:25","FALSE","0","0","0","Employment","Delhi","India",FALSE
"26","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 07:47:33","TRUE","31","0","0","Employment","Delhi","India",TRUE
"27","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 07:35:56","TRUE","122","0","1","Employment","Delhi","India",TRUE
"28","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 07:25:21","TRUE","122","0","1","Employment","Delhi","India",TRUE
"29","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 07:24:47","TRUE","122","0","1","Employment","Delhi","India",TRUE
"30","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 07:16:32","TRUE","31","0","1","Employment","Delhi","India",TRUE
"31","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 07:06:26","TRUE","122","0","1","Employment","Delhi","India",TRUE
"32","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 07:01:51","TRUE","122","0","0","Employment","Delhi","India",TRUE
"33","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:53:18","TRUE","122","0","0","Employment","Delhi","India",TRUE
"34","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:53:14","TRUE","122","0","0","Employment","Delhi","India",TRUE
"35","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:51:32","TRUE","122","0","0","Employment","Delhi","India",TRUE
"36","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:39:26","TRUE","122","0","1","Employment","Delhi","India",TRUE
"37","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:35:16","TRUE","122","0","0","Employment","Delhi","India",TRUE
"38","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:28:13","TRUE","122","0","-2","Employment","Delhi","India",TRUE
"39","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:25:48","TRUE","122","0","0","Employment","Delhi","India",TRUE
"40","RT @HawaaBaaz: I haven't seen a website more pathetic than Directorate of Employment under Delhi Govt. It is not user friendly. Cumbersome,","2018-07-29 06:21:24","TRUE","1","0","0","Employment","Delhi","India",FALSE
"41","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:20:27","TRUE","122","0","0","Employment","Delhi","India",TRUE
"42","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:19:47","TRUE","122","0","0","Employment","Delhi","India",TRUE
"43","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:19:28","TRUE","122","0","0","Employment","Delhi","India",TRUE
"44","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:12:54","TRUE","122","0","-1","Employment","Delhi","India",TRUE
"45","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:11:28","TRUE","31","0","0","Employment","Delhi","India",TRUE
"46","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 06:04:01","TRUE","31","0","0","Employment","Delhi","India",TRUE
"47","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:58:41","TRUE","122","0","0","Employment","Delhi","India",TRUE
"48","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:47:57","TRUE","31","0","0","Employment","Delhi","India",TRUE
"49","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:42:30","TRUE","122","0","0","Employment","Delhi","India",TRUE
"50","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:40:52","TRUE","31","0","0","Employment","Delhi","India",TRUE
"51","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:35:53","TRUE","122","0","0","Employment","Delhi","India",TRUE
"52","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:35:02","TRUE","122","0","1","Employment","Delhi","India",TRUE
"53","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:27:37","TRUE","122","0","1","Employment","Delhi","India",TRUE
"54","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:26:46","TRUE","122","0","1","Employment","Delhi","India",TRUE
"55","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:23:31","TRUE","122","0","0","Employment","Delhi","India",TRUE
"56","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:11:36","TRUE","122","0","1","Employment","Delhi","India",TRUE
"57","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:08:01","TRUE","31","0","0","Employment","Delhi","India",TRUE
"58","RT @PiyushGoyal: Now, GST on hotel service will be based on transaction value instead of declared tariff which will give a major relief to","2018-07-29 05:04:15","TRUE","760","0","0","Employment","Delhi","India",FALSE
"59","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 05:04:05","TRUE","31","0","0","Employment","Delhi","India",TRUE
"60","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:53:52","TRUE","122","0","0","Employment","Delhi","India",TRUE
"61","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:51:47","TRUE","122","0","0","Employment","Delhi","India",TRUE
"62","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:51:39","TRUE","31","0","0","Employment","Delhi","India",TRUE
"63","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:44:16","TRUE","122","0","0","Employment","Delhi","India",TRUE
"64","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:41:22","TRUE","31","0","0","Employment","Delhi","India",TRUE
"65","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:41:12","TRUE","122","0","0","Employment","Delhi","India",TRUE
"66","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:37:07","TRUE","122","0","0","Employment","Delhi","India",TRUE
"67","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:33:46","TRUE","122","0","0","Employment","Delhi","India",TRUE
"68","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:20:10","TRUE","122","0","0","Employment","Delhi","India",TRUE
"69","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:12:57","TRUE","122","0","-2","Employment","Delhi","India",TRUE
"70","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 04:04:08","TRUE","122","0","2","Employment","Delhi","India",TRUE
"71","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 03:57:09","TRUE","122","0","0","Employment","Delhi","India",TRUE
"72","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 03:38:45","TRUE","122","0","0","Employment","Delhi","India",TRUE
"73","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 03:20:44","TRUE","31","0","1","Employment","Delhi","India",TRUE
"74","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 03:15:14","TRUE","122","0","0","Employment","Delhi","India",TRUE
"75","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 03:11:43","TRUE","122","0","1","Employment","Delhi","India",TRUE
"76","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 03:06:26","TRUE","31","0","0","Employment","Delhi","India",TRUE
"77","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 02:59:52","TRUE","31","0","0","Employment","Delhi","India",TRUE
"78","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 02:55:45","TRUE","31","0","0","Employment","Delhi","India",TRUE
"79","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 02:32:15","TRUE","122","0","0","Employment","Delhi","India",TRUE
"80","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 02:27:39","TRUE","122","0","0","Employment","Delhi","India",TRUE
"81","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 02:25:43","TRUE","31","0","0","Employment","Delhi","India",TRUE
"82","RT @DelhiPMC: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 01:55:15","TRUE","31","0","0","Employment","Delhi","India",TRUE
"83","RT @INCDelhi: Kejriwal asserts that every poor family has a ration card in Delhi, every child who goes to school gets mid-day meal, everyon","2018-07-29 01:48:15","TRUE","122","0","0","Employment","Delhi","India",TRUE
