"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@SritamaNandi @SuPriyoBabul Can u plz say what TMC done for employment in bengal?? Just see the Bjp ruled state of  ","2018-07-28 01:24:58","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"2","PGVCL Company Secretary Recruitment 2018 | employmentnotice recruitmentnotification employmentnews jobalert  ","2018-07-27 20:50:00","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"3","MGVCL Vidyut Sahayak Recruitment Notification 2018 | Madhya Gujarat Vij Company Limited (MGVCL) Recruitment 2018 fo  ","2018-07-27 14:27:58","FALSE","0","0","-1","Employment","Gujarat","India",FALSE
"4","MGVCL Vidyut Sahayak Recruitment Notification 2018 | Madhya Gujarat Vij Company Limited (MGVCL) Recruitment 2018 fo  ","2018-07-27 14:27:54","FALSE","0","0","-1","Employment","Gujarat","India",TRUE
"5","MGVCL Vidyut Sahayak Recruitment Notification 2018 | Madhya Gujarat Vij Company Limited (MGVCL) Recruitment 2018 fo  ","2018-07-27 14:27:46","FALSE","0","0","-1","Employment","Gujarat","India",TRUE
"6","District Employment Exchange Sanand Notification 2018 for Rozgaar Bharti Mela  ","2018-07-26 06:49:30","FALSE","0","0","0","Employment","Gujarat","India",FALSE
"7","PGVCL Company Secretary Recruitment 2018 | Paschim Gujarat Vij Company Limited (PGVCL) Recruitment 2018 for 01 Comp  ","2018-07-25 13:21:03","FALSE","0","0","-1","Employment","Gujarat","India",FALSE
"8","PGVCL Company Secretary Recruitment 2018 | Paschim Gujarat Vij Company Limited (PGVCL) Recruitment 2018 for 01 Comp  ","2018-07-25 13:20:59","FALSE","0","0","-1","Employment","Gujarat","India",TRUE
"9","PGVCL Company Secretary Recruitment 2018 | Paschim Gujarat Vij Company Limited (PGVCL) Recruitment 2018 for 01 Comp  ","2018-07-25 13:20:54","FALSE","0","0","-1","Employment","Gujarat","India",TRUE
"10","@PMOIndia Guj. Govt trying to Increase Employment but other Corporations are DECREASING employments by Closing Runn  ","2018-07-25 08:59:44","FALSE","0","0","0","Employment","Gujarat","India",FALSE
