"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","I've just posted a new blog:         ","2018-07-29 09:48:37","FALSE","0","0","-1","Employment","Madhya Pradesh","India",FALSE
"2","RT @Madhya_Pradesh_: Java Trainee: Endevor IT Solutions Pvt. Ltd - Indore, Madhya Pradesh - Internship Job Description Industrial Training","2018-07-29 06:33:15","TRUE","1","0","-1","Employment","Madhya Pradesh","India",FALSE
"3","Deputy Manager: Eicher - Pithampur, Madhya Pradesh - Knowledge in govt regulations and requirements that affect cha  ","2018-07-29 06:31:09","FALSE","0","0","-1","Employment","Madhya Pradesh","India",FALSE
"4","Technical Writer from Pharma/ Machinery/ Auto/ Aviation/ Electricals: Jekson Vision Pvt Ltd - Bhopal, Madhya Prades  ","2018-07-29 06:31:08","FALSE","0","0","0","Employment","Madhya Pradesh","India",FALSE
"5","Urgent Opening Warehouse Manager: Trinity India Outsourcing - Indore, Madhya Pradesh - Warehouse Manager: Should ha  ","2018-07-29 06:31:08","FALSE","0","0","-1","Employment","Madhya Pradesh","India",FALSE
"6","Associate Director - Investment - BFSI (8-10 yrs): Dhar, Madhya Pradesh - Our Client is looking for an Associate Di  ","2018-07-29 06:31:08","FALSE","0","0","3","Employment","Madhya Pradesh","India",FALSE
"7","Java Trainee: Endevor IT Solutions Pvt. Ltd - Indore, Madhya Pradesh - Internship Job Description Industrial Traini  ","2018-07-29 06:31:08","FALSE","1","0","1","Employment","Madhya Pradesh","India",FALSE
"8","Area Sales Manager: Flair Aloft - Indore, Madhya Pradesh - We are an executive search firm catering across industri  ","2018-07-29 06:31:07","FALSE","0","0","1","Employment","Madhya Pradesh","India",FALSE
"9","PHP Developer: Indore, Madhya Pradesh - PHP Positions (3) Positions: 1 Designation: Software Engineer Experience Re  ","2018-07-29 06:31:07","FALSE","0","0","0","Employment","Madhya Pradesh","India",FALSE
"10","Assistant Business Manager MSME: AU Small Finance Bank - Madhya Pradesh - JOB DESCRIPTION Basic Information Positio  ","2018-07-29 06:31:07","FALSE","0","0","1","Employment","Madhya Pradesh","India",FALSE
"11","Financial Advisor: Ideal Stock Investment Advisor - Indore, Madhya Pradesh - Job Summary Responsible for eliciting,  ","2018-07-29 06:31:06","FALSE","0","0","1","Employment","Madhya Pradesh","India",FALSE
"12","JPAM Trainee: Jio - Barwani, Madhya Pradesh - Job Responsibilities : 1. Customer Experience: Ensure a delightful cu  ","2018-07-29 06:31:06","FALSE","0","0","-2","Employment","Madhya Pradesh","India",FALSE
"13","@narendramodi @SureshRanaBJP Jhoot bolne wala narendra modi 10 crore job unna kand dalit attack in gujarat maharash  ","2018-07-29 02:17:39","FALSE","0","0","1","Employment","Madhya Pradesh","India",FALSE
"14","[Job] Recruitment of Back Office Coordinator | Company: NIFT Bhopal | Location: Bhopal MP Madhya Pradesh India |  ","2018-07-29 00:02:47","FALSE","0","0","0","Employment","Madhya Pradesh","India",FALSE
"15","SEO Fresher Internship in Indore, Madhya Pradesh, India: seo, tower, internship  ","2018-07-28 16:41:55","FALSE","0","0","1","Employment","Madhya Pradesh","India",FALSE
"16","Java Developer in Indore, Madhya Pradesh, India: java, tower, cs, developer, java developer  ","2018-07-28 16:31:54","FALSE","0","0","1","Employment","Madhya Pradesh","India",FALSE
"17","I liked a @YouTube video  ","2018-07-28 16:21:51","FALSE","0","0","0","Employment","Madhya Pradesh","India",FALSE
"18","PHP Developers in Indore, Madhya Pradesh, India: php, press  ","2018-07-28 15:21:49","FALSE","0","0","1","Employment","Madhya Pradesh","India",FALSE
"19","RT @angshukanta: Good follow-up by @thewire_in @shreyilaanasuya in the case of the former district court judge -- sexually harassed by Madh","2018-07-28 15:15:18","TRUE","15","0","1","Employment","Madhya Pradesh","India",FALSE
"20","Android Developers (Freshers) in Indore, Madhya Pradesh, India: tower, android, hr  ","2018-07-28 15:01:47","FALSE","0","0","0","Employment","Madhya Pradesh","India",FALSE
"21","MP Vyapam Recruitment 2018  548 Sub Engineer, Cartographer Posts | Apply Online

Organization Name: Madhya Pradesh  ","2018-07-28 14:17:54","FALSE","0","0","0","Employment","Madhya Pradesh","India",FALSE
"22","RT @angshukanta: Good follow-up by @thewire_in @shreyilaanasuya in the case of the former district court judge -- sexually harassed by Madh","2018-07-28 09:16:18","TRUE","15","0","1","Employment","Madhya Pradesh","India",TRUE
"23","RT @angshukanta: Good follow-up by @thewire_in @shreyilaanasuya in the case of the former district court judge -- sexually harassed by Madh","2018-07-27 17:32:59","TRUE","15","0","0","Employment","Madhya Pradesh","India",TRUE
"24","RT @angshukanta: Good follow-up by @thewire_in @shreyilaanasuya in the case of the former district court judge -- sexually harassed by Madh","2018-07-27 17:13:53","TRUE","15","0","1","Employment","Madhya Pradesh","India",TRUE
"25","RT @angshukanta: Good follow-up by @thewire_in @shreyilaanasuya in the case of the former district court judge -- sexually harassed by Madh","2018-07-27 16:34:30","TRUE","15","0","0","Employment","Madhya Pradesh","India",TRUE
"26","RT @angshukanta: Good follow-up by @thewire_in @shreyilaanasuya in the case of the former district court judge -- sexually harassed by Madh","2018-07-27 16:22:51","TRUE","15","0","0","Employment","Madhya Pradesh","India",TRUE
"27","RT @angshukanta: Good follow-up by @thewire_in @shreyilaanasuya in the case of the former district court judge -- sexually harassed by Madh","2018-07-27 16:05:54","TRUE","15","0","1","Employment","Madhya Pradesh","India",TRUE
"28","RT @angshukanta: Good follow-up by @thewire_in @shreyilaanasuya in the case of the former district court judge -- sexually harassed by Madh","2018-07-27 16:05:27","TRUE","15","0","1","Employment","Madhya Pradesh","India",TRUE
