"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @chamat_nilesh: @cbawankule @narendramodi @nitin_gadkari @BJP4India @MahaDGIPR @AmitShah @BJPLive @Dev_Fadnavis @swbjpnagpur @raosahebda","2018-07-29 11:22:29","TRUE","4","0","-1","Employment","Maharashtra","India",FALSE
"2","RT @chamat_nilesh: @cbawankule @narendramodi @nitin_gadkari @BJP4India @MahaDGIPR @AmitShah @BJPLive @Dev_Fadnavis @swbjpnagpur @raosahebda","2018-07-29 11:21:30","TRUE","4","0","-1","Employment","Maharashtra","India",TRUE
"3","RT @chamat_nilesh: @cbawankule @narendramodi @nitin_gadkari @BJP4India @MahaDGIPR @AmitShah @BJPLive @Dev_Fadnavis @swbjpnagpur @raosahebda","2018-07-29 08:53:26","TRUE","4","0","-1","Employment","Maharashtra","India",TRUE
"4","RT @chamat_nilesh: @cbawankule @narendramodi @nitin_gadkari @BJP4India @MahaDGIPR @AmitShah @BJPLive @Dev_Fadnavis @swbjpnagpur @raosahebda","2018-07-29 08:23:03","TRUE","4","0","0","Employment","Maharashtra","India",TRUE
"5","@cbawankule @narendramodi @nitin_gadkari @BJP4India @MahaDGIPR @AmitShah @BJPLive @Dev_Fadnavis @swbjpnagpur  ","2018-07-29 08:14:03","FALSE","4","7","-1","Employment","Maharashtra","India",FALSE
"6","@narendramodi @BJPBengal Unn Mataao ka Kya jinki Beti ka rape aapke MLAs aur MPs ne Kiya
Unn kissano ka Kya jinh su  ","2018-07-29 07:40:22","FALSE","0","0","3","Employment","Maharashtra","India",FALSE
"7","RT @PiyushGoyal: Now, GST on hotel service will be based on transaction value instead of declared tariff which will give a major relief to","2018-07-29 05:08:36","TRUE","657","0","1","Employment","Maharashtra","India",FALSE
"8","MAHADISCOM Recruitment 2018  100 Wireman &amp; Electrician Posts | Apply Online

Organization Name: Maharashtra State  ","2018-07-28 08:17:51","FALSE","0","0","1","Employment","Maharashtra","India",FALSE
"9","RT @ShivsrushtiPune: FortsinMaharashtra will be cleaned through the MNREGA and the states Employment Guarantee Scheme in association with","2018-07-28 07:13:35","TRUE","1","0","0","Employment","Maharashtra","India",FALSE
"10","FortsinMaharashtra will be cleaned through the MNREGA and the states Employment Guarantee Scheme in association w  ","2018-07-28 05:16:16","FALSE","1","1","1","Employment","Maharashtra","India",FALSE
"11","MPSC Recruitment 2018  399 AO Posts | Apply Online

Organization Name: Maharashtra Public Service Commission (MPSC  ","2018-07-27 14:17:40","FALSE","0","0","1","Employment","Maharashtra","India",FALSE
"12","Our Director, Asgar Naqvi, moderates a panel discussion on Emerging employment opportunity in Port &amp; Maritime rel  ","2018-07-27 09:45:02","FALSE","0","4","-2","Employment","Maharashtra","India",FALSE
"13","North Maharashtra University Director Recruitment 2018 Released  NMU Jobs Notification @ ","2018-07-27 07:20:50","FALSE","0","0","1","Employment","Maharashtra","India",FALSE
