"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","@MZakriaBadar @ImranKhanPTI I would say the better choice would be Chaudhry Pervaiz Ilahi he knows the job, politic  ","2018-07-29 12:19:58","FALSE","0","0","-1","Employment","Punjab","India",FALSE
"2","RT @AdnKhaliq: Anyone who thinks he can trust CPE is a big idiot, that guy is after the top job in Punjab. He has stabbed you in the back a","2018-07-29 12:19:07","TRUE","1","0","-1","Employment","Punjab","India",FALSE
"3","@Azee_11_ @JKTFanClubb I agree with @Azee_11_ in that Shah Mehmood must be taken in confidence. 
While I think JKT  ","2018-07-29 12:09:58","FALSE","0","1","-1","Employment","Punjab","India",FALSE
"4","@narendramodi @narendramodi_in listened to @MannKiBaat_PMO today. Request you to stop this brain drain, punjab is r  ","2018-07-29 12:00:20","FALSE","0","1","0","Employment","Punjab","India",FALSE
"5","@SukhpalKhaira Because volunteers of Aap Punjab love you and respect you so much Khaira Saab....I counted 1100 volu  ","2018-07-29 11:49:06","FALSE","0","2","-1","Employment","Punjab","India",FALSE
"6","Job in PUNJAB POLICE.
Data Entry  ","2018-07-29 11:42:59","FALSE","0","0","3","Employment","Punjab","India",FALSE
"7","@mahobili @haayyita Bullshit , PTI is busy in forming Federal and Punjab Government, they have no time to Discuss P  ","2018-07-29 11:36:22","FALSE","0","0","1","Employment","Punjab","India",FALSE
"8","@capt_amarinder Sir see The Tribune 1st page today. Punjab youth is running abroad and Punjab money is also flowing  ","2018-07-29 11:29:45","FALSE","0","0","1","Employment","Punjab","India",FALSE
"9","@Amir19888611 @NaseemAkram05 @Xadeejournalist PTI ayi toh CM of punjab Q ka ho ga...yani keh a few seats in punjab  ","2018-07-29 11:17:19","FALSE","0","0","0","Employment","Punjab","India",FALSE
"10","Thank GOD this is what i want as pti supporter.good job he did wouldn't let the pmln making governament in punjab pakistan","2018-07-29 10:32:50","FALSE","0","0","1","Employment","Punjab","India",FALSE
"11","@nasirshah121 @Xadeejournalist Parvez elahi did a remarkable job when he was cm.  All the infrastructure especially  ","2018-07-29 10:31:47","FALSE","0","0","1","Employment","Punjab","India",FALSE
"12","@imran3767288 @nailainayat The only thing that I am unable to understand k sindh aur Punjab men ppp aur noon ko aks  ","2018-07-29 10:19:39","FALSE","0","0","-2","Employment","Punjab","India",FALSE
"13","@PTIMPK Sir G punjab mein awam ne khote bohat khaye hein Aleem khan did well his job","2018-07-29 10:11:43","FALSE","0","0","1","Employment","Punjab","India",FALSE
"14","Matric Passed Candidates Now Can Online Apply For Admission In Any College Of The Punjab.
online Admission k lye ta  ","2018-07-29 10:09:54","FALSE","0","0","0","Employment","Punjab","India",FALSE
"15","Well If PMLN is so sure to win in re-counting why not accept the Fazlu demand not to go to assemblies? Let there be  ","2018-07-29 10:06:36","FALSE","0","0","1","Employment","Punjab","India",FALSE
"16","Anyone who thinks he can trust CPE is a big idiot, that guy is after the top job in Punjab. He has stabbed you in t  ","2018-07-29 09:58:27","FALSE","1","0","1","Employment","Punjab","India",FALSE
"17","@aimaMK If they seriously thinking for her to be the CM they will be putting the first nail in their coffin.  CM Pu  ","2018-07-29 09:40:47","FALSE","0","1","0","Employment","Punjab","India",FALSE
"18","Punjab govt to hold international job fair at Amritsar on Jul30
  ","2018-07-29 09:32:56","FALSE","0","2","1","Employment","Punjab","India",FALSE
"19","Punjab govt to hold international job fair at Amritsar on July 30 - The Indian Express  ","2018-07-29 09:30:35","FALSE","0","0","1","Employment","Punjab","India",FALSE
"20","@ShahzebJillani I have interacted with a presiding officer from Dera Bugti as he is my friend he was ready to swear  ","2018-07-29 09:28:02","FALSE","0","0","0","Employment","Punjab","India",FALSE
"21","@arshad_Geo @AnsarAAbbasi This case belongs to Police not IK if police has ground to charge them for their crime th  ","2018-07-29 09:12:03","FALSE","0","0","0","Employment","Punjab","India",FALSE
"22","@CMShehbaz What about legal right of each Pakistani.were u able to provide free health education job security clean  ","2018-07-29 08:32:10","FALSE","0","0","1","Employment","Punjab","India",FALSE
"23","walkin for International Sales Executive from 27 jul to 4 aug at mohali: Mohali, Punjab - The candidate must have g  ","2018-07-29 07:05:07","FALSE","0","0","0","Employment","Punjab","India",FALSE
"24","@barooq CTD did a great Job in Punjab..Then Dawn leaks happened which slowed the pace of ongoing concerted operatio  ","2018-07-29 06:07:21","FALSE","0","0","1","Employment","Punjab","India",FALSE
"25","Join the Standard Chartered Bank team! See our latest job opening here:  ","2018-07-29 06:01:23","FALSE","0","0","0","Employment","Punjab","India",FALSE
"26","RT @ragingcomrade: my dad just casually pointed out how choosing yasmeen rashid as the CM punjab will be IKs biggest political blunder bec","2018-07-29 05:44:54","TRUE","3","0","0","Employment","Punjab","India",FALSE
"27","RT @hashamritsar: Punjab govt to hold international job fair at Amritsar on July 30 - The Indian Express  ","2018-07-29 05:31:38","TRUE","1","0","1","Employment","Punjab","India",FALSE
"28","Punjab govt to hold international job fair at Amritsar on July 30 - The Indian Express  ","2018-07-29 05:30:30","FALSE","1","0","1","Employment","Punjab","India",TRUE
"29","RT @PTICyberForce: Governing Punjab is not an easy task. The province is entrenched with departmental corruption, bureaucratic politics and","2018-07-29 02:20:13","TRUE","13","0","1","Employment","Punjab","India",FALSE
"30","SHAH MAHMOOD QURESHI SHOULD ACCEPT FOREIGN MINISTER JOB.THIS IS THE HIGHEST POST AFTER PM SHIP.HE WAS ONE OF BEST F  ","2018-07-28 23:49:17","FALSE","0","0","1","Employment","Punjab","India",FALSE
"31","RT @ragingcomrade: my dad just casually pointed out how choosing yasmeen rashid as the CM punjab will be IKs biggest political blunder bec","2018-07-28 23:39:45","TRUE","3","0","1","Employment","Punjab","India",TRUE
"32","RT @fatima_horain: @ImranKhanPTI should select CM Punjab who MUST NOT b ambitious and his/her commitment and loyalty to PTI ETHOS of chan","2018-07-28 23:03:31","TRUE","1","0","0","Employment","Punjab","India",FALSE
"33","@ARYSabirShakir Tough job.. Let's see how he will execute... Specially when he doesn't have absolute majority... Fi  ","2018-07-28 22:50:13","FALSE","0","0","0","Employment","Punjab","India",FALSE
"34","@humna278 @Khalil_a_hassan @KhanAfridi73 @javiqbal09 @Imran35102694 @Nimrabu55782621 @amjadSheikh50 @mohsinmalvi19  ","2018-07-28 22:29:50","FALSE","0","4","0","Employment","Punjab","India",FALSE
"35","@ImranKhanPTI should select CM Punjab who MUST NOT b ambitious and his/her commitment and loyalty to PTI ETHOS of  ","2018-07-28 22:29:37","FALSE","1","3","0","Employment","Punjab","India",FALSE
"36","Office management in Rawalpindi, Punjab, Pakistan: fresh, office management, holder, pk  ","2018-07-28 22:05:05","FALSE","0","0","1","Employment","Punjab","India",FALSE
