"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @talksovercofee: Thank you Nitin ji  Great minds Great people . I want to add more names who is no less then any of these and doing a f","2018-07-29 12:59:40","TRUE","1","0","-1","Employment","Rajasthan","India",FALSE
"2","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-29 12:50:14","TRUE","25","0","-1","Employment","Rajasthan","India",FALSE
"3","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-29 12:49:25","TRUE","25","0","-1","Employment","Rajasthan","India",TRUE
"4","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-29 12:31:08","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"5","RT @DrTnsharma: @akhilarora93 @RajeVasundhara @VasundharaBJP @VasudevDevnani 
shame for false message and false statements.
how many of the","2018-07-29 12:06:58","TRUE","11","0","-1","Employment","Rajasthan","India",FALSE
"6","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-29 12:04:38","TRUE","25","0","3","Employment","Rajasthan","India",TRUE
"7","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-29 11:58:17","TRUE","25","0","1","Employment","Rajasthan","India",TRUE
"8","RT @trunils: Bengal man Afrazul Khan killed in Rajasthan: huge outrage in WB, Mamata announced Rs 3 lakh compensation &amp; govt job to the vic","2018-07-29 11:51:26","TRUE","852","0","1","Employment","Rajasthan","India",FALSE
"9","Thank you Nitin ji  Great minds Great people . I want to add more names who is no less then any of these and doing  ","2018-07-29 11:43:59","FALSE","1","1","0","Employment","Rajasthan","India",FALSE
"10","The mob started it, and police finished the job of lynching28-year-old Rakbar Khan killed in Alwarin Rajasthan, I  ","2018-07-29 11:19:27","FALSE","0","0","1","Employment","Rajasthan","India",FALSE
"11","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-29 09:55:07","TRUE","25","0","1","Employment","Rajasthan","India",TRUE
"12","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-29 09:49:31","TRUE","25","0","-2","Employment","Rajasthan","India",TRUE
"13","The mob started it, and police finished the job of lynching28-year-old Rakbar Khan killed in Alwarin Rajasthan, I  ","2018-07-29 09:47:45","FALSE","0","0","1","Employment","Rajasthan","India",TRUE
"14","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-29 09:02:40","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"15","@cmohry @PMOIndia @DARPG_GoI @DrJitendraSingh @BJP4India @BJP4Haryana @MIB_India @PIB_India Kya aap jante Aapke sta  ","2018-07-29 08:26:06","FALSE","0","0","1","Employment","Rajasthan","India",FALSE
"16","RT @kanimozhi: @pa1nist Learning French, German or Russian will help one to exploit their respective markets for job or business or other o","2018-07-29 07:00:59","TRUE","1","0","1","Employment","Rajasthan","India",FALSE
"17","@pa1nist Learning French, German or Russian will help one to exploit their respective markets for job or business o  ","2018-07-29 04:20:51","FALSE","1","5","0","Employment","Rajasthan","India",FALSE
"18","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-29 02:54:08","TRUE","25","0","1","Employment","Rajasthan","India",TRUE
"19","RT @DonisaSmartGift:  ","2018-07-28 23:09:47","TRUE","1","0","1","Employment","Rajasthan","India",FALSE
"20"," ","2018-07-28 23:05:48","FALSE","1","0","0","Employment","Rajasthan","India",FALSE
"21","@manakgupta @news24tvchannel I have been in Gujarat and Rajasthan and have seen many of trusts are working and prov  ","2018-07-28 21:19:16","FALSE","0","0","0","Employment","Rajasthan","India",FALSE
"22","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 16:32:32","TRUE","25","0","1","Employment","Rajasthan","India",TRUE
"23","RT @SharmaShradha: Meet @surensikar from Sikar district in Rajasthan, he has built more than 100 mobile apps and mobile app building platfo","2018-07-28 16:00:20","TRUE","23","0","0","Employment","Rajasthan","India",FALSE
"24","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 15:11:07","TRUE","25","0","1","Employment","Rajasthan","India",TRUE
"25","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 14:44:19","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"26","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 13:32:47","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"27","RT @SharmaShradha: Meet @surensikar from Sikar district in Rajasthan, he has built more than 100 mobile apps and mobile app building platfo","2018-07-28 13:11:36","TRUE","23","0","1","Employment","Rajasthan","India",TRUE
"28","RT @SharmaShradha: Meet @surensikar from Sikar district in Rajasthan, he has built more than 100 mobile apps and mobile app building platfo","2018-07-28 12:57:36","TRUE","23","0","1","Employment","Rajasthan","India",TRUE
"29","RT @istartrajasthan: Rajasthan Job Fair offered million opportunities to our states aspiring youth!! Day 2 ended offering job opportunitie","2018-07-28 12:50:11","TRUE","25","0","1","Employment","Rajasthan","India",FALSE
"30"," ","2018-07-28 12:43:16","FALSE","0","0","1","Employment","Rajasthan","India",TRUE
"31","RT @SharmaShradha: Meet @surensikar from Sikar district in Rajasthan, he has built more than 100 mobile apps and mobile app building platfo","2018-07-28 12:40:09","TRUE","23","0","1","Employment","Rajasthan","India",TRUE
"32","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 12:09:15","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"33","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 11:19:38","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"34","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 11:09:43","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"35","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 10:23:41","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"36","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 09:56:18","TRUE","25","0","1","Employment","Rajasthan","India",TRUE
"37","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 09:56:08","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"38","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 09:55:44","TRUE","25","0","-2","Employment","Rajasthan","India",TRUE
"39","RT @Tanya13155427: @JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They r not","2018-07-28 09:50:21","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"40","@JPNadda @NHPINDIA Hnble
WorldHepatitisDay LabTechnicians_of_Rajasthan r deprived persons of medical deptt,
They  ","2018-07-28 09:49:08","FALSE","25","25","0","Employment","Rajasthan","India",FALSE
"41","Jail Warden 2018 (Rajasthan) govt job  ","2018-07-28 08:41:15","FALSE","0","0","0","Employment","Rajasthan","India",FALSE
"42","RT @istartrajasthan: Rajasthan Job Fair offered million opportunities to our states aspiring youth!! Day 2 ended offering job opportunitie","2018-07-28 08:32:34","TRUE","25","0","0","Employment","Rajasthan","India",TRUE
"43","Admission In 100% Job Ready Course started in Mewar University Rajasthan call to book your seat in only 10000 - 935  ","2018-07-28 07:50:11","FALSE","0","0","0","Employment","Rajasthan","India",FALSE
"44","RT @SharmaShradha: Meet @surensikar from Sikar district in Rajasthan, he has built more than 100 mobile apps and mobile app building platfo","2018-07-28 06:38:14","TRUE","23","0","-1","Employment","Rajasthan","India",TRUE
"45","RT @SharmaShradha: Meet @surensikar from Sikar district in Rajasthan, he has built more than 100 mobile apps and mobile app building platfo","2018-07-28 06:06:42","TRUE","23","0","0","Employment","Rajasthan","India",TRUE
