"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @thekiranbedi: With Honble Governor of Tamil Nadu. Invited him to visit Puducherry and address officers on regional challenges in the ar","2018-07-29 09:26:15","TRUE","56","0","-1","Employment","Tamil Nadu","India",FALSE
"2","Tamil Nadu Agricultural University Recruitment 2018 | Apply 30 Driver Jobs Notification @  ","2018-07-28 07:13:53","FALSE","0","0","-1","Employment","Tamil Nadu","India",FALSE
"3","I am watching the scene near Karunanidhi's home. Tamil Nadu has not changed a bit in 50 years. The same amount of c  ","2018-07-27 16:52:32","FALSE","0","3","-1","Employment","Tamil Nadu","India",FALSE
"4","Reopensterlite
Sterlite
Small scale industries are key for Tamil Nadu and Country development. False statements/m  ","2018-07-26 06:48:37","FALSE","1","0","0","Employment","Tamil Nadu","India",FALSE
"5","TNOU Deputy Director Recruitment 2018 Tamil Nadu Open University Vacancies Notification @ ","2018-07-25 11:02:20","FALSE","0","0","-1","Employment","Tamil Nadu","India",FALSE
"6","Like Tamil Nadu Premier League which is so exciting other states alsp must encourge state leagues in various. sport  ","2018-07-25 04:54:55","FALSE","0","0","3","Employment","Tamil Nadu","India",FALSE
"7","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-24 12:12:37","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"8","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-24 06:17:11","FALSE","1","0","1","Employment","Tamil Nadu","India",TRUE
"9","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-23 14:49:16","FALSE","0","0","0","Employment","Tamil Nadu","India",TRUE
"10","RT @BT_India: Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-23 13:26:40","TRUE","1","0","1","Employment","Tamil Nadu","India",FALSE
"11","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-23 13:19:21","FALSE","0","0","1","Employment","Tamil Nadu","India",TRUE
"12","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-23 13:17:40","FALSE","1","6","-2","Employment","Tamil Nadu","India",TRUE
"13","RT @RukminiPillai: How has this particular Government-NGO partnership  benefited persons w/schizophrenia &amp; serious mental illnesses housed","2018-07-23 12:06:12","TRUE","1","0","1","Employment","Tamil Nadu","India",FALSE
"14","RT @tanmayj41128048: No wonder,Church is bent upon driving away industries from its influence areas with help of Dravidian Luddites(Tamil N","2018-07-23 11:52:47","TRUE","1","0","0","Employment","Tamil Nadu","India",FALSE
"15","@arvindsudarshan @Karthikeyan_kp Hindi is not valid in Tamil Nadu. For Engineers who seek employment in Karnataka ,  ","2018-07-23 10:55:43","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"16","How has this particular Government-NGO partnership  benefited persons w/schizophrenia &amp; serious mental illnesses h  ","2018-07-23 10:23:02","FALSE","1","1","1","Employment","Tamil Nadu","India",FALSE
"17","No wonder,Church is bent upon driving away industries from its influence areas with help of Dravidian Luddites(Tami  ","2018-07-23 10:07:56","FALSE","1","1","0","Employment","Tamil Nadu","India",FALSE
"18","Other than growth &amp; employment opportunities, a better governed state cannot be the one which kills its own citizen  ","2018-07-22 12:39:55","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"19","RT @AllwinA4: Retweeted Tamil Nadu Congress Committee (@INCTamilNadu):

In the future too,a Social and economical change can be brought abo","2018-07-21 12:45:03","TRUE","2","0","1","Employment","Tamil Nadu","India",FALSE
"20","NoConfidenceMotion
Low employment rate in India and specially Tamil nadu 15th rank in that survey of investment and employers","2018-07-20 15:32:14","FALSE","0","0","0","Employment","Tamil Nadu","India",FALSE
"21","RT @thekiranbedi: With Honble Governor of Tamil Nadu. Invited him to visit Puducherry and address officers on regional challenges in the ar","2018-07-29 09:26:15","TRUE","56","0","0","Employment","Tamil Nadu","India",TRUE
"22","Tamil Nadu Agricultural University Recruitment 2018 | Apply 30 Driver Jobs Notification @  ","2018-07-28 07:13:53","FALSE","0","0","1","Employment","Tamil Nadu","India",TRUE
"23","I am watching the scene near Karunanidhi's home. Tamil Nadu has not changed a bit in 50 years. The same amount of c  ","2018-07-27 16:52:32","FALSE","0","3","0","Employment","Tamil Nadu","India",TRUE
"24","Reopensterlite
Sterlite
Small scale industries are key for Tamil Nadu and Country development. False statements/m  ","2018-07-26 06:48:37","FALSE","1","0","1","Employment","Tamil Nadu","India",TRUE
"25","TNOU Deputy Director Recruitment 2018 Tamil Nadu Open University Vacancies Notification @ ","2018-07-25 11:02:20","FALSE","0","0","0","Employment","Tamil Nadu","India",TRUE
"26","Like Tamil Nadu Premier League which is so exciting other states alsp must encourge state leagues in various. sport  ","2018-07-25 04:54:55","FALSE","0","0","0","Employment","Tamil Nadu","India",TRUE
"27","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-24 12:12:37","FALSE","0","0","1","Employment","Tamil Nadu","India",TRUE
"28","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-24 06:17:11","FALSE","1","0","1","Employment","Tamil Nadu","India",TRUE
"29","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-23 14:49:16","FALSE","0","0","1","Employment","Tamil Nadu","India",TRUE
"30","RT @BT_India: Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-23 13:26:40","TRUE","1","0","1","Employment","Tamil Nadu","India",TRUE
"31","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-23 13:19:21","FALSE","0","0","1","Employment","Tamil Nadu","India",TRUE
"32","Tamil Nadu, Karnataka, Maharashtra top 3 employment generating states for youngsters, says EPFO  ","2018-07-23 13:17:40","FALSE","1","6","0","Employment","Tamil Nadu","India",TRUE
"33","RT @RukminiPillai: How has this particular Government-NGO partnership  benefited persons w/schizophrenia &amp; serious mental illnesses housed","2018-07-23 12:06:12","TRUE","1","0","0","Employment","Tamil Nadu","India",TRUE
"34","RT @tanmayj41128048: No wonder,Church is bent upon driving away industries from its influence areas with help of Dravidian Luddites(Tamil N","2018-07-23 11:52:47","TRUE","1","0","0","Employment","Tamil Nadu","India",TRUE
"35","@arvindsudarshan @Karthikeyan_kp Hindi is not valid in Tamil Nadu. For Engineers who seek employment in Karnataka ,  ","2018-07-23 10:55:43","FALSE","0","0","0","Employment","Tamil Nadu","India",TRUE
"36","How has this particular Government-NGO partnership  benefited persons w/schizophrenia &amp; serious mental illnesses h  ","2018-07-23 10:23:02","FALSE","1","1","1","Employment","Tamil Nadu","India",TRUE
"37","No wonder,Church is bent upon driving away industries from its influence areas with help of Dravidian Luddites(Tami  ","2018-07-23 10:07:56","FALSE","1","1","0","Employment","Tamil Nadu","India",TRUE
