"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","Network marketer in Hosur, Tamil Nadu, India: patent, dr, head, branch, ware  ","2018-07-29 13:20:50","FALSE","0","0","-1","Employment","Tamil Nadu","India",FALSE
"2","RT @rajsan2017: I am for Modi in 2019 lot of unfinished job the entire lutiyeni darbar needs to destabilized.

 India is not just Lutiyens","2018-07-29 12:20:25","TRUE","4","0","-1","Employment","Tamil Nadu","India",FALSE
"3","[Job] Hiring for Civil jobs / Fresher &amp; Exp | Company: RJ Building Constructions | Location: Chennai TN Tamil Nadu  ","2018-07-29 09:52:54","FALSE","0","0","-1","Employment","Tamil Nadu","India",FALSE
"4","IT Helpdesk in Chennai, Tamil Nadu, India: helpdesk, remote  ","2018-07-29 09:20:36","FALSE","0","0","0","Employment","Tamil Nadu","India",FALSE
"5","Singapore CNC milling and Turning s pass in Tamil Nadu, India: cnc, milling  ","2018-07-29 07:40:33","FALSE","0","1","-1","Employment","Tamil Nadu","India",FALSE
"6","Administrator - NetSuite Cloud ERP: Denodo - Chennai, Tamil Nadu - You must be enthusiastic about customer service  ","2018-07-29 05:19:05","FALSE","0","0","3","Employment","Tamil Nadu","India",FALSE
"7","@tanvi_tanuja See  those policemen to trained by Tamil Nadu /Gujarat police....sorry to say this...Police in north  ","2018-07-29 04:08:33","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"8","RT @freejobsnews: NLC Recruitment - 765 Posts
Job Location - Tamil Nadu
Name of Posts - Fitter &amp; Other Posts
Last Date For Submission of Ap","2018-07-29 03:55:02","TRUE","6","0","1","Employment","Tamil Nadu","India",FALSE
"9","RT @freejobsnews: TN Police TNUSRB Recruitment - 309 Posts
Job Location - Tamil Nadu
Name of Posts - Sub-Inspector Police (Technical) Posts","2018-07-29 03:54:46","TRUE","4","0","0","Employment","Tamil Nadu","India",FALSE
"10","RT @freejobsnews: MRBTN Recruitment - 229 Posts
Job Location - Tamil Nadu
Name of Posts - Pharmacist (Siddha), Pharmacist (Unani), Pharmaci","2018-07-29 03:54:40","TRUE","4","0","1","Employment","Tamil Nadu","India",FALSE
"11","Tunnel Testing &amp; Commissioning Lead Engineer in Chennai, Tamil Nadu, India: commissioning, engineer  ","2018-07-29 02:45:27","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"12","RT @EngineersDay: [Job] Project Engineer - Substations | Company: ABB | Location: Chennai TN Tamil Nadu India | Chennai Industrial Engin","2018-07-29 01:13:41","TRUE","1","0","-2","Employment","Tamil Nadu","India",FALSE
"13","[Job] Project Engineer - Substations | Company: ABB | Location: Chennai TN Tamil Nadu India | Chennai Industrial  ","2018-07-29 00:02:50","FALSE","1","1","1","Employment","Tamil Nadu","India",FALSE
"14","[Job] Design Engineer (R&amp;D) | Company: zonetech solution pvt limited | Location: Old College Buildings TN Tamil Nad  ","2018-07-28 21:12:52","FALSE","0","0","0","Employment","Tamil Nadu","India",FALSE
"15","RT @rajsan2017: I am for Modi in 2019 lot of unfinished job the entire lutiyeni darbar needs to destabilized.

 India is not just Lutiyens","2018-07-28 20:08:29","TRUE","4","0","1","Employment","Tamil Nadu","India",TRUE
"16","RT @rajsan2017: I am for Modi in 2019 lot of unfinished job the entire lutiyeni darbar needs to destabilized.

 India is not just Lutiyens","2018-07-28 20:07:21","TRUE","4","0","1","Employment","Tamil Nadu","India",TRUE
"17","RT @rajsan2017: I am for Modi in 2019 lot of unfinished job the entire lutiyeni darbar needs to destabilized.

 India is not just Lutiyens","2018-07-28 19:33:10","TRUE","4","0","0","Employment","Tamil Nadu","India",TRUE
"18","I am for Modi in 2019 lot of unfinished job the entire lutiyeni darbar needs to destabilized.

 India is not just L  ","2018-07-28 19:13:28","FALSE","4","12","1","Employment","Tamil Nadu","India",FALSE
"19","@JustinTrudeau I have no support anyone in Tamil nadu government job. I am also like you passion life. More people  ","2018-07-28 17:55:36","FALSE","0","1","1","Employment","Tamil Nadu","India",FALSE
"20","Excel &amp; VBA Expert in Chennai, Tamil Nadu, India: vba, automation  ","2018-07-28 16:01:52","FALSE","0","0","0","Employment","Tamil Nadu","India",FALSE
"21","hiring for the of Maintenance Assembly Technician in Chennai, Tamil Nadu, India: plastic, molding  ","2018-07-28 15:11:48","FALSE","0","0","0","Employment","Tamil Nadu","India",FALSE
"22","Pharmacist in Palani in Palani, Tamil Nadu, India: pharmacist  ","2018-07-28 11:12:54","FALSE","0","1","1","Employment","Tamil Nadu","India",FALSE
"23","RT @EngineersDay: [Job] Manager - Maintenance | Company: Beissel Needles Ltd | Location: Chennai TN Tamil Nadu India | Chennai Building ","2018-07-28 11:10:38","TRUE","1","0","0","Employment","Tamil Nadu","India",FALSE
"24","[Job] Manager - Maintenance | Company: Beissel Needles Ltd | Location: Chennai TN Tamil Nadu India | Chennai  ","2018-07-28 11:02:57","FALSE","1","0","1","Employment","Tamil Nadu","India",FALSE
"25","BankBazaar hiring Assistant General Manager - Strategic Initiatives Chennai TamilNadu
Exp 4-6 yrs jobs
 ","2018-07-28 10:33:52","FALSE","0","0","0","Employment","Tamil Nadu","India",FALSE
"26","RT @BihariTechnical: @mvmeet @AshiQuotes Mass Conversion in Tamil Nadu is almost everywhere ,they organise function in big ground ,they bri","2018-07-28 07:46:41","TRUE","1","0","0","Employment","Tamil Nadu","India",FALSE
"27","Senior Mechanical Engineer: MEL Systems &amp; Services - Chennai, Tamil Nadu - Designing Mechanical jigs, components an  ","2018-07-28 06:47:08","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"28","Secretary to MD and President: MEL Systems &amp; Services - Chennai, Tamil Nadu - Graduate and has experience of around  ","2018-07-28 06:47:07","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"29","Voice Support for Corporate Bank, day Shifts: Jobsexpert - Chennai, Tamil Nadu - Top Bank in Chennai Position - Pho  ","2018-07-28 06:47:07","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"30","Urgent Opening for Asst. Manager- Marketing( Only Female Candidates): Bajaj Capital - Chennai, Tamil Nadu - Job Des  ","2018-07-28 06:47:06","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"31","Dot Net Developer ,MVC and Web services: Creative Hands HR Consultancy - Chennai, Tamil Nadu - Hiring for Dot Net k  ","2018-07-28 06:47:06","FALSE","0","0","1","Employment","Tamil Nadu","India",FALSE
"32","Manager - Software Engineering - Scrum Master: Fidelity Investments - Chennai, Tamil Nadu - Business Unit Overview  ","2018-07-28 06:47:05","FALSE","0","0","0","Employment","Tamil Nadu","India",FALSE
"33","PHONE BANKING OFFICER /INBOUND CUSTOMER SERVICE /INBOUND VOICE PROCESS: Jobsexpert - Chennai, Tamil Nadu - HELLO !  ","2018-07-28 06:47:05","FALSE","0","0","0","Employment","Tamil Nadu","India",FALSE
