"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 15:22:37","TRUE","42","0","-1","Employment","Uttar Pradesh","India",FALSE
"2","RT @RAJIV1959: Uber India is going to expand their operations in Uttar Pradesh by launching some of the new projects in Noida, Ghaziabad, L","2018-07-29 15:18:04","TRUE","20","0","-1","Employment","Uttar Pradesh","India",FALSE
"3","RT @RAJIV1959: Uber India is going to expand their operations in Uttar Pradesh by launching some of the new projects in Noida, Ghaziabad, L","2018-07-29 15:16:41","TRUE","20","0","-1","Employment","Uttar Pradesh","India",TRUE
"4","RT @RAJIV1959: Uber India is going to expand their operations in Uttar Pradesh by launching some of the new projects in Noida, Ghaziabad, L","2018-07-29 15:03:55","TRUE","20","0","0","Employment","Uttar Pradesh","India",TRUE
"5","RT @NaukriLatest: Vizag Steel Plant Jobs 2018: RINL, Visakhapatnam recruitment of 95 job vacancies of ITI and Engineering Diploma","2018-07-29 14:38:48","TRUE","1","0","-1","Employment","Uttar Pradesh","India",FALSE
"6","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 14:25:11","TRUE","42","0","3","Employment","Uttar Pradesh","India",TRUE
"7","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 14:22:51","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"8","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 14:20:20","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"9","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 13:39:41","TRUE","42","0","0","Employment","Uttar Pradesh","India",TRUE
"10","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 13:12:51","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"11","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 12:25:35","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"12","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 12:19:17","TRUE","42","0","-2","Employment","Uttar Pradesh","India",TRUE
"13","RT @deep78331423: @myogiadityanath @UPGovt @DrMNPandeyMP @drdineshbjp @kpmaurya1 @AmitShah sir kindly increase vacancies in uttar pradesh s","2018-07-29 12:16:07","TRUE","39","0","1","Employment","Uttar Pradesh","India",FALSE
"14","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 12:07:55","TRUE","42","0","0","Employment","Uttar Pradesh","India",TRUE
"15","RT @SalmanKhan_x: Gorakhpur Resources Ltd. is setting up a new Production Plant in Gorakhpur, Uttar Pradesh and the project will generate e","2018-07-29 11:25:07","TRUE","1","0","1","Employment","Uttar Pradesh","India",FALSE
"16","RT @SalmanKhan_x: INOX Air Products Pvt Ltd is one of the top manufacturer of Medical Oxygen and Industrial Gases, is setting up an Air Sep","2018-07-29 11:22:51","TRUE","1","0","1","Employment","Uttar Pradesh","India",FALSE
"17","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 11:14:29","TRUE","42","0","0","Employment","Uttar Pradesh","India",TRUE
"18","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 11:10:27","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"19","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 11:03:29","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"20","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 11:00:45","TRUE","42","0","0","Employment","Uttar Pradesh","India",TRUE
"21","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 10:59:31","TRUE","42","0","0","Employment","Uttar Pradesh","India",TRUE
"22","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 10:57:23","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"23","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 10:52:44","TRUE","42","0","0","Employment","Uttar Pradesh","India",TRUE
"24","RT @thara_gopalan: Uber India will expand operations in Uttar Pradesh with launch of new projects in Noida, Ghaziabad, Lucknow and Kanpur g","2018-07-29 10:50:56","TRUE","10","0","1","Employment","Uttar Pradesh","India",FALSE
"25","RT @thara_gopalan: Uber India will expand operations in Uttar Pradesh with launch of new projects in Noida, Ghaziabad, Lucknow and Kanpur g","2018-07-29 10:46:43","TRUE","10","0","0","Employment","Uttar Pradesh","India",TRUE
"26","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 10:46:13","TRUE","42","0","0","Employment","Uttar Pradesh","India",TRUE
"27","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 10:45:13","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"28","RT @RAJIV1959: Uber India is going to expand their operations in Uttar Pradesh by launching some of the new projects in Noida, Ghaziabad, L","2018-07-29 10:44:59","TRUE","20","0","1","Employment","Uttar Pradesh","India",TRUE
"29","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 10:39:31","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"30","RT @YashVOnline: Uttar pradesh is developing as state in the government of CM yogi ji
Great vision and great work
Gorakhpur Resources Ltd.","2018-07-29 10:25:08","TRUE","5","0","1","Employment","Uttar Pradesh","India",FALSE
"31","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 10:21:35","TRUE","42","0","1","Employment","Uttar Pradesh","India",TRUE
"32","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 10:20:24","TRUE","42","0","0","Employment","Uttar Pradesh","India",TRUE
"33","RT @SharmaKhemchand: UPToNewIndia
60 thousand crore investment is coming in Uttar Pradesh!
1. 81 different kind of initiatives for better","2018-07-29 10:13:55","TRUE","42","0","0","Employment","Uttar Pradesh","India",TRUE
