"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","I've just posted a new blog:         ","2018-07-29 09:48:37","FALSE","0","0","-1","Employment","West Bengal","India",FALSE
"2","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-29 09:19:25","FALSE","0","0","-1","Employment","West Bengal","India",FALSE
"3","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-29 09:16:00","FALSE","0","0","-1","Employment","West Bengal","India",TRUE
"4","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-29 09:15:56","FALSE","0","0","0","Employment","West Bengal","India",TRUE
"5","RT @kavita_tewari: Who killed west bengal .No industry ..No job ..Only political murder ...Ans ...Lal chaddi commie Jyoti Basu .  ","2018-07-29 06:25:07","TRUE","6","0","-1","Employment","West Bengal","India",FALSE
"6","RT @kavita_tewari: Who killed west bengal .No industry ..No job ..Only political murder ...Ans ...Lal chaddi commie Jyoti Basu .  ","2018-07-29 06:19:59","TRUE","6","0","3","Employment","West Bengal","India",TRUE
"7","RT @kavita_tewari: Who killed west bengal .No industry ..No job ..Only political murder ...Ans ...Lal chaddi commie Jyoti Basu .  ","2018-07-29 06:16:19","TRUE","6","0","1","Employment","West Bengal","India",TRUE
"8","RT @kavita_tewari: Who killed west bengal .No industry ..No job ..Only political murder ...Ans ...Lal chaddi commie Jyoti Basu .  ","2018-07-29 06:16:09","TRUE","6","0","1","Employment","West Bengal","India",TRUE
"9","RT @kavita_tewari: Who killed west bengal .No industry ..No job ..Only political murder ...Ans ...Lal chaddi commie Jyoti Basu .  ","2018-07-29 06:14:43","TRUE","6","0","0","Employment","West Bengal","India",TRUE
"10","Who killed west bengal .No industry ..No job ..Only political murder ...Ans ...Lal chaddi commie Jyoti Basu .  ","2018-07-29 06:14:14","FALSE","6","4","1","Employment","West Bengal","India",FALSE
"11","Agency Manager || Life Insurance || Kolkata , Guwahati: Mount Talent Consulting - Kolkata, West Bengal - Guwahati,  ","2018-07-29 04:59:04","FALSE","0","0","1","Employment","West Bengal","India",FALSE
"12","Some panchayat level leaders of your party has become  ""crorepoti"" by exploiting job seeking unemployed youths of West Bengal !","2018-07-29 04:25:38","FALSE","0","0","-2","Employment","West Bengal","India",FALSE
"13","Quantity Surveyor in Kolkata, West Bengal, India: civil, surveyor, civil engineering  ","2018-07-29 00:05:15","FALSE","0","0","1","Employment","West Bengal","India",FALSE
"14","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-28 19:05:24","FALSE","0","0","0","Employment","West Bengal","India",TRUE
"15","Anup Kar lives in Cooch Behar, West Bengal, India. By education he is a Civil Engineer, doing government job posted  ","2018-07-28 19:05:20","FALSE","0","0","1","Employment","West Bengal","India",TRUE
"16","Mechanical project engineer require in Kolkata, West Bengal, India: project engineer, engineer  ","2018-07-28 17:52:00","FALSE","0","0","1","Employment","West Bengal","India",FALSE
"17","Hiring fresher and experience CCE for Day and Night in Kolkata, West Bengal, India: cce, voice, fixed  ","2018-07-28 17:31:58","FALSE","0","0","0","Employment","West Bengal","India",FALSE
"18","CsE-Customer Service Executive in Baranagar, West Bengal, India: bpo  ","2018-07-28 15:51:51","FALSE","0","0","1","Employment","West Bengal","India",FALSE
"19","RT @DDNewsLive: Ground Report: Job oriented training under Pradhan Mantri Kaushal Vikas Yojana
proved to be beneficial for youth in North D","2018-07-28 14:23:22","TRUE","20","0","1","Employment","West Bengal","India",FALSE
"20","Civil billing engineer for kolkata in Kolkata, West Bengal, India: civil, billing, engineer  ","2018-07-28 12:41:36","FALSE","0","1","0","Employment","West Bengal","India",FALSE
"21","lecturer job vacancy in pscwb west bengal  ","2018-07-28 12:35:34","FALSE","0","0","0","Employment","West Bengal","India",FALSE
"22"," ","2018-07-28 12:32:57","FALSE","0","0","1","Employment","West Bengal","India",FALSE
