"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 16:28:34","TRUE","92","0","-1","Employment","Andhra Pradesh","India",FALSE
"2","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 16:27:49","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"3","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 16:25:03","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"4","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 16:14:06","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"5","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 16:08:23","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"6","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 16:07:46","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"7","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 16:05:57","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"8","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 16:00:18","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"9","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 15:53:33","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"10","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 15:51:24","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"11","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 15:28:32","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"12","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 15:28:27","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"13","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 15:22:36","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"14","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 15:10:59","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"15","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 15:07:53","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"16","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 15:03:38","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"17","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 15:02:41","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"18","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 14:56:43","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"19","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 14:48:14","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"20","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 14:48:00","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
"21","RT @GVLNRAO: In my letter to the Chief Minister of Andhra Pradesh, I request him to stop indulging in ""Politics of Propaganda"" and instead","2018-07-28 14:46:45","TRUE","92","0","-1","Employment","Andhra Pradesh","India",TRUE
