,ttext,date,isretweet,retweetcount,favoritecount,score,product,state,country,duplicate,airline_sentiment
1,@captainshanky Isn't he the Andhra left arm seamer who bowled well? He did a great job against TN in the first match.,28/07/18 14:25,FALSE,0,0,2,Employment,Andhra Pradesh,India,FALSE,positive
2,[Job] Production Engineer | Company: Euromax International Pty Ltd | Location: Visakhapatnam AP Andhra Pradesh Indi  ,28/07/18 11:53,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
3, ,28/07/18 11:17,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
4,"Ad Posting Work-Part Time Job-Franchise Offer-Work, Anantapur, Andhra Pradesh ",28/07/18 10:59,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
5,"Regional Sales Manager: Yes Property Ventures Pvt. Ltd - Hyderabad, Telangana - Andhra Pradesh - Manage your client  ",28/07/18 6:57,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
6,"Genpact Hiring for Accounting Process || 27th July 2018: Genpact - Hyderabad, Telangana - Andhra Pradesh - Below ar  ",28/07/18 6:57,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
7,"iOS developer: ilabs enterprise services - Hyderabad, Telangana - Andhra Pradesh - Please find the below job descri  ",28/07/18 6:57,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
8,"Hiring For HR Executive, Hyderabad: Data Expert - Hyderabad, Telangana - Andhra Pradesh - Hiring For Hr Recruiter F  ",28/07/18 6:57,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
9,"Dispatch Executive: Chaitanya HR Consultancy - Hyderabad, Telangana - Andhra Pradesh - Inventory management Bulk &amp;  ",28/07/18 6:57,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
10,Adani hiring  ,28/07/18 6:57,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
11,"Warehouse Supervisor-Priority hiring: Chrisjac Recruitment Services - Shah Alam, Selangor - Machilipatnam, Andhra P  ",28/07/18 6:51,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
12,"Network Engineer: Atria Convergence Technologies Limited - Hyderabad, Telangana - Andhra Pradesh - Dear Candidate,  ",28/07/18 6:51,FALSE,0,0,-1,Employment,Andhra Pradesh,India,FALSE,negative
13,"Quality Voice Process - Customer Care - Calling - Customer Retention: Hyderabad, Telangana - Andhra Pradesh - ""Hi C  ",28/07/18 6:51,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
14,"Hiring for domestic flights- Cabin Crew, airhostess (female) call 7065341843: Hyderabad, Telangana - Andhra Pradesh  ",28/07/18 6:51,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
15,"Category Manager- F and V: Chaitanya HR Consultancy - Vijayawada, Andhra Pradesh - Execution of both Short term &amp; l  ",28/07/18 6:51,FALSE,0,0,0,Employment,Andhra Pradesh,India,FALSE,neutral
