"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @oddteapot: People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health facility","2018-07-28 17:36:21","TRUE","4","0","-1","Employment","Assam","India",FALSE
"2","Self-employment can solve joblessness: MLA of South Shillong Sanbor shullai
SelfEmploymentSchemes 
EducatingYouths  ","2018-07-28 10:29:43","FALSE","0","0","0","Employment","Assam","India",FALSE
"3","RT @oddteapot: People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health facility","2018-07-28 05:52:46","TRUE","4","0","-1","Employment","Assam","India",TRUE
"4","RT @oddteapot: People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health facility","2018-07-28 05:48:57","TRUE","4","0","-1","Employment","Assam","India",TRUE
"5","RT @oddteapot: People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health facility","2018-07-28 05:36:53","TRUE","4","0","-1","Employment","Assam","India",TRUE
"6","People who have never spoken up about 
1) flood,
2) lack of infrastructure, industry, education, employment, health  ","2018-07-28 05:16:17","FALSE","4","12","-1","Employment","Assam","India",FALSE
"7","@SuPriyoBabul Sir, If Govt.having absolute majoriity can't not take decision &amp; keep pending the issue for unending  ","2018-07-27 10:14:50","FALSE","0","0","-1","Employment","Assam","India",FALSE
"8","RT @official_dgar: Halflong Battalion of AssamRifles organised Juga-Jug meeting at Mahur, District Dima Hasao, Assam recently where 40 Gao","2018-07-26 16:59:07","TRUE","5","0","0","Employment","Assam","India",FALSE
"9","RT @official_dgar: Halflong Battalion of AssamRifles organised Juga-Jug meeting at Mahur, District Dima Hasao, Assam recently where 40 Gao","2018-07-26 16:57:18","TRUE","5","0","0","Employment","Assam","India",TRUE
"10","RT @official_dgar: Halflong Battalion of AssamRifles organised Juga-Jug meeting at Mahur, District Dima Hasao, Assam recently where 40 Gao","2018-07-26 16:04:48","TRUE","5","0","0","Employment","Assam","India",TRUE
"11","RT @official_dgar: Halflong Battalion of AssamRifles organised Juga-Jug meeting at Mahur, District Dima Hasao, Assam recently where 40 Gao","2018-07-26 15:47:34","TRUE","5","0","0","Employment","Assam","India",TRUE
"12","RT @official_dgar: Halflong Battalion of AssamRifles organised Juga-Jug meeting at Mahur, District Dima Hasao, Assam recently where 40 Gao","2018-07-26 15:33:07","TRUE","5","0","0","Employment","Assam","India",TRUE
"13","Halflong Battalion of AssamRifles organised Juga-Jug meeting at Mahur, District Dima Hasao, Assam recently where 4  ","2018-07-26 15:27:22","FALSE","5","49","0","Employment","Assam","India",FALSE
