"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","DidYouKnow that India recently became home to the world's first-ever thermalbatteryplant, located in Andhra Prad  ","2018-09-05 13:30:00","FALSE","0","1","0","Environment","Andhra Pradesh","India",FALSE
"2","RT @APStateEnergy: Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award.

Please go to  ","2018-09-05 13:25:29","TRUE","1","0","0","Environment","Andhra Pradesh","India",FALSE
"3","Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award.

Please go to  ","2018-09-05 13:23:28","FALSE","1","2","0","Environment","Andhra Pradesh","India",FALSE
"4","RT @APStateEnergy: Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award. 

Please go to  ","2018-09-05 13:12:26","TRUE","7","0","1","Environment","Andhra Pradesh","India",FALSE
"5","RT @APStateEnergy: Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award. 

Please go to  ","2018-09-05 13:08:17","TRUE","7","0","1","Environment","Andhra Pradesh","India",TRUE
"6","RT @APStateEnergy: Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award. 

Please go to  ","2018-09-05 12:44:04","TRUE","7","0","1","Environment","Andhra Pradesh","India",TRUE
"7","RT @APStateEnergy: Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award. 

Please go to  ","2018-09-05 12:23:55","TRUE","7","0","1","Environment","Andhra Pradesh","India",TRUE
"8","Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award. 

Please go to  ","2018-09-05 12:19:46","FALSE","0","1","1","Environment","Andhra Pradesh","India",FALSE
"9","RT @APStateEnergy: Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award. 

Please go to  ","2018-09-05 12:18:10","TRUE","1","0","1","Environment","Andhra Pradesh","India",TRUE
"10","Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award. 

Please go to  ","2018-09-05 12:14:49","FALSE","1","2","1","Environment","Andhra Pradesh","India",TRUE
"11","RT @APStateEnergy: Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award. 

Please go to  ","2018-09-05 12:12:58","TRUE","7","0","1","Environment","Andhra Pradesh","India",TRUE
"12","Andhra pradesh State Energy Conservation Mission(APSECM) has applied for Skoch Award. 

Please go to  ","2018-09-05 12:06:04","FALSE","7","7","1","Environment","Andhra Pradesh","India",TRUE
"13","Petrol will soon touch Rs 100, says Andhra Pradesh CM Chandrababu Naidu - ET EnergyWorld  ","2018-09-04 12:16:15","FALSE","0","0","0","Environment","Andhra Pradesh","India",FALSE
"14","ETEnergyworld | Petrol will soon touch Rs 100, says Andhra Pradesh CM Chandrababu Naidu  ","2018-09-04 12:00:28","FALSE","0","0","0","Environment","Andhra Pradesh","India",FALSE
"15","ETEnergyworld | Petrol will soon touch Rs 100, says Andhra Pradesh CM Chandrababu Naidu  ","2018-09-04 12:00:27","FALSE","0","0","0","Environment","Andhra Pradesh","India",TRUE
"16","Top Energy  Petrol will soon touch Rs 100, says Andhra Pradesh CM Chandrababu Naidu  ","2018-09-04 09:12:03","FALSE","0","0","1","Environment","Andhra Pradesh","India",FALSE
"17","The charging facility was commissioned in Simhadri in Vishakhapatnam district of Andhra Pradesh and has been design  ","2018-09-04 06:11:38","FALSE","0","1","0","Environment","Andhra Pradesh","India",FALSE
"18","RT @KenyanPenguin: @emutoro @WilliamKinai @Citizen_Alert1 @MboyaApollo @energy_ke Assam Power Distribution Company Limited (APDCL), Assam
A","2018-09-03 15:46:07","TRUE","1","0","-1","Environment","Andhra Pradesh","India",FALSE
"19","@emutoro @WilliamKinai @Citizen_Alert1 @MboyaApollo @energy_ke Assam Power Distribution Company Limited (APDCL), As  ","2018-09-03 15:34:34","FALSE","1","1","-1","Environment","Andhra Pradesh","India",FALSE
"20","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-09-03 04:30:59","TRUE","7","0","2","Environment","Andhra Pradesh","India",FALSE
"21","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-09-03 04:26:06","TRUE","7","0","2","Environment","Andhra Pradesh","India",TRUE
"22","RT @JaiTDP: Andhra Pradesh is No.1 in Energy Efficiency!
Give a battered and betrayed state like AP to a visionary Chief Minister like @ncb","2018-09-02 02:36:27","TRUE","52","0","2","Environment","Andhra Pradesh","India",FALSE
"23","RT @JaiTDP: Andhra Pradesh is No.1 in Energy Efficiency!
Give a battered and betrayed state like AP to a visionary Chief Minister like @ncb","2018-09-02 01:14:41","TRUE","52","0","2","Environment","Andhra Pradesh","India",TRUE
"24","@ncbn Andhra Pradesh    Power: 17 lakh smart meters in phased manner give only prepaid energy meter,save the man po  ","2018-09-01 03:02:13","FALSE","0","0","1","Environment","Andhra Pradesh","India",FALSE
"25","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-31 10:54:46","TRUE","25","0","0","Environment","Andhra Pradesh","India",FALSE
"26","RT @tdptrending: Suzlon Group, one of the leading firms in the renewable energy sector, plans to expand its base in Andhra Pradesh. Suzlon","2018-08-31 07:36:39","TRUE","38","0","1","Environment","Andhra Pradesh","India",FALSE
"27","RT @tdptrending: Suzlon Group, one of the leading firms in the renewable energy sector, plans to expand its base in Andhra Pradesh. Suzlon","2018-08-31 07:24:02","TRUE","38","0","1","Environment","Andhra Pradesh","India",TRUE
"28","RT @tdptrending: Suzlon Group, one of the leading firms in the renewable energy sector, plans to expand its base in Andhra Pradesh. Suzlon","2018-08-31 07:04:13","TRUE","38","0","1","Environment","Andhra Pradesh","India",TRUE
"29","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-31 06:54:25","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"30","RT @tdptrending: Suzlon Group, one of the leading firms in the renewable energy sector, plans to expand its base in Andhra Pradesh. Suzlon","2018-08-31 06:37:40","TRUE","38","0","1","Environment","Andhra Pradesh","India",TRUE
"31","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-08-31 05:10:44","TRUE","7","0","2","Environment","Andhra Pradesh","India",TRUE
"32","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-08-31 05:09:17","TRUE","7","0","2","Environment","Andhra Pradesh","India",TRUE
"33","RT @IndianOilcl: IndianOils alternative energy portfolio has grown to 202 MW as on date. This includes 168 MW of wind-power projects in Gu","2018-08-31 01:00:44","TRUE","8","0","0","Environment","Andhra Pradesh","India",FALSE
"34","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 22:45:40","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"35","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 17:53:17","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"36","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 16:29:51","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"37","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 16:13:55","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"38","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 13:40:25","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"39","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 10:57:44","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"40","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 09:48:20","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"41","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 08:05:53","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"42","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 06:58:53","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"43","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 06:58:13","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"44","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 05:11:35","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"45","RT @NITIAayog: AndhraPradesh has emerged the front-runner in the field of energy efficiency according to the States Energy Efficiency P","2018-08-30 03:51:39","TRUE","284","0","0","Environment","Andhra Pradesh","India",FALSE
"46","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 02:57:10","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"47","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-30 02:43:09","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"48","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-29 17:48:34","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"49","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-29 17:44:48","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"50","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-29 17:29:09","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"51","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-29 17:25:18","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"52","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-29 17:09:08","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"53","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-29 17:07:57","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"54","RT @TMGsolar: Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-29 17:07:27","TRUE","25","0","0","Environment","Andhra Pradesh","India",TRUE
"55","RT @IndianOilcl: IndianOils alternative energy portfolio has grown to 202 MW as on date. This includes 168 MW of wind-power projects in Gu","2018-08-29 16:11:17","TRUE","8","0","0","Environment","Andhra Pradesh","India",TRUE
"56","Two Andhra Pradesh villages to run completely on solar power:  ","2018-08-29 15:46:19","FALSE","25","34","0","Environment","Andhra Pradesh","India",FALSE
"57","RT @IndianOilcl: IndianOils alternative energy portfolio has grown to 202 MW as on date. This includes 168 MW of wind-power projects in Gu","2018-08-29 14:45:48","TRUE","8","0","0","Environment","Andhra Pradesh","India",TRUE
"58","RT @IndianOilcl: IndianOils alternative energy portfolio has grown to 202 MW as on date. This includes 168 MW of wind-power projects in Gu","2018-08-29 12:35:47","TRUE","8","0","0","Environment","Andhra Pradesh","India",TRUE
"59","RT @IndianOilcl: IndianOils alternative energy portfolio has grown to 202 MW as on date. This includes 168 MW of wind-power projects in Gu","2018-08-29 10:24:39","TRUE","8","0","0","Environment","Andhra Pradesh","India",TRUE
"60","RT @IndianOilcl: IndianOils alternative energy portfolio has grown to 202 MW as on date. This includes 168 MW of wind-power projects in Gu","2018-08-29 08:50:18","TRUE","8","0","0","Environment","Andhra Pradesh","India",TRUE
"61","RT @IndianOilcl: IndianOils alternative energy portfolio has grown to 202 MW as on date. This includes 168 MW of wind-power projects in Gu","2018-08-29 08:46:50","TRUE","8","0","0","Environment","Andhra Pradesh","India",TRUE
"62","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-08-29 08:12:45","TRUE","7","0","2","Environment","Andhra Pradesh","India",TRUE
"63","RT @IndianOilcl: IndianOils alternative energy portfolio has grown to 202 MW as on date. This includes 168 MW of wind-power projects in Gu","2018-08-29 07:08:46","TRUE","8","0","0","Environment","Andhra Pradesh","India",TRUE
