"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Assam Don Bosco Goes Green with Solar Energy: E-Pao  ","2018-09-05 06:31:00","FALSE","0","0","0","Environment","Assam","India",FALSE
"2","@narendramodi What if HE was not from Gujrat? When you gonna develop Assam I'm giving my full energy to the state w  ","2018-09-05 06:14:19","FALSE","0","0","0","Environment","Assam","India",FALSE
"3","RT @PamliDeka: Our energy team @AuroShashwat and @amaladvi trying to find a way to a healthcentre in Assam, will there be electricity in","2018-09-05 04:18:37","TRUE","1","0","0","Environment","Assam","India",FALSE
"4","RT @EINSolarEnergy: Assam Don Bosco Goes Green with Solar Energy  ","2018-09-05 04:10:43","TRUE","1","0","0","Environment","Assam","India",FALSE
"5","RT @EINEnergyNews: Assam Don Bosco Goes Green with Solar Energy  ","2018-09-05 04:10:36","TRUE","1","0","0","Environment","Assam","India",FALSE
"6","Assam Don Bosco Goes Green with Solar Energy  ","2018-09-05 04:00:58","FALSE","1","0","0","Environment","Assam","India",FALSE
"7","Assam Don Bosco Goes Green with Solar Energy  ","2018-09-05 04:00:32","FALSE","1","0","0","Environment","Assam","India",TRUE
"8","Assam Don Bosco Goes Green with Solar Energy  ","2018-09-05 04:00:31","FALSE","0","0","0","Environment","Assam","India",TRUE
"9","Assam Don Bosco University Goes Green with Solar Energy 
Date: September 4, 2018

Read full @  ","2018-09-05 03:09:32","FALSE","0","0","0","Environment","Assam","India",FALSE
"10","Our energy team @AuroShashwat and @amaladvi trying to find a way to a healthcentre in Assam, will there be  ","2018-09-05 02:50:50","FALSE","1","8","0","Environment","Assam","India",FALSE
"11","Phew the time &amp; energy the Indian Media is wasting time on a girls complaint and arrest. Pls do more on the floods  ","2018-09-04 12:51:51","FALSE","0","0","-2","Environment","Assam","India",FALSE
"12","RT @WRIEnergy: .@WRIIndia Energy team doing an energy assessment in Assam as part of our energyfordevelopment project @amaladvi @AuroShas","2018-09-04 06:54:56","TRUE","2","0","0","Environment","Assam","India",FALSE
"13",".@WRIIndia Energy team doing an energy assessment in Assam as part of our energyfordevelopment project @amaladvi  ","2018-09-04 05:08:03","FALSE","2","3","0","Environment","Assam","India",FALSE
"14","RT @BKalitaINC: Let us take a pledge to plant more tress, conserve water and use alternative energy. WorldEnvironmentDay2018 Assam  ","2018-09-04 05:00:03","TRUE","3","0","0","Environment","Assam","India",FALSE
"15","RT @KenyanPenguin: @emutoro @WilliamKinai @Citizen_Alert1 @MboyaApollo @energy_ke Assam Power Distribution Company Limited (APDCL), Assam
A","2018-09-03 15:46:07","TRUE","1","0","-1","Environment","Assam","India",FALSE
"16","@emutoro @WilliamKinai @Citizen_Alert1 @MboyaApollo @energy_ke Assam Power Distribution Company Limited (APDCL), As  ","2018-09-03 15:34:34","FALSE","1","1","-1","Environment","Assam","India",FALSE
"17","RT @BKalitaINC: Let us take a pledge to plant more tress, conserve water and use alternative energy. WorldEnvironmentDay2018 Assam  ","2018-09-03 11:16:19","TRUE","3","0","0","Environment","Assam","India",TRUE
"18","RT @RajKSinghIndia: Since Ujala Scheme was launched in January 2015, it has been illuminating the lives of people across the nation. In Ass","2018-09-03 05:11:52","TRUE","37","0","1","Environment","Assam","India",FALSE
"19","RT @radhikasan: With more than 200 animals dying every year in the Assam floods this story becomes especially heartwarming. By @MrSamratX a","2018-09-02 15:01:00","TRUE","1","0","0","Environment","Assam","India",FALSE
"20","With more than 200 animals dying every year in the Assam floods this story becomes especially heartwarming. By  ","2018-09-02 14:35:36","FALSE","1","6","0","Environment","Assam","India",FALSE
"21","RT @siddsa: Orphan Elephant calves cry if left alone... 
Brilliant story on animal orphanage in Kaziranga Assam. India Nature
 ","2018-09-02 12:52:18","TRUE","1","0","-1","Environment","Assam","India",FALSE
