"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Delhi, UP, Bihar may face power disruption due to coal shortage: Report  ","2018-09-04 16:31:31","FALSE","0","0","-2","Environment","Bihar","India",FALSE
"2","Mamata Didi - Rather using your energy and brains to prepare startegy for Fall of 'Modi Govt.'
Better focus on deli  ","2018-09-04 13:20:09","FALSE","20","27","-1","Environment","Bihar","India",FALSE
"3","@NitishKumar : Sir Apne Jitna System,Energy &amp; Revenue Wine ban karne me Lagaya,Itna System,Energy &amp; Revenue Bihar K  ","2018-09-04 10:11:54","FALSE","0","0","0","Environment","Bihar","India",FALSE
"4","From renewable energy to organic farming, here are 15 Indian villages that have walked the talk and are shining exa  ","2018-09-04 09:33:57","FALSE","0","3","0","Environment","Bihar","India",FALSE
"5","Infralinespeaks: Process of drafting new tariff plan starts
power Bihar Energy
For more info:  ","2018-09-04 08:27:42","FALSE","0","0","0","Environment","Bihar","India",FALSE
"6","Delhi, UP, Bihar may face power disruption due to coal shortage: Report..  ","2018-09-04 07:32:12","FALSE","0","0","-2","Environment","Bihar","India",FALSE
"7","Delhi, UP, Bihar may face power disruption due to coal shortage: Report  ","2018-09-04 07:21:12","FALSE","0","0","-2","Environment","Bihar","India",TRUE
"8","Delhi, UP, Bihar may face power disruption due to coal shortage: Report  ","2018-09-04 07:18:30","FALSE","0","1","-2","Environment","Bihar","India",TRUE
"9","    -        ,  
BiharNews  ","2018-09-03 15:00:07","FALSE","0","0","0","Environment","Bihar","India",FALSE
"10","Warm Birthday greetings to Law and IT Union Minister Hon. Shri @rsprasad ji 
Wishes for your good health and more  ","2018-08-30 10:33:05","FALSE","0","3","2","Environment","Bihar","India",FALSE
"11","@sardesairajdeep For promoting ur book you are found to be compromising. In Bihar, recently, you chose to say kinde  ","2018-08-28 09:35:20","FALSE","0","0","0","Environment","Bihar","India",FALSE
"12","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-27 02:20:19","TRUE","24","0","0","Environment","Bihar","India",FALSE
"13","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 13:34:40","TRUE","24","0","0","Environment","Bihar","India",TRUE
"14","Whats interesting about Bihar is that, despite being worse hit by EnergyAssessibility and EnergyCrisis, it stil  ","2018-08-26 13:14:10","FALSE","0","3","0","Environment","Bihar","India",FALSE
"15","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 12:45:16","TRUE","24","0","0","Environment","Bihar","India",TRUE
"16","PTC India begins supply of 126 MW wind energy to UP, Bihar, Jharkhand, Odisha: EV Wind  ","2018-08-26 10:29:56","FALSE","0","0","0","Environment","Bihar","India",FALSE
"17","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 09:44:26","TRUE","24","0","0","Environment","Bihar","India",TRUE
"18","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 08:34:51","TRUE","24","0","0","Environment","Bihar","India",TRUE
"19","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 06:03:05","TRUE","24","0","0","Environment","Bihar","India",TRUE
"20","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 06:02:39","TRUE","24","0","0","Environment","Bihar","India",TRUE
"21","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 05:36:42","TRUE","24","0","0","Environment","Bihar","India",TRUE
"22","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 05:11:00","TRUE","24","0","0","Environment","Bihar","India",TRUE
"23","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 05:10:08","TRUE","24","0","0","Environment","Bihar","India",TRUE
"24","RT @c_aashish: India commissions first wind project connected to inter-state transmission system benefiting Bihar, Odisha, Jharkhand and UP","2018-08-26 04:25:44","TRUE","24","0","0","Environment","Bihar","India",TRUE
