"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @Moulshri3: @Tamseel_h @misskaul @vimlendu @kanchikohli @Jasmine441 @LetMeBreathe_In @TwitterIndia @suchamojo_ @MukerjeePolash @prarthan","2018-09-04 04:24:37","TRUE","1","0","0","Environment","Delhi","India",FALSE
"2","@Tamseel_h @misskaul @vimlendu @kanchikohli @Jasmine441 @LetMeBreathe_In @TwitterIndia @suchamojo_ @MukerjeePolash  ","2018-09-04 03:06:30","FALSE","1","4","0","Environment","Delhi","India",FALSE
"3","RT @IndiaToday: A CPCB report from 2017 says Delhi produces 408.27 tonnes of plastic waste per day, which is 10.14 per cent of its total mu","2018-09-03 06:54:01","TRUE","5","0","-1","Environment","Delhi","India",FALSE
"4","RT @IndiaToday: A CPCB report from 2017 says Delhi produces 408.27 tonnes of plastic waste per day, which is 10.14 per cent of its total mu","2018-09-03 03:48:47","TRUE","5","0","-1","Environment","Delhi","India",TRUE
"5","RT @IndiaToday: A CPCB report from 2017 says Delhi produces 408.27 tonnes of plastic waste per day, which is 10.14 per cent of its total mu","2018-09-03 03:38:03","TRUE","5","0","-1","Environment","Delhi","India",TRUE
"6","A CPCB report from 2017 says Delhi produces 408.27 tonnes of plastic waste per day, which is 10.14 per cent of its  ","2018-09-03 03:37:32","FALSE","5","12","-1","Environment","Delhi","India",FALSE
"7","RT @skashamahajan: @PMOIndia @drharshvardhan @cmohry @arunjaitley @ManojTiwariMP @htTweets @JPNadda Plans,vehicles,tpt,funds,manpower suffi","2018-09-02 04:22:25","TRUE","1","0","0","Environment","Delhi","India",FALSE
"8","@PMOIndia @drharshvardhan @cmohry @arunjaitley @ManojTiwariMP @htTweets @JPNadda Plans,vehicles,tpt,funds,manpower  ","2018-09-02 04:19:04","FALSE","1","1","0","Environment","Delhi","India",FALSE
"9","Delhi's Ghazipur landfill just 8 metres shorter than Qutub Minar.
A solid waste management an that troubles even th  ","2018-09-01 17:12:13","FALSE","0","0","-1","Environment","Delhi","India",FALSE
"10","RT @s_navroop: Delhi mein Solid Waste Management waise bhi gazab hai MCDs ka.. From Ghazipur to Azadpur landfill ","2018-09-01 14:52:08","TRUE","1","0","0","Environment","Delhi","India",FALSE
"11","@MirrorNow @kriskavita  ","2018-09-01 14:47:03","FALSE","0","1","0","Environment","Delhi","India",FALSE
"12","RT @s_navroop: This Order came from SC coz despite repeated reminder very few states in India have solid waste managment policies. Santitat","2018-09-01 13:12:09","TRUE","5","0","0","Environment","Delhi","India",FALSE
"13","RT @s_navroop: This Order came from SC coz despite repeated reminder very few states in India have solid waste managment policies. Santitat","2018-09-01 12:03:18","TRUE","5","0","0","Environment","Delhi","India",TRUE
"14","RT @India_Policy: Can you effing believe it? Supreme Court stays all construction activity across India, pending Solid Waste Management Pol","2018-09-01 11:44:03","TRUE","39","0","1","Environment","Delhi","India",FALSE
"15","RT @s_navroop: This Order came from SC coz despite repeated reminder very few states in India have solid waste managment policies. Santitat","2018-09-01 11:43:46","TRUE","5","0","0","Environment","Delhi","India",TRUE
"16","RT @s_navroop: This Order came from SC coz despite repeated reminder very few states in India have solid waste managment policies. Santitat","2018-09-01 11:41:18","TRUE","5","0","0","Environment","Delhi","India",TRUE
"17","RT @s_navroop: This Order came from SC coz despite repeated reminder very few states in India have solid waste managment policies. Santitat","2018-09-01 11:34:12","TRUE","5","0","0","Environment","Delhi","India",TRUE
"18","This Order came from SC coz despite repeated reminder very few states in India have solid waste managment policies.  ","2018-09-01 10:26:54","FALSE","5","12","0","Environment","Delhi","India",FALSE
"19","Delhi mein Solid Waste Management waise bhi gazab hai MCDs ka.. From Ghazipur to Azadpur landfill ","2018-09-01 10:21:43","FALSE","1","2","0","Environment","Delhi","India",FALSE
"20","@MirrorNow  ","2018-09-01 05:20:15","FALSE","0","0","0","Environment","Delhi","India",FALSE
"21","Major finding: The Committee noted that the existing capacity of the government of Delhi to treat municipal solid w  ","2018-08-31 11:15:13","FALSE","0","2","1","Environment","Delhi","India",FALSE
"22","RT @skashamahajan: @rashtrapatibhvn @Narendramodi_PM @drharshvardhan @cmohry @htTweets 4&amp;1/2 yrs PM Modi NDA govt.Dangerous solid waste dum","2018-08-31 10:10:54","TRUE","1","0","0","Environment","Delhi","India",FALSE
"23","@rashtrapatibhvn @Narendramodi_PM @drharshvardhan @cmohry @htTweets 4&amp;1/2 yrs PM Modi NDA govt.Dangerous solid wast  ","2018-08-31 10:09:59","FALSE","1","1","1","Environment","Delhi","India",FALSE
"24","Problem of solid waste management in Delhi is going to worsen going fw. Municipalities are not even able to collect  ","2018-08-31 03:25:24","FALSE","1","7","-2","Environment","Delhi","India",FALSE
"25","Delhi: Panel on solid waste management should meet every working day for first two weeks, says SC  ","2018-08-30 10:02:23","FALSE","0","0","0","Environment","Delhi","India",FALSE
"26","@LtGovDelhi In the meeting for solid waste disposal discussion please include all departments of Delhi ndmc MCD  ","2018-08-30 04:18:02","FALSE","0","0","0","Environment","Delhi","India",FALSE
"27","RT @scroll_in: The top court rejected the committee's proposal to meet twice a week.

 ","2018-08-29 18:38:57","TRUE","2","0","0","Environment","Delhi","India",FALSE
"28","The top court rejected the committee's proposal to meet twice a week.

 ","2018-08-29 16:18:06","FALSE","2","1","0","Environment","Delhi","India",FALSE
"29","Wastepickers play a critical role in managing solid waste in Delhi. 

Their role in the citys waste management s  ","2018-08-29 15:35:12","FALSE","0","1","-2","Environment","Delhi","India",FALSE
"30","RT @swatissambyal: Byelaws for solid waste management was the first step, the next would have been a mix of behaviour change and creating s","2018-08-29 01:25:28","TRUE","3","0","0","Environment","Delhi","India",FALSE
"31","RT @ErikSolheim: As our cities continue to legislate to BeatPlasticPollution so important to monitor progress. Great news from Maharashtra","2018-08-28 23:55:47","TRUE","211","0","3","Environment","Delhi","India",FALSE
"32","RT @ChintanIndia: Latest on solid waste management crisis in Delhi- LG to set up an expert committee frame implementable solutions

 ","2018-08-28 12:50:20","TRUE","1","0","-1","Environment","Delhi","India",FALSE
"33","Latest on solid waste management crisis in Delhi- LG to set up an expert committee frame implementable solutions

 ","2018-08-28 08:36:46","FALSE","1","4","-1","Environment","Delhi","India",FALSE
"34","Solid waste management: Expert committee will be set up, LG tells SC  ","2018-08-28 04:08:12","FALSE","0","1","0","Environment","Delhi","India",FALSE
"35","RT @AnilParashar21: Solid waste management: Expert committee will be set up, LG tells SC - Times of India  ","2018-08-28 01:45:52","TRUE","1","0","0","Environment","Delhi","India",FALSE
"36","""Solid waste management: Expert committee will be set up, LG tells SC - Times of India""  ","2018-08-28 01:35:20","FALSE","0","1","0","Environment","Delhi","India",FALSE
"37","Panel on solid waste management issue will be set up: L-G ..  ","2018-08-27 22:29:41","FALSE","0","0","-1","Environment","Delhi","India",FALSE
"38","RT @aarceegoyal: @ArvindKejriwal What is the plan of Delhi Government to regulate depleting ground water in Delhi? There are lakhs of borew","2018-08-27 15:46:37","TRUE","1","0","0","Environment","Delhi","India",FALSE
"39","@ArvindKejriwal What is the plan of Delhi Government to regulate depleting ground water in Delhi? There are lakhs o  ","2018-08-27 15:28:36","FALSE","1","0","0","Environment","Delhi","India",FALSE
"40","""Solid waste management: Expert committee will be set up, LG tells SC - Times of India""  ","2018-08-27 14:40:08","FALSE","0","0","0","Environment","Delhi","India",TRUE
"41","RT @swatissambyal: Byelaws for solid waste management was the first step, the next would have been a mix of behaviour change and creating s","2018-08-27 14:05:59","TRUE","3","0","0","Environment","Delhi","India",TRUE
"42","Solid waste management: Expert committee will be set up, LG tells SC - Times of India  ","2018-08-27 13:43:56","FALSE","1","3","0","Environment","Delhi","India",FALSE
"43","RT @timesofindia: Solid waste management: Expert committee will be set up, LG tells SC  ","2018-08-27 13:38:25","TRUE","3","0","0","Environment","Delhi","India",FALSE
"44","RT @timesofindia: Solid waste management: Expert committee will be set up, LG tells SC  ","2018-08-27 13:38:06","TRUE","3","0","0","Environment","Delhi","India",TRUE
"45","RT @timesofindia: Solid waste management: Expert committee will be set up, LG tells SC  ","2018-08-27 13:37:02","TRUE","3","0","0","Environment","Delhi","India",TRUE
"46","Solid waste management: Expert committee will be set up, LG tells SC  ","2018-08-27 13:35:00","FALSE","3","23","0","Environment","Delhi","India",TRUE
"47","The Lieutenant Governor (LG) of Delhi today informed the SupremeCourt that an experts committee would be constitut  ","2018-08-27 13:01:51","FALSE","0","0","0","Environment","Delhi","India",FALSE
"48","Solid waste management: Expert committee will be set up, LG tells SC  ","2018-08-27 12:56:11","FALSE","0","0","0","Environment","Delhi","India",TRUE
"49","Solid waste management: Expert committee will be set up, LG tells SC  ","2018-08-27 12:55:02","FALSE","0","0","0","Environment","Delhi","India",TRUE
"50","RT @swatissambyal: Byelaws for solid waste management was the first step, the next would have been a mix of behaviour change and creating s","2018-08-27 10:19:10","TRUE","3","0","0","Environment","Delhi","India",TRUE
"51","Byelaws for solid waste management was the first step, the next would have been a mix of behaviour change and creat  ","2018-08-27 10:12:04","FALSE","3","13","0","Environment","Delhi","India",FALSE
"52","RT @SpwdWastelands: delhi sits on a garbage bomb with about 46 percent of municipal solid waste left unprocessed  ","2018-08-26 20:13:05","TRUE","21","0","-2","Environment","Delhi","India",FALSE
