"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @DDNewsLive: Historic day for the country's aviation and energy sector as India's first Biofuel-powered flight lands in Delhi, coverin","2018-09-05 13:44:29","TRUE","1291","0","0","Environment","Delhi","India",FALSE
"2","It was a massive challenge to figure out what the most crucial and compelling energy/climate issues were in the fiv  ","2018-09-05 13:43:41","FALSE","0","0","-1","Environment","Delhi","India",FALSE
"3","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 13:40:30","TRUE","71","0","4","Environment","Delhi","India",FALSE
"4","RT @DDNewsLive: Historic day for the country's aviation and energy sector as India's first Biofuel-powered flight lands in Delhi, coverin","2018-09-05 13:39:01","TRUE","1291","0","0","Environment","Delhi","India",TRUE
"5","RT cutscitee ""RT Psm_cuts: RT samir_cuts: ElectricVehicle Trial run for GreenBuses to begin from next month in  ","2018-09-05 13:34:07","FALSE","0","0","0","Environment","Delhi","India",FALSE
"6","RT @Psm_cuts: RT @samir_cuts: ElectricVehicle Trial run for GreenBuses to begin from next month in Delhi  ","2018-09-05 13:33:41","FALSE","0","0","0","Environment","Delhi","India",FALSE
"7","The best high-energy, fitness_classes along with dance_classes_in_South_Delhi, you can take, to help make getting  ","2018-09-05 13:28:25","FALSE","0","0","1","Environment","Delhi","India",FALSE
"8","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 13:28:07","TRUE","118","0","1","Environment","Delhi","India",FALSE
"9","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 13:27:30","TRUE","118","0","1","Environment","Delhi","India",TRUE
"10","RT @AlokMaurya_: @AsmitaTheatre performed most powerful play SwadeshDeepak's Court Martial at Delhi International School, Dwarka. Show was","2018-09-05 13:21:21","TRUE","3","0","1","Environment","Delhi","India",FALSE
"11","RT @sharmanagendar: Delhi backs incentives for clean energy switch to combat pollution | Reuters  ","2018-09-05 13:14:16","TRUE","27","0","1","Environment","Delhi","India",FALSE
"12","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 13:11:04","TRUE","5","0","0","Environment","Delhi","India",FALSE
"13","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 13:09:52","TRUE","5","0","0","Environment","Delhi","India",TRUE
"14","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 13:09:45","TRUE","118","0","1","Environment","Delhi","India",TRUE
"15","@_AjitTyagi @SanjayAzadSln You are just a Rajya sabha member from Delhi quota. Behaving like PM of India.  If you b  ","2018-09-05 13:05:18","FALSE","0","0","1","Environment","Delhi","India",FALSE
"16","Govt of NCT Delhi should ban all GM field trials in advance. Seeds are our future. 
 ","2018-09-05 13:04:48","FALSE","0","0","0","Environment","Delhi","India",FALSE
"17","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 13:04:35","TRUE","118","0","1","Environment","Delhi","India",TRUE
"18","Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 13:04:24","FALSE","0","0","1","Environment","Delhi","India",FALSE
"19","Where's the evidence Mr Kinnock? So you believe your friend Mrs May do you? She told us energy prices would be capp  ","2018-09-05 13:01:41","FALSE","1","0","0","Environment","Delhi","India",FALSE
"20","RT Psm_cuts ""RT samir_cuts: ElectricVehicle Trial run for GreenBuses to begin from next month in Delhi  ","2018-09-05 12:49:42","FALSE","0","0","0","Environment","Delhi","India",FALSE
"21","RT @eacrunden: ""The Delhi city government gave the go-ahead for financial incentives for restaurants switching to electric or gas tandoor o","2018-09-05 12:48:59","TRUE","2","0","0","Environment","Delhi","India",FALSE
"22","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 12:47:53","TRUE","118","0","1","Environment","Delhi","India",TRUE
"23","RT @samir_cuts: ElectricVehicle Trial run for GreenBuses to begin from next month in Delhi GreenMobility @CUTSCCIER @CUTSCITEE @Psm_cu","2018-09-05 12:47:50","TRUE","1","0","0","Environment","Delhi","India",FALSE
"24","""The Delhi city government gave the go-ahead for financial incentives for restaurants switching to electric or gas  ","2018-09-05 12:42:33","FALSE","2","2","0","Environment","Delhi","India",FALSE
"25","RT @MinOfCultureGoI: Illuminating HumayunsTomb to mimic and enhance the moonlight effect. HAVELLS India have installed the energy efficie","2018-09-05 12:42:14","TRUE","31","0","2","Environment","Delhi","India",FALSE
"26","RT @PIB_India: Union Minister @sureshpprabhu meets Schneider Electric Chairman to discuss regarding the Energy Management and Industrial Au","2018-09-05 12:33:41","TRUE","9","0","0","Environment","Delhi","India",FALSE
"27","OPINION: India needs 21st century 'highways' to transport energy, gas and power | ET EnergyWorld   ","2018-09-05 12:31:02","FALSE","0","0","0","Environment","Delhi","India",FALSE
"28","Theres a plug-free way to fill the world with electric vehicles | ET EnergyWorld   ","2018-09-05 12:28:30","FALSE","0","1","0","Environment","Delhi","India",FALSE
"29","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 12:20:42","TRUE","118","0","1","Environment","Delhi","India",TRUE
"30","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 12:05:32","TRUE","5","0","0","Environment","Delhi","India",TRUE
"31","RT @sharmanagendar: Delhi backs incentives for clean energy switch to combat pollution | Reuters  ","2018-09-05 12:00:44","TRUE","27","0","1","Environment","Delhi","India",TRUE
"32","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 11:59:27","TRUE","118","0","1","Environment","Delhi","India",TRUE
"33","RT @PIB_India: India to generate 100 GW solar energy by 2022:  Union Minister @sureshpprabhu while speaking at a function of International","2018-09-05 11:56:17","TRUE","49","0","0","Environment","Delhi","India",FALSE
"34","RT @WhatDesignCanDo:  YES - it's here! Today we launch the CleanEnergyChallenge in five cities around the world! We want your bright, bol","2018-09-05 11:55:04","TRUE","11","0","1","Environment","Delhi","India",FALSE
"35","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 11:50:45","TRUE","71","0","4","Environment","Delhi","India",TRUE
"36","Authorities in the Indian capital Delhi approved measures on Tuesday to encourage businesses to use clean energy a  ","2018-09-05 11:50:08","FALSE","0","1","2","Environment","Delhi","India",FALSE
"37","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 11:48:59","TRUE","118","0","1","Environment","Delhi","India",TRUE
"38","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 11:45:37","TRUE","5","0","0","Environment","Delhi","India",TRUE
"39","RT @MinOfCultureGoI: Illuminating HumayunsTomb to mimic and enhance the moonlight effect. HAVELLS India have installed the energy efficie","2018-09-05 11:27:01","TRUE","31","0","2","Environment","Delhi","India",TRUE
"40","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 11:20:27","TRUE","118","0","1","Environment","Delhi","India",TRUE
"41","RT @ShaktiFdn: An exemption on road tax of up to 100%, incentives to replace your old vehicle and charging stations across the city  the ","2018-09-05 11:06:55","TRUE","1","0","0","Environment","Delhi","India",FALSE
"42","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 11:02:50","TRUE","118","0","1","Environment","Delhi","India",TRUE
"43","RT @sharmanagendar: Delhi backs incentives for clean energy switch to combat pollution | Reuters  ","2018-09-05 10:59:15","TRUE","27","0","1","Environment","Delhi","India",TRUE
"44","RT @sharmanagendar: Delhi backs incentives for clean energy switch to combat pollution | Reuters  ","2018-09-05 10:57:38","TRUE","27","0","1","Environment","Delhi","India",TRUE
"45","MDoNER (I/C) PMs Office, Personnel, Public Grievances &amp; Pensions, Atomic Energy and Space Dr. Jitendra Singh addre  ","2018-09-05 10:51:35","FALSE","0","0","-1","Environment","Delhi","India",FALSE
"46","MDoNER (I/C) PMs Office, Personnel, Public Grievances &amp; Pensions, Atomic Energy and Space Dr. Jitendra Singh and t  ","2018-09-05 10:47:35","FALSE","0","0","-1","Environment","Delhi","India",FALSE
"47","RT @dtnewsonline: Newgen Participates as a Co-sponsor at 17th Annual Conference on IT &amp; OT in Power, New Delhi @newgensoftware 

 ","2018-09-05 10:45:14","TRUE","1","0","0","Environment","Delhi","India",FALSE
"48","RT @micnewdelhi: Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in New Del","2018-09-05 10:39:28","TRUE","5","0","0","Environment","Delhi","India",TRUE
"49","Energy Minister of Maharashtra Shri @cbawankule met Union Minister for Coal &amp; Railways, Shri @PiyushGoyal today in  ","2018-09-05 10:37:21","FALSE","5","10","0","Environment","Delhi","India",FALSE
"50","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 10:02:31","TRUE","118","0","1","Environment","Delhi","India",TRUE
"51","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 10:01:44","TRUE","118","0","1","Environment","Delhi","India",TRUE
"52","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 09:55:12","TRUE","118","0","1","Environment","Delhi","India",TRUE
"53","Events Coordinator/Communications Associate: Council on Energy, Environment and Water (CEEW), Delhi  ","2018-09-05 09:50:06","FALSE","0","1","0","Environment","Delhi","India",FALSE
"54","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 09:49:00","TRUE","71","0","4","Environment","Delhi","India",TRUE
"55","Delhi backs incentives for clean energy switch to combat pollution - Nature Khabar  ","2018-09-05 09:43:03","FALSE","0","1","1","Environment","Delhi","India",FALSE
"56","Newgen Participates as a Co-sponsor at 17th Annual Conference on IT &amp; OT in Power, New Delhi @newgensoftware  ","2018-09-05 09:28:05","FALSE","1","0","0","Environment","Delhi","India",FALSE
"57","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 09:25:15","TRUE","118","0","1","Environment","Delhi","India",TRUE
"58","Delhi backs incentives for clean energy switch to combat airpollution  ","2018-09-05 09:19:01","FALSE","0","1","1","Environment","Delhi","India",FALSE
"59","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 09:16:54","TRUE","71","0","4","Environment","Delhi","India",TRUE
"60","RT @AAPExpress: CM slams city police on 'fake' cases against AAP
 
 Kejriwal questioned a Delhi police meeting to analyse why cases agains","2018-09-05 08:55:16","TRUE","12","0","-1","Environment","Delhi","India",FALSE
"61","RT @AAPExpress: CM slams city police on 'fake' cases against AAP
 
 Kejriwal questioned a Delhi police meeting to analyse why cases agains","2018-09-05 08:37:50","TRUE","12","0","-1","Environment","Delhi","India",TRUE
"62","Accounts Executive 
Council on Energy, Environment and Water (CEEW) 
Delhi 
Apply:  ","2018-09-05 08:35:13","FALSE","0","0","0","Environment","Delhi","India",FALSE
"63","Delhi Backs Incentives for CleanEnergy Switch to Combat Pollution  ","2018-09-05 08:30:08","FALSE","0","0","0","Environment","Delhi","India",FALSE
"64","RT @CCTCInc: @CCTCInc management presenting today 9/5 in New Delhi with dev partner UofWY School of Energy Resources @EnergyUW at the 7th A","2018-09-05 08:27:22","TRUE","4","0","0","Environment","Delhi","India",FALSE
"65","RT @MinOfCultureGoI: Illuminating HumayunsTomb to mimic and enhance the moonlight effect. HAVELLS India have installed the energy efficie","2018-09-05 08:24:31","TRUE","31","0","2","Environment","Delhi","India",TRUE
"66","RT @CCTCInc: @CCTCInc management presenting today 9/5 in New Delhi with dev partner UofWY School of Energy Resources @EnergyUW at the 7th A","2018-09-05 08:22:21","TRUE","4","0","0","Environment","Delhi","India",TRUE
"67","Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 08:19:25","FALSE","0","0","1","Environment","Delhi","India",TRUE
"68","An exemption on road tax of up to 100%, incentives to replace your old vehicle and charging stations across the cit  ","2018-09-05 08:15:53","FALSE","1","9","0","Environment","Delhi","India",FALSE
"69","RT @WhatDesignCanDo:  YES - it's here! Today we launch the CleanEnergyChallenge in five cities around the world! We want your bright, bol","2018-09-05 08:14:01","TRUE","11","0","1","Environment","Delhi","India",TRUE
"70","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 08:13:02","TRUE","118","0","1","Environment","Delhi","India",TRUE
"71","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 08:07:35","TRUE","71","0","4","Environment","Delhi","India",TRUE
"72","""Delhi backs incentives for clean energy switch to combat pollution - Reuters""  ","2018-09-05 08:04:14","FALSE","0","0","1","Environment","Delhi","India",FALSE
"73","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 07:59:37","TRUE","71","0","4","Environment","Delhi","India",TRUE
"74","RT @MinOfCultureGoI: Illuminating HumayunsTomb to mimic and enhance the moonlight effect. HAVELLS India have installed the energy efficie","2018-09-05 07:57:37","TRUE","31","0","2","Environment","Delhi","India",TRUE
"75","RT @NITIAayog: The iconic Raisina Hill bears witness to the energy of the participating Cyclists as they along with the citizens of Delhi m","2018-09-05 07:53:47","TRUE","51","0","0","Environment","Delhi","India",FALSE
"76","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 07:51:00","TRUE","71","0","4","Environment","Delhi","India",TRUE
"77","RT @ReutersIndia: Delhi backs incentives for clean energy switch to combat pollution  ","2018-09-05 07:48:55","TRUE","118","0","1","Environment","Delhi","India",TRUE
"78","RT @WhatDesignCanDo:  YES - it's here! Today we launch the CleanEnergyChallenge in five cities around the world! We want your bright, bol","2018-09-05 07:47:22","TRUE","11","0","1","Environment","Delhi","India",TRUE
"79","RT @MinOfCultureGoI: Illuminating HumayunsTomb to mimic and enhance the moonlight effect. HAVELLS India have installed the energy efficie","2018-09-05 07:45:43","TRUE","31","0","2","Environment","Delhi","India",TRUE
"80","RT @PIB_India: India to generate 100 GW solar energy by 2022:  Union Minister @sureshpprabhu while speaking at a function of International","2018-09-05 07:34:55","TRUE","49","0","0","Environment","Delhi","India",TRUE
"81","RT @WhatDesignCanDo:  YES - it's here! Today we launch the CleanEnergyChallenge in five cities around the world! We want your bright, bol","2018-09-05 07:31:59","TRUE","11","0","1","Environment","Delhi","India",TRUE
"82","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 07:29:46","TRUE","71","0","4","Environment","Delhi","India",TRUE
"83","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 07:08:47","TRUE","71","0","4","Environment","Delhi","India",TRUE
"84","RT @MinOfCultureGoI: Illuminating HumayunsTomb to mimic and enhance the moonlight effect. HAVELLS India have installed the energy efficie","2018-09-05 07:07:23","TRUE","31","0","2","Environment","Delhi","India",TRUE
"85","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 07:04:37","TRUE","71","0","4","Environment","Delhi","India",TRUE
"86","Indias Delhi backs incentives for clean energy

 Authorities in the Indian capital Delhi approved measures on Tues  ","2018-09-05 07:02:21","FALSE","0","0","1","Environment","Delhi","India",FALSE
"87","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 07:01:46","TRUE","71","0","4","Environment","Delhi","India",TRUE
"88","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 06:59:56","TRUE","71","0","4","Environment","Delhi","India",TRUE
"89","Delhi backs incentives for clean energy switch to combat pollution

 ","2018-09-05 06:56:27","FALSE","0","0","1","Environment","Delhi","India",FALSE
"90","RT @amitabhk87: The recently Illuminated  Humayun's Tomb mimics and enhances the moonlight effect. The energy efficient LED lights on grand","2018-09-05 06:35:31","TRUE","71","0","4","Environment","Delhi","India",TRUE
"91","RT @WhatDesignCanDo:  YES - it's here! Today we launch the CleanEnergyChallenge in five cities around the world! We want your bright, bol","2018-09-05 06:31:15","TRUE","11","0","1","Environment","Delhi","India",TRUE
"92","How to deal with waste in Mxico City, move around in Sao Pulo, provide Nairobi with sustainable food, embed clean  ","2018-09-05 06:30:32","FALSE","0","0","1","Environment","Delhi","India",FALSE
"93","RT @AlokMaurya_: @AsmitaTheatre performed most powerful play SwadeshDeepak's Court Martial at Delhi International School, Dwarka. Show was","2018-09-05 06:27:33","TRUE","3","0","1","Environment","Delhi","India",TRUE
"94","RT @MinOfCultureGoI: Illuminating HumayunsTomb to mimic and enhance the moonlight effect. HAVELLS India have installed the energy efficie","2018-09-05 06:23:36","TRUE","31","0","2","Environment","Delhi","India",TRUE
"95","RT @MinOfCultureGoI: Illuminating HumayunsTomb to mimic and enhance the moonlight effect. HAVELLS India have installed the energy efficie","2018-09-05 06:23:35","TRUE","31","0","2","Environment","Delhi","India",TRUE
"96","Delhi govt backs incentives for clean energy switch to combat pollution..  ","2018-09-05 06:23:31","FALSE","0","0","1","Environment","Delhi","India",FALSE
