"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @AmdavadAMC: Today on occasion of TeachersDay a felicitation ceremony being organised to honor Best Teacher from Amdavad District, in p","2018-09-05 13:24:28","TRUE","2","0","2","Environment","Gujarat","India",FALSE
"2","RT @AmdavadAMC: Today on occasion of TeachersDay a felicitation ceremony being organised to honor Best Teacher from Amdavad District, in p","2018-09-05 13:20:57","TRUE","2","0","2","Environment","Gujarat","India",TRUE
"3","Today on occasion of TeachersDay a felicitation ceremony being organised to honor Best Teacher from Amdavad Distri  ","2018-09-05 13:20:47","FALSE","2","8","2","Environment","Gujarat","India",FALSE
"4","RT @HariSolankiBJP: The Pradhan Mantri Ujjwala Yojana (PMUY) revives the project in Gujarat with the EIL(Energy Infra(India)Ltd) bid CM @","2018-09-05 12:55:15","TRUE","43","0","1","Environment","Gujarat","India",FALSE
"5","Union Minister sureshpprabhu meets Schneider Electric Chairman to discuss regarding the Energy Management and Indus  ","2018-09-05 12:10:27","FALSE","0","2","0","Environment","Gujarat","India",FALSE
"6","RT @MBazilian: Next week @payneinstitute Fellow, and @coschoolofmines Prof. Agarwal will join a Colorado delegation led by @GovofCO's offic","2018-09-05 10:48:31","TRUE","3","0","1","Environment","Gujarat","India",FALSE
"7","          
 ","2018-09-05 09:27:20","FALSE","0","0","0","Environment","Gujarat","India",FALSE
"8","RT @PetroleumMin: Gujarat has connected 1.5 million households through PNG network : @saurabhpatelguj , Minister (Energy), Gujarat.
 ","2018-09-05 03:28:42","TRUE","51","0","0","Environment","Gujarat","India",FALSE
"9","RT @sonaliranade: Modi ji is on record in Gujarat claiming that the state would be floating on oil on the back oil discovered by GSPC.  Not","2018-09-05 02:35:40","TRUE","18","0","0","Environment","Gujarat","India",FALSE
"10","RT @geetv79: After Bailout, Gujarat State Petroleum Corporation Asks SBI For Fresh Loans to Refinance Debt incurred for ModiKGBasinScam

S","2018-09-05 02:00:45","TRUE","38","0","0","Environment","Gujarat","India",FALSE
"11","RT @MBazilian: Next week @payneinstitute Fellow, and @coschoolofmines Prof. Agarwal will join a Colorado delegation led by @GovofCO's offic","2018-09-04 20:35:53","TRUE","3","0","1","Environment","Gujarat","India",TRUE
"12","RT @mkvenu1: After Bailout, Gujarat State Petroleum Corporation Asks SBI For Fresh Loans to Refinance Debt  ","2018-09-04 17:21:55","TRUE","188","0","0","Environment","Gujarat","India",FALSE
"13","RT @mkvenu1: After Bailout, Gujarat State Petroleum Corporation Asks SBI For Fresh Loans to Refinance Debt  ","2018-09-04 17:18:26","TRUE","188","0","0","Environment","Gujarat","India",TRUE
"14","RT @PetroleumMin: Gujarat has connected 1.5 million households through PNG network : @saurabhpatelguj , Minister (Energy), Gujarat.
 ","2018-09-04 15:58:21","TRUE","51","0","0","Environment","Gujarat","India",TRUE
"15","RT @PetroleumMin: Gujarat has connected 1.5 million households through PNG network : @saurabhpatelguj , Minister (Energy), Gujarat.
 ","2018-09-04 15:45:50","TRUE","51","0","0","Environment","Gujarat","India",TRUE
"16","The statement of state energy minister Saurabh Patel signalled that the Gujarat government may blink first in this  ","2018-09-04 15:00:03","FALSE","0","1","0","Environment","Gujarat","India",FALSE
"17","@Dhaams @cris00552253 @dibyafoo @mvmeet Please get some more positive energy
 ","2018-09-04 13:01:59","FALSE","0","0","1","Environment","Gujarat","India",FALSE
"18","RT @reNEWS_: National Institute of Wind Energy in India has a tender issued calling for an offshore geotechnical i  ","2018-09-04 12:51:09","FALSE","0","0","1","Environment","Gujarat","India",FALSE
"19","RT @mkvenu1: After Bailout, Gujarat State Petroleum Corporation Asks SBI For Fresh Loans to Refinance Debt  ","2018-09-04 12:32:40","TRUE","188","0","0","Environment","Gujarat","India",TRUE
"20","RT @reNEWS_: National Institute of Wind Energy in India has a tender issued calling for an offshore geotechnical investigation off the coas","2018-09-04 12:16:14","TRUE","4","0","1","Environment","Gujarat","India",FALSE
"21","The company is towards its road to success with the vision of Energy conservation &amp; innovation. PanacheGreen  ","2018-09-04 12:03:52","FALSE","0","0","2","Environment","Gujarat","India",FALSE
"22","India to generate 100 GW solar energy by 2022:  Union Minister sureshpprabhu while speaking at a function of Intern  ","2018-09-04 12:01:16","FALSE","2","8","0","Environment","Gujarat","India",FALSE
"23","The optimum level of building insulation not only helps lower the monthly energy bills but also adds to the overall  ","2018-09-04 11:31:56","FALSE","0","0","0","Environment","Gujarat","India",FALSE
"24","Insulation in buildings has a potential to reduce overall energy consumption to an extent of 10-20%. Be Eco-friendl  ","2018-09-04 11:30:29","FALSE","0","0","0","Environment","Gujarat","India",FALSE
"25","The statement of state energy minister Saurabh Patel signalled that the Gujarat government may blink first in this  ","2018-09-04 11:12:29","FALSE","0","0","0","Environment","Gujarat","India",TRUE
"26","India's growth has increased our demand for energy conservation to a fight against drastic environmental changes, s  ","2018-09-04 11:00:28","FALSE","0","0","-1","Environment","Gujarat","India",FALSE
"27","RT @reNEWS_: National Institute of Wind Energy in India has a tender issued calling for an offshore geotechnical investigation off the coas","2018-09-04 10:58:57","TRUE","4","0","1","Environment","Gujarat","India",TRUE
"28","RT @reNEWS_: National Institute of Wind Energy in India has a tender issued calling for an offshore geotechnical investigation off the coas","2018-09-04 10:58:17","TRUE","4","0","1","Environment","Gujarat","India",TRUE
"29","National Institute of Wind Energy in India has a tender issued calling for an offshore geotechnical investigation o  ","2018-09-04 10:55:25","FALSE","4","0","1","Environment","Gujarat","India",FALSE
"30","India is a fast developing nation with an ever-growing need for energy. Be Eco-friendly and consume responsibly.  ","2018-09-04 10:54:34","FALSE","0","0","2","Environment","Gujarat","India",FALSE
"31","RT @sonaliranade: Modi ji is on record in Gujarat claiming that the state would be floating on oil on the back oil discovered by GSPC.  Not","2018-09-04 10:16:13","TRUE","18","0","0","Environment","Gujarat","India",TRUE
"32","RT @SmartHomes27: Out of 175 GW renewable energy that will be generated from 
7 types of Renewableenergy being generated in India, 5 GW of","2018-09-04 08:59:31","TRUE","5","0","0","Environment","Gujarat","India",FALSE
"33","RT @SmartHomes27: Out of 175 GW renewable energy that will be generated from 
7 types of Renewableenergy being generated in India, 5 GW of","2018-09-04 08:56:20","TRUE","5","0","0","Environment","Gujarat","India",TRUE
"34","RT @SmartHomes27: Out of 175 GW renewable energy that will be generated from 
7 types of Renewableenergy being generated in India, 5 GW of","2018-09-04 08:55:12","TRUE","5","0","0","Environment","Gujarat","India",TRUE
"35","RT @SmartHomes27: Out of 175 GW renewable energy that will be generated from 
7 types of Renewableenergy being generated in India, 5 GW of","2018-09-04 08:53:03","TRUE","5","0","0","Environment","Gujarat","India",TRUE
"36","RT @SmartHomes27: Out of 175 GW renewable energy that will be generated from 
7 types of Renewableenergy being generated in India, 5 GW of","2018-09-04 08:51:39","TRUE","5","0","0","Environment","Gujarat","India",TRUE
