"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @IndiaOnTrack: Congratulations to NBA Basketball School, The Millennium School, Karnal U-14 girls basketball team on winning the Inter-Z","2018-09-04 09:14:34","TRUE","1","0","2","Environment","Haryana","India",FALSE
"2","Congratulations to NBA Basketball School, The Millennium School, Karnal U-14 girls basketball team on winning the I  ","2018-09-04 08:37:05","FALSE","1","3","2","Environment","Haryana","India",FALSE
"3","RT @KenyanPenguin: @emutoro @WilliamKinai @Citizen_Alert1 @MboyaApollo @energy_ke Assam Power Distribution Company Limited (APDCL), Assam
A","2018-09-03 15:46:07","TRUE","1","0","-1","Environment","Haryana","India",FALSE
"4","@emutoro @WilliamKinai @Citizen_Alert1 @MboyaApollo @energy_ke Assam Power Distribution Company Limited (APDCL), As  ","2018-09-03 15:34:34","FALSE","1","1","-1","Environment","Haryana","India",FALSE
"5","RT @SchneiderESS: ALERT: Although India's Haryana region has been a relatively closed market for renewable energy, new incentives will enab","2018-09-03 12:30:10","TRUE","1","0","0","Environment","Haryana","India",FALSE
"6","ALERT: Although India's Haryana region has been a relatively closed market for renewable energy, new incentives wil  ","2018-09-03 12:30:01","FALSE","1","0","0","Environment","Haryana","India",FALSE
"7","RT @s_kaushik13: @bbhavyabishnoi @BhajanGlobal Proud moment for you &amp; @bishnoikuldeep Golden opportunity to explore your talent &amp; share you","2018-09-03 07:55:05","TRUE","2","0","3","Environment","Haryana","India",FALSE
"8","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-09-03 04:30:59","TRUE","7","0","2","Environment","Haryana","India",FALSE
"9","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-09-03 04:26:06","TRUE","7","0","2","Environment","Haryana","India",TRUE
"10","RT @s_kaushik13: @bbhavyabishnoi @BhajanGlobal Proud moment for you &amp; @bishnoikuldeep Golden opportunity to explore your talent &amp; share you","2018-09-03 03:40:37","TRUE","2","0","3","Environment","Haryana","India",TRUE
"11","@bbhavyabishnoi @BhajanGlobal Proud moment for you &amp; @bishnoikuldeep Golden opportunity to explore your talent &amp; sh  ","2018-09-02 18:44:44","FALSE","2","4","3","Environment","Haryana","India",FALSE
"12","@latha_venkatesh UDAY has been reasonable success. Discoms are cutting down losses, renewable energy is attracting  ","2018-09-01 06:05:25","FALSE","0","0","1","Environment","Haryana","India",FALSE
"13","A Perfect Energy Drink For Human
blacklion powerofblack mojitoenergydrink blacklionenergydrink energydrink  ","2018-08-31 05:25:31","FALSE","0","0","1","Environment","Haryana","India",FALSE
"14","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-08-31 05:10:44","TRUE","7","0","2","Environment","Haryana","India",TRUE
"15","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-08-31 05:09:17","TRUE","7","0","2","Environment","Haryana","India",TRUE
"16","RT @Ashokghanghas2: @bbhavyabishnoi Proud on Haryana and you. It was a blunder in 2014 but now all are realising to give the power to new e","2018-08-31 01:42:31","TRUE","1","0","0","Environment","Haryana","India",FALSE
"17","We are the one who can change the world. We are the light that can prevent the dark. We are the symbol of energy. W  ","2018-08-30 16:43:15","FALSE","0","1","-1","Environment","Haryana","India",FALSE
"18","@bbhavyabishnoi Proud on Haryana and you. It was a blunder in 2014 but now all are realising to give the power to n  ","2018-08-30 14:06:39","FALSE","1","4","0","Environment","Haryana","India",FALSE
"19","ETEnergyworld | US praises Haryana for curbing pollution  ","2018-08-29 18:30:40","FALSE","0","0","0","Environment","Haryana","India",FALSE
"20","ETEnergyworld | US praises Haryana for curbing pollution  ","2018-08-29 18:30:37","FALSE","0","0","0","Environment","Haryana","India",TRUE
"21","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-08-29 08:12:45","TRUE","7","0","2","Environment","Haryana","India",TRUE
"22","RT @Sudheerpalsingh: ETEnergyworld | Merino Group inaugurates Haryana's first open access solar plant  ","2018-08-29 05:08:57","TRUE","1","0","0","Environment","Haryana","India",FALSE
"23","RT @ETEnergyWorld: ETEnergyworld | Merino Group inaugurates Haryana's first open access solar plant  ","2018-08-29 05:08:52","TRUE","1","0","0","Environment","Haryana","India",FALSE
"24","ETEnergyworld | Merino Group inaugurates Haryana's first open access solar plant  ","2018-08-29 05:00:26","FALSE","1","1","0","Environment","Haryana","India",FALSE
"25","ETEnergyworld | Merino Group inaugurates Haryana's first open access solar plant  ","2018-08-29 05:00:23","FALSE","1","0","0","Environment","Haryana","India",TRUE
"26","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-08-28 06:36:37","TRUE","7","0","2","Environment","Haryana","India",TRUE
"27","RT @avaadaenergy: Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean energy d","2018-08-28 06:25:19","TRUE","7","0","2","Environment","Haryana","India",TRUE
"28","Uttar Pradesh, Haryana and Andhra Pradesh will lead in setting up solar projects which will be supplying clean  ","2018-08-28 06:21:55","FALSE","7","6","2","Environment","Haryana","India",FALSE
"29","RT @SchneiderESS: ALERT: The state of Haryana has announced new incentives that will enable C&amp;I buyers to access cost-competitive, Indian o","2018-08-28 00:01:54","TRUE","1","0","0","Environment","Haryana","India",FALSE
"30","ALERT: The state of Haryana has announced new incentives that will enable C&amp;I buyers to access cost-competitive, In  ","2018-08-27 18:27:31","FALSE","1","0","0","Environment","Haryana","India",FALSE
"31","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-27 02:14:45","TRUE","22","0","-1","Environment","Haryana","India",FALSE
"32","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-27 00:44:48","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"33","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 18:20:44","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"34","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 18:15:13","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"35","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 16:57:11","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"36","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 12:02:00","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"37","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 10:41:04","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"38","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 09:14:14","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"39","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 09:04:25","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"40","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 08:06:16","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"41","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 06:22:02","TRUE","22","0","-1","Environment","Haryana","India",TRUE
"42","RT @vikrantgupta73: Back on the Cricket Field after a month. And when stamina is a problem in this humid weather, thank God I carried my i","2018-08-26 05:54:29","TRUE","22","0","-1","Environment","Haryana","India",TRUE
