"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","A 'solid' waste management by-law for Karnataka

 ","2018-09-01 15:01:28","FALSE","0","0","0","Environment","Karnataka","India",FALSE
"2","RT @KarunaduUpdates: In a bid to ensure cleanliness in rural areas, Karnataka is set to introduce solid waste management, including door-to","2018-09-01 13:30:02","TRUE","7","0","1","Environment","Karnataka","India",FALSE
"3","RT @KarunaduUpdates: In a bid to ensure cleanliness in rural areas, Karnataka is set to introduce solid waste management, including door-to","2018-09-01 03:13:48","TRUE","7","0","1","Environment","Karnataka","India",TRUE
"4","RT @KarunaduUpdates: In a bid to ensure cleanliness in rural areas, Karnataka is set to introduce solid waste management, including door-to","2018-09-01 03:05:15","TRUE","7","0","1","Environment","Karnataka","India",TRUE
"5","RT @KarunaduUpdates: In a bid to ensure cleanliness in rural areas, Karnataka is set to introduce solid waste management, including door-to","2018-09-01 03:05:05","TRUE","7","0","1","Environment","Karnataka","India",TRUE
"6","RT @KarunaduUpdates: In a bid to ensure cleanliness in rural areas, Karnataka is set to introduce solid waste management, including door-to","2018-09-01 03:04:00","TRUE","7","0","1","Environment","Karnataka","India",TRUE
"7","RT @KarunaduUpdates: In a bid to ensure cleanliness in rural areas, Karnataka is set to introduce solid waste management, including door-to","2018-09-01 02:59:47","TRUE","7","0","1","Environment","Karnataka","India",TRUE
"8","In a bid to ensure cleanliness in rural areas, Karnataka is set to introduce solid waste management, including door  ","2018-09-01 02:59:01","FALSE","7","13","1","Environment","Karnataka","India",FALSE
"9","RT @S3IDF: In the absence of SWM, littering along roads has become common in several villages. Karnataka is set to introduce solidwastem","2018-08-31 14:16:20","TRUE","1","0","-1","Environment","Karnataka","India",FALSE
"10","The UrbanDevelopmentDepartment has notified the draft Karnataka Municipal Corporation Model SolidWasteManagement  ","2018-08-31 12:01:52","FALSE","0","1","0","Environment","Karnataka","India",FALSE
"11","In the absence of SWM, littering along roads has become common in several villages. Karnataka is set to introduce  ","2018-08-31 10:30:00","FALSE","1","2","-1","Environment","Karnataka","India",FALSE
"12","RT @ApptAnd: NarendraModi 
UPCM 
Maharashtra 
Karnataka 
environnement 

PDC- Plastic disposable crockery is picked up by rag pickers","2018-08-27 18:15:03","TRUE","6","0","0","Environment","Karnataka","India",FALSE
"13","RT @ApptAnd: NarendraModi 
UPCM 
Maharashtra 
Karnataka 
environnement 

PDC- Plastic disposable crockery is picked up by rag pickers","2018-08-27 17:43:42","TRUE","6","0","0","Environment","Karnataka","India",TRUE
"14","RT @ApptAnd: NarendraModi 
UPCM 
Maharashtra 
Karnataka 
environnement 

PDC- Plastic disposable crockery is picked up by rag pickers","2018-08-26 15:24:28","TRUE","6","0","0","Environment","Karnataka","India",TRUE
