"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","From the entire team at Solar-Apps, we are honored and humbled to receive this prestigious award for Karnataka Sola  ","2018-09-05 13:24:34","FALSE","0","0","3","Environment","Karnataka","India",FALSE
"2","RT @caliskan_burak: Indias state of Karnataka has 12.3 GW of Clean Energy more than leaders Denmark and Netherlands renewableenergy sea","2018-09-05 11:38:39","TRUE","75","0","1","Environment","Karnataka","India",FALSE
"3","'Grant of Rs 50 lakh for start-ups with Social Focus in Karnataka' 
,@PriyankKharge, Minister for Social Welfare ma  ","2018-09-05 08:30:10","FALSE","0","0","0","Environment","Karnataka","India",FALSE
"4","We're delighted to see the efforts of Karnataka, India in tackling two serious global challenges: climate change and energy security.","2018-09-05 05:05:04","FALSE","0","0","1","Environment","Karnataka","India",FALSE
"5","RT @caliskan_burak: Indias state of Karnataka has 12.3 GW of Clean Energy more than leaders Denmark and Netherlands renewableenergy sea","2018-09-05 03:51:09","TRUE","75","0","1","Environment","Karnataka","India",TRUE
"6","RT @srinivasiyc: What has Modi govt done for India in the last 4 years?
Fuel prices have increased continuously since the previous 15 DAYS","2018-09-04 21:58:36","TRUE","184","0","0","Environment","Karnataka","India",FALSE
"7","RT @caliskan_burak: Indias state of Karnataka has 12.3 GW of Clean Energy more than leaders Denmark and Netherlands renewableenergy sea","2018-09-04 21:24:32","TRUE","75","0","1","Environment","Karnataka","India",TRUE
"8","Did you miss the news last week that India began inter-state wind energy transfers, or that Karnataka passed debt  ","2018-09-04 20:32:55","FALSE","0","1","-2","Environment","Karnataka","India",FALSE
"9","@Nilimam91 @VickyDeshwal4 @AshishRattanpal @OmarAbdullah 8 % was the voters turnout for civic polls in Karnataka. W  ","2018-09-04 14:36:36","FALSE","0","1","0","Environment","Karnataka","India",FALSE
"10","RT @IndianOilcl: ""We expect that ethanol production will have 55% &amp; 30% lower well-to-wheel carbon footprints per mega joules of energy pro","2018-09-04 13:19:19","TRUE","6","0","0","Environment","Karnataka","India",FALSE
"11","The southern Indian state of Karnataka is now a renewable energy leader.    ","2018-09-04 12:01:39","FALSE","0","0","0","Environment","Karnataka","India",FALSE
"12","RT @energyinfrapos1: .@Shell meet: Ktaka Govt announces Rs 50 lakh grant for startups with social focus
  ","2018-09-04 11:15:05","TRUE","1","0","0","Environment","Karnataka","India",FALSE
"13",".@Shell meet: Ktaka Govt announces Rs 50 lakh grant for startups with social focus
  ","2018-09-04 10:58:38","FALSE","1","0","0","Environment","Karnataka","India",FALSE
"14","RT @mookerji: For the first time in Mysuru: mysuruhack2018. Infectious energy! Tons of promise!

 ","2018-09-04 02:39:10","TRUE","1","0","1","Environment","Karnataka","India",FALSE
"15","@rvobbilisetty @Bhavana41609504 @AmitShah @BJP4India @BJP4Karnataka @BSYBJP @PMOIndia  ","2018-09-04 02:37:57","FALSE","0","1","0","Environment","Karnataka","India",FALSE
"16","@honordeepak @DrTamilisaiBJP Dei mokka. Who is talking about Gujarat model. Neighbour state Karnataka has overtaken  ","2018-09-03 19:21:18","FALSE","0","0","1","Environment","Karnataka","India",FALSE
"17","@GDhulipati @ragub6 @Kunthavi5 @lalitha_jr @MajorSimhan If I understand the article right, TN was already the numbe  ","2018-09-03 15:49:45","FALSE","0","2","1","Environment","Karnataka","India",FALSE
"18","RT @YourStoryCo: ""@Shell_India's Energy Entrepreneurship Programme is the need of the hour and we need to accelerate more. Karnataka is the","2018-09-03 13:49:40","TRUE","5","0","0","Environment","Karnataka","India",FALSE
"19","For the first time in Mysuru: mysuruhack2018. Infectious energy! Tons of promise!

 ","2018-09-03 07:28:42","FALSE","1","2","1","Environment","Karnataka","India",FALSE
"20","RT @YourStoryCo: ""@Shell_India's Energy Entrepreneurship Programme is the need of the hour and we need to accelerate more. Karnataka is the","2018-09-03 05:19:50","TRUE","5","0","0","Environment","Karnataka","India",TRUE
"21","RT @YourStoryCo: ""@Shell_India's Energy Entrepreneurship Programme is the need of the hour and we need to accelerate more. Karnataka is the","2018-09-03 04:59:26","TRUE","5","0","0","Environment","Karnataka","India",TRUE
"22","RT @YourStoryCo: ""@Shell_India's Energy Entrepreneurship Programme is the need of the hour and we need to accelerate more. Karnataka is the","2018-09-03 04:53:07","TRUE","5","0","0","Environment","Karnataka","India",TRUE
"23","RT @YourStoryCo: ""@Shell_India's Energy Entrepreneurship Programme is the need of the hour and we need to accelerate more. Karnataka is the","2018-09-03 04:48:44","TRUE","5","0","0","Environment","Karnataka","India",TRUE
"24","""@Shell_India's Energy Entrepreneurship Programme is the need of the hour and we need to accelerate more. Karnataka  ","2018-09-03 04:41:39","FALSE","5","6","0","Environment","Karnataka","India",FALSE
"25","RT @DKShivakumar: With 12.3 GW renewable energy capacity, Karnataka leads India and now produces more renewable energy than the European na","2018-09-03 04:35:42","TRUE","1513","0","1","Environment","Karnataka","India",FALSE
"26","RT @HANMANDLOOK: Karnataka has become India's renewables leader  ","2018-09-03 03:28:10","TRUE","1","0","0","Environment","Karnataka","India",FALSE
"27","RT @tradegovukIND: .@CMofKarnataka &amp; High Commissioner DominicAsquith launched the Karnataka State Energy Calculator - an opensource to","2018-09-03 01:22:49","TRUE","10","0","0","Environment","Karnataka","India",FALSE
"28","Karnataka has become India's renewables leader  ","2018-09-03 00:54:34","FALSE","1","1","0","Environment","Karnataka","India",FALSE
"29","Renewable Energy: Karnatakas impressive lead.  ","2018-09-02 19:25:17","FALSE","0","0","2","Environment","Karnataka","India",FALSE
"30","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-02 15:21:57","TRUE","91","0","0","Environment","Karnataka","India",FALSE
"31","RT @caliskan_burak: Indias state of Karnataka has 12.3 GW of Clean Energy more than leaders Denmark and Netherlands renewableenergy sea","2018-09-02 15:11:44","TRUE","75","0","1","Environment","Karnataka","India",TRUE
"32","RT @WithPGV: KannadigaPrideSiddaramaiah has facilitated the world's biggest solar
park in Tumakuru, in Karnataka, which was completed in","2018-09-02 14:50:13","TRUE","185","0","0","Environment","Karnataka","India",FALSE
"33","Karnataka has become India's renewables leader  ","2018-09-02 12:59:08","FALSE","0","0","0","Environment","Karnataka","India",TRUE
"34","RT @DHCinBLR: The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with @cmofkarnataka &amp;","2018-09-02 12:21:30","TRUE","10","0","1","Environment","Karnataka","India",FALSE
"35","Join Bhartiya Hindu Yuva Sena Namaste -College Students,
Join worlds largest Nationalist Voluntary Organisation and  ","2018-09-02 10:36:24","FALSE","0","0","0","Environment","Karnataka","India",FALSE
"36","RT @ranjithreshmi: A snap shot of UK-Karnataka energy sector collaboration by @DHCinBLR.  'The green economy and Karnatakas place in the s","2018-09-02 10:00:42","TRUE","4","0","0","Environment","Karnataka","India",FALSE
"37","RT @DHCinBLR: The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with @cmofkarnataka &amp;","2018-09-02 09:37:29","TRUE","10","0","1","Environment","Karnataka","India",TRUE
"38","RT @DHCinBLR: The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with @cmofkarnataka &amp;","2018-09-02 08:22:25","TRUE","10","0","1","Environment","Karnataka","India",TRUE
"39","@KicchaSudeep wish you a very very happy birthday. ...God bless you with all the power &amp; energy to bring many more  ","2018-09-02 08:09:22","FALSE","0","0","2","Environment","Karnataka","India",FALSE
"40","RT @DHCinBLR: The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with @cmofkarnataka &amp;","2018-09-02 08:03:57","TRUE","10","0","1","Environment","Karnataka","India",TRUE
"41","RT @DHCinBLR: The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with @cmofkarnataka &amp;","2018-09-02 07:50:31","TRUE","10","0","1","Environment","Karnataka","India",TRUE
"42","RT @DHCinBLR: The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with @cmofkarnataka &amp;","2018-09-02 07:17:05","TRUE","10","0","1","Environment","Karnataka","India",TRUE
"43","Join Bhartiya Hindu Yuva Sena Namaste -College Students,
Join worlds largest Nationalist Voluntary Organisation an  ","2018-09-02 06:45:23","FALSE","0","1","0","Environment","Karnataka","India",FALSE
"44","RT @ranjithreshmi: A snap shot of UK-Karnataka energy sector collaboration by @DHCinBLR.  'The green economy and Karnatakas place in the s","2018-09-02 06:41:52","TRUE","4","0","0","Environment","Karnataka","India",TRUE
"45","RT @DHCinBLR: The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with @cmofkarnataka &amp;","2018-09-02 06:18:52","TRUE","10","0","1","Environment","Karnataka","India",TRUE
"46","RT @DHCinBLR: The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with @cmofkarnataka &amp;","2018-09-02 05:57:56","TRUE","10","0","1","Environment","Karnataka","India",TRUE
"47","RT @ranjithreshmi: A snap shot of UK-Karnataka energy sector collaboration by @DHCinBLR.  'The green economy and Karnatakas place in the s","2018-09-02 05:57:09","TRUE","4","0","0","Environment","Karnataka","India",TRUE
"48","RT @DHCinBLR: The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with @cmofkarnataka &amp;","2018-09-02 05:55:40","TRUE","10","0","1","Environment","Karnataka","India",TRUE
"49","The UK/Karnataka energy &amp; climate partnership goes back a long way &amp; is thriving. @ukinindia is working with  ","2018-09-02 05:54:07","FALSE","10","24","1","Environment","Karnataka","India",FALSE
"50","RT @ranjithreshmi: A snap shot of UK-Karnataka energy sector collaboration by @DHCinBLR.  'The green economy and Karnatakas place in the s","2018-09-02 05:12:44","TRUE","4","0","0","Environment","Karnataka","India",TRUE
"51","A snap shot of UK-Karnataka energy sector collaboration by @DHCinBLR.  'The green economy and Karnatakas place in  ","2018-09-02 05:11:23","FALSE","4","13","0","Environment","Karnataka","India",FALSE
"52","RT @DKShivakumar: With 12.3 GW renewable energy capacity, Karnataka leads India and now produces more renewable energy than the European na","2018-09-02 04:37:20","TRUE","1513","0","1","Environment","Karnataka","India",TRUE
"53","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-02 01:26:06","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"54","RT @caliskan_burak: Indias state of Karnataka has 12.3 GW of Clean Energy more than leaders Denmark and Netherlands renewableenergy sea","2018-09-01 22:38:43","TRUE","75","0","1","Environment","Karnataka","India",TRUE
"55","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-01 16:20:16","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"56","RT @DKShivakumar: With 12.3 GW renewable energy capacity, Karnataka leads India and now produces more renewable energy than the European na","2018-09-01 12:57:23","TRUE","1513","0","1","Environment","Karnataka","India",TRUE
"57","The Karnataka governments decision will help us deliver rooftop solar plants to our clients earlier than ever befo  ","2018-09-01 11:30:32","FALSE","1","0","0","Environment","Karnataka","India",FALSE
"58","Meet With Union Home Minister Shri_RajNath_Singh_Ji , its always a new energy while meeting him ,  this time State  ","2018-09-01 11:02:53","FALSE","0","0","0","Environment","Karnataka","India",FALSE
"59","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-01 09:45:23","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"60","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 09:33:16","TRUE","85","0","0","Environment","Karnataka","India",FALSE
"61","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 08:27:08","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"62","RT @IndianOilcl: Our competition is global and therefore we have to remain globally competitive at all times. With the changing technology,","2018-09-01 08:01:56","TRUE","15","0","1","Environment","Karnataka","India",FALSE
"63","RT @IndianOilcl: There is an opportunity to encash at every level. Our challenge is not to compete with future forms of energy but with our","2018-09-01 08:01:50","TRUE","11","0","0","Environment","Karnataka","India",FALSE
"64","RT @IndianOilcl: IndianOil doesnt work for profit; meeting the energy needs of India is our objective and its what we relentlessly work to","2018-09-01 08:01:46","TRUE","20","0","1","Environment","Karnataka","India",FALSE
"65","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-01 08:01:22","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"66","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-01 07:25:39","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"67","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 07:16:16","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"68","@Belagavi_infra @DKShivakumar @siddaramaiah North Karnataka has huge potential for solar energy. We can use the sam  ","2018-09-01 07:15:26","FALSE","0","1","0","Environment","Karnataka","India",FALSE
"69","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 07:01:39","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"70","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 06:48:20","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"71","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 06:14:21","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"72","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 06:11:12","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"73","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 06:03:57","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"74","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 06:03:24","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"75","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-01 05:59:04","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"76","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 05:51:46","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"77","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 05:45:00","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"78","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-01 05:24:12","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"79","RT @Greenubuntu1: How 2 Indian states vie to become the best in renewable energy: A @Greenubuntu1 Report on SolarEnergy india  ","2018-09-01 04:46:23","TRUE","3","0","1","Environment","Karnataka","India",FALSE
"80","RT @IndianOilcl: IndianOil has an ambitious plan of setting up an IndianOil Centre for Alternative and Renewable Energy 'i-CARE' to carry o","2018-09-01 04:36:51","TRUE","11","0","1","Environment","Karnataka","India",FALSE
"81","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-01 03:59:01","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"82","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 03:41:38","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"83","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 03:20:21","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"84","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 03:07:43","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"85","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-01 02:35:56","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"86","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-09-01 01:42:39","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"87","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-09-01 01:02:20","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"88","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-08-31 22:55:06","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"89","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-08-31 22:41:15","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"90","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-08-31 21:45:16","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"91","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-08-31 20:34:07","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"92","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-08-31 20:23:11","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"93","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-08-31 19:54:32","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"94","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-08-31 19:49:08","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"95","RT @NagNaidu08: Karnataka produces more RenewableEnergy than TheNetherlands and Denmark @mnreindia @isolaralliance   ","2018-08-31 19:25:21","TRUE","6","0","0","Environment","Karnataka","India",FALSE
"96","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-08-31 18:51:15","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"97","RT @kavita_tewari: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest","2018-08-31 18:46:43","TRUE","91","0","0","Environment","Karnataka","India",TRUE
"98","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-08-31 18:40:22","TRUE","85","0","0","Environment","Karnataka","India",TRUE
"99","RT @gurichopra: Bhagwan Vishnu seated atop Ananta Shesha, Badami, Karnataka. Constructed in 6th cent by Chalukyas, its 1 of the earliest te","2018-08-31 18:34:29","TRUE","85","0","0","Environment","Karnataka","India",TRUE
