"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","RT @JaihindTVOnline:     ;     ","2018-09-03 03:38:25","TRUE","1","0","0","Environment","Kerala","India",FALSE
"2","RT @LiveLawIndia: Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods

 ","2018-09-02 12:05:31","TRUE","4","0","0","Environment","Kerala","India",FALSE
"3","    ;     ","2018-09-02 09:46:26","FALSE","1","1","0","Environment","Kerala","India",FALSE
"4","RT @LiveLawIndia: Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods

 ","2018-09-01 15:11:34","TRUE","4","0","0","Environment","Kerala","India",TRUE
"5","2/2
""Experts say that a week of flooding can generate solid waste equivalent to that generated over a decade. This  ","2018-09-01 12:45:31","FALSE","0","0","0","Environment","Kerala","India",FALSE
"6","Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods  ","2018-09-01 11:00:03","FALSE","0","0","0","Environment","Kerala","India",FALSE
"7","Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods  ","2018-09-01 10:02:31","FALSE","0","0","0","Environment","Kerala","India",TRUE
"8","Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods  ","2018-09-01 09:39:04","FALSE","0","1","0","Environment","Kerala","India",TRUE
"9","Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods  ","2018-09-01 09:25:26","FALSE","0","0","0","Environment","Kerala","India",TRUE
"10","RT @LiveLawIndia: Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods

 ","2018-09-01 09:23:54","TRUE","4","0","0","Environment","Kerala","India",TRUE
"11","Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods  ","2018-09-01 09:22:30","FALSE","0","0","0","Environment","Kerala","India",TRUE
"12","RT @LiveLawIndia: Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods

 ","2018-09-01 09:20:51","TRUE","4","0","0","Environment","Kerala","India",TRUE
"13","Govt To Apprise Kerala HC Of Steps Taken For Solid Waste Management After Floods

 ","2018-09-01 09:18:30","FALSE","4","10","0","Environment","Kerala","India",FALSE
"14","  500          ","2018-09-01 06:08:31","FALSE","0","2","0","Environment","Kerala","India",FALSE
