"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1","Question1- Which of the following state became top achiever in State Energy Efficiency Index-2018? (a)Kerala (b)Utt  ","2018-09-05 13:23:10","FALSE","0","0","1","Environment","Kerala","India",FALSE
"2","Post Kerala floods, NGT stays ECs   ","2018-09-05 06:46:42","FALSE","0","0","0","Environment","Kerala","India",FALSE
"3","Post Kerala floods, NGT stays ECs ..  ","2018-09-04 23:03:37","FALSE","0","0","0","Environment","Kerala","India",FALSE
"4","Post Kerala floods, NGT stays ECs  ","2018-09-04 22:40:43","FALSE","0","0","0","Environment","Kerala","India",FALSE
"5","Post Kerala floods, NGT stays ECs  ","2018-09-04 20:09:02","FALSE","0","0","0","Environment","Kerala","India",TRUE
"6","@Arun_kuttu_0712 @ka2katta In simple words you are Ahsanfaramosh, but Many people from Kerala are not like, my neig  ","2018-09-04 19:59:14","FALSE","0","0","1","Environment","Kerala","India",FALSE
"7","@Dhaams @cris00552253 @dibyafoo @mvmeet Please get some more positive energy
 ","2018-09-04 13:01:59","FALSE","0","0","1","Environment","Kerala","India",FALSE
"8","Ramnavami...Krisnashtami...and the 9 day long Ganpathi...Navrathri...festivals are somany in India. Limiting festiv  ","2018-09-04 11:27:42","FALSE","0","0","0","Environment","Kerala","India",FALSE
"9","CIAL inte main private players oru Middle east Emke group ,pinne oru Galfar and many Indian pvt Energy players(sum  ","2018-09-04 09:51:06","FALSE","0","1","0","Environment","Kerala","India",FALSE
"10","Energy Drinks Market To Witness Enhanced Growth Due To Rising Health Consciousness And Changing Food Preferences Ti  ","2018-09-04 09:33:07","FALSE","0","0","1","Environment","Kerala","India",FALSE
"11","@HHShkMohd Congrats.
His Highness, You have a long vision of your country and nationals.  I have one project in Ker  ","2018-09-04 06:42:15","FALSE","0","0","0","Environment","Kerala","India",FALSE
"12","RT @IndianOilcl: .@dpradhanbjp: Flood-hit Kerala to get low cost LPG cylinders - To know more check the   ","2018-09-04 04:02:18","TRUE","15","0","0","Environment","Kerala","India",FALSE
"13","@vijayanpinarayi Sir, Your courageous leader ship is people of kerala main energy. In between please adivise your p  ","2018-09-04 04:01:25","FALSE","0","1","1","Environment","Kerala","India",FALSE
"14","RT @UnamPillai: My pride at the energy, empathy&amp; willpower with which Malayalis have handled the worst natural catastrophe they have known","2018-09-04 02:08:00","TRUE","159","0","-1","Environment","Kerala","India",FALSE
